energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,1.63371021,0.00486859,0.03086281,0.37606496,1.04276442,0.11227876,0.21805840,0.01070370,0.39733081
-5.99399700,1.69340125,0.00519625,0.02847737,0.38017390,1.10246619,0.10728760,0.22060605,0.01095353,0.40799246
-5.98799400,1.76293672,0.00556414,0.02650898,0.38765385,1.16679087,0.10370332,0.22466673,0.01130477,0.42137343
-5.98199100,1.84101694,0.00596513,0.02492888,0.39814413,1.23501469,0.10141083,0.23003744,0.01174491,0.43715306
-5.97598799,1.92612386,0.00639120,0.02370366,0.41122846,1.30627481,0.10027670,0.23649188,0.01225923,0.45495621
-5.96998499,2.01655155,0.00683359,0.02279655,0.42644560,1.37958230,0.10015372,0.24378588,0.01283124,0.47436186
-5.96398199,2.11044212,0.00728297,0.02216865,0.44330082,1.45384004,0.10088548,0.25166298,0.01344305,0.49491287
-5.95797899,2.20582679,0.00772969,0.02178010,0.46127772,1.52786530,0.10231088,0.25986016,0.01407582,0.51612689
-5.95197599,2.30067162,0.00816397,0.02159112,0.47985061,1.60041682,0.10426845,0.26811359,0.01471029,0.53750800
-5.94597299,2.39292712,0.00857618,0.02156296,0.49849694,1.67022595,0.10660040,0.27616451,0.01532728,0.55855921
-5.93996998,2.48058063,0.00895711,0.02165874,0.51670982,1.73603080,0.10915648,0.28376494,0.01590819,0.57879524
-5.93396698,2.56171001,0.00929828,0.02184414,0.53401021,1.79661251,0.11179739,0.29068331,0.01643556,0.59775543
-5.92796398,2.63453703,0.00959212,0.02208798,0.54995853,1.85083218,0.11439779,0.29670986,0.01689354,0.61501629
-5.92196098,2.69747847,0.00983234,0.02236268,0.56416546,1.89766708,0.11684886,0.30166167,0.01726838,0.63020321
-5.91595798,2.74919307,0.01001407,0.02264457,0.57630150,1.93624449,0.11906034,0.30538718,0.01754881,0.64300110
