energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.90540042,0.04426536,0.00164021,1.24541384,0.85991438,0.00852269,1.17848240
-5.99399700,1.86475774,0.04178200,0.00154780,1.20383219,0.85930730,0.00791572,1.16349753
-5.98799400,1.83146037,0.03944938,0.00146128,1.16689281,0.86129178,0.00732965,1.15356358
-5.98199100,1.80556177,0.03729770,0.00138138,1.13504421,0.86544963,0.00677183,1.14857690
-5.97598799,1.78696843,0.03535413,0.00130872,1.10861138,0.87131393,0.00624870,1.14833806
-5.96998499,1.77544115,0.03364200,0.00124381,1.08778916,0.87838113,0.00576567,1.15255605
-5.96398199,1.77060019,0.03218005,0.00118703,1.07263880,0.88612449,0.00532701,1.16085467
-5.95797899,1.77193415,0.03098189,0.00113860,1.06308785,0.89400845,0.00493582,1.17278087
-5.95197599,1.77881227,0.03005555,0.00109859,1.05893323,0.90150337,0.00459395,1.18781478
-5.94597299,1.79049977,0.02940316,0.00106692,1.05984734,0.90810025,0.00430211,1.20538117
-5.93996998,1.80617555,0.02902088,0.00104336,1.06538711,0.91332477,0.00405981,1.22486188
-5.93396698,1.82495191,0.02889895,0.00102754,1.07500550,0.91675007,0.00386553,1.24560902
-5.92796398,1.84589547,0.02902198,0.00101896,1.08806530,0.91800794,0.00371673,1.26695846
-5.92196098,1.86804875,0.02936935,0.00101703,1.10385484,0.91679783,0.00361005,1.28824337
-5.91595798,1.89045200,0.02991585,0.00102106,1.12160526,0.91289346,0.00354140,1.30880745
-5.90995498,1.91216450,0.03063241,0.00103030,1.14050894,0.90614681,0.00350616,1.32801771
-5.90395198,1.93228520,0.03148698,0.00104398,1.15973878,0.89648945,0.00349925,1.34527643
-5.89794897,1.94997208,0.03244554,0.00106129,1.17846787,0.88393122,0.00351542,1.36003236
-5.89194597,1.96445992,0.03347317,0.00108145,1.19588910,0.86855657,0.00354928,1.37179081
-5.88594297,1.97507624,0.03453510,0.00110369,1.21123437,0.85051860,0.00359556,1.38012254
-5.87993997,1.98125502,0.03559784,0.00112731,1.22379281,0.83003155,0.00364922,1.38467143
-5.87393697,1.98254791,0.03663024,0.00115167,1.23292763,0.80736166,0.00370556,1.38516065
-5.86793397,1.97863273,0.03760440,0.00117621,1.23809109,0.78281735,0.00376037,1.38139725
-5.86193097,1.96931882,0.03849657,0.00120048,1.23883703,0.75673868,0.00381005,1.37327507
-5.85592796,1.95454925,0.03928776,0.00122410,1.23483078,0.72948684,0.00385162,1.36077578
-5.84992496,1.93439945,0.03996427,0.00124680,1.22585582,0.70143390,0.00388285,1.34396788
-5.84392196,1.90907237,0.04051793,0.00126840,1.21181721,0.67295300,0.00390223,1.32300382
-5.83791896,1.87889007,0.04094612,0.00128883,1.19274143,0.64440951,0.00390900,1.29811498
-5.83191596,1.84428197,0.04125160,0.00130807,1.16877281,0.61615304,0.00390312,1.26960470
-5.82591296,1.80576990,0.04144203,0.00132618,1.14016657,0.58851062,0.00388522,1.23783952
-5.81990995,1.76395066,0.04152935,0.00134326,1.10727892,0.56178104,0.00385656,1.20323888
-5.81390695,1.71947642,0.04152896,0.00135945,1.07055452,0.53623042,0.00381889,1.16626359
-5.80790395,1.67303389,0.04145873,0.00137488,1.03051197,0.51208893,0.00377441,1.12740346
-5.80190095,1.62532309,0.04133796,0.00138970,0.98772785,0.48954877,0.00372562,1.08716470
-5.79589795,1.57703642,0.04118626,0.00140401,0.94282023,0.46876322,0.00367524,1.04605740
-5.78989495,1.52883932,0.04102246,0.00141788,0.89643208,0.44984683,0.00362606,1.00458379
-5.78389195,1.48135294,0.04086364,0.00143135,0.84921546,0.43287661,0.00358087,0.96322767
-5.77788894,1.43513992,0.04072414,0.00144436,0.80181703,0.41789421,0.00354236,0.92244538
-5.77188594,1.39069368,0.04061494,0.00145683,0.75486536,0.40490890,0.00351302,0.88265871
-5.76588294,1.34843176,0.04054302,0.00146860,0.70896035,0.39390134,0.00349509,0.84425000
-5.75987994,1.30869321,0.04051119,0.00147947,0.66466507,0.38482801,0.00349051,0.80755928
-5.75387694,1.27174012,0.04051790,0.00148918,0.62250004,0.37762607,0.00350088,0.77288370
-5.74787394,1.23776292,0.04055755,0.00149746,0.58293971,0.37221852,0.00352747,0.74047877
-5.74187094,1.20688885,0.04062081,0.00150403,0.54641111,0.36851951,0.00357119,0.71056134
-5.73586793,1.17919309,0.04069528,0.00150861,0.51329420,0.36643952,0.00363265,0.68331375
-5.72986493,1.15471139,0.04076625,0.00151096,0.48392349,0.36589028,0.00371214,0.65888876
-5.72386193,1.13345361,0.04081760,0.00151089,0.45859052,0.36678909,0.00380970,0.63741486
-5.71785893,1.11541697,0.04083277,0.00150830,0.43754668,0.36906251,0.00392513,0.61900127
-5.71185593,1.10059823,0.04079570,0.00150315,0.42100598,0.37264911,0.00405802,0.60374249
-5.70585293,1.08900397,0.04069181,0.00149552,0.40914730,0.37750129,0.00420781,0.59172169
-5.69984992,1.08065835,0.04050880,0.00148561,0.40211594,0.38358598,0.00437376,0.58301304
-5.69384692,1.07560785,0.04023744,0.00147371,0.40002415,0.39088424,0.00455501,0.57768248
-5.68784392,1.07392283,0.03987203,0.00146024,0.40295062,0.39938992,0.00475054,0.57578720
-5.68184092,1.07569588,0.03941086,0.00144573,0.41093901,0.40910733,0.00495918,0.57737366
-5.67583792,1.08103715,0.03885635,0.00143080,0.42399548,0.42004819,0.00517961,0.58247452
-5.66983492,1.09006720,0.03821502,0.00141614,0.44208570,0.43222806,0.00541029,0.59110469
-5.66383192,1.10290784,0.03749733,0.00140250,0.46513144,0.44566254,0.00564951,0.60325691
-5.65782891,1.11967192,0.03671732,0.00139066,0.49300722,0.46036345,0.00589527,0.61889721
-5.65182591,1.14045256,0.03589212,0.00138142,0.52553739,0.47633534,0.00614538,0.63796074
-5.64582291,1.16531303,0.03504140,0.00137555,0.56249410,0.49357249,0.00639735,0.66034839
-5.63981991,1.19427775,0.03418675,0.00137378,0.60359643,0.51205680,0.00664847,0.68592452
-5.63381691,1.22732544,0.03335107,0.00137676,0.64851124,0.53175657,0.00689576,0.71451618
-5.62781391,1.26438464,0.03255794,0.00138508,0.69685577,0.55262629,0.00713607,0.74591404
-5.62181091,1.30533235,0.03183113,0.00139921,0.74820243,0.57460765,0.00736611,0.77987509
-5.61580790,1.34999573,0.03119410,0.00141952,0.80208569,0.59763148,0.00758249,0.81612720
-5.60980490,1.39815691,0.03066965,0.00144625,0.85801118,0.62162067,0.00778185,0.85437548
-5.60380190,1.44956077,0.03027969,0.00147954,0.91546676,0.64649383,0.00796092,0.89431002
-5.59779890,1.50392503,0.03004504,0.00151939,0.97393535,0.67216937,0.00811661,0.93561501
-5.59179590,1.56095220,0.02998541,0.00156572,1.03290916,0.69856988,0.00824615,0.97797851
-5.58579290,1.62034257,0.03011934,0.00161834,1.09190471,0.72562627,0.00834717,1.02110268
-5.57978989,1.68180730,0.03046425,0.00167695,1.15047818,0.75328151,0.00841778,1.06471374
-5.57378689,1.74508091,0.03103653,0.00174121,1.20824028,0.78149370,0.00845667,1.10857129
