energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.04705286,0.63458164,0.34725665,0.00149339,0.10540197,0.00935512,1.21453445,0.57719679,0.13668194
-5.99399700,2.08516668,0.64131632,0.36191297,0.00159011,0.10344047,0.00936463,1.24170251,0.58952840,0.13712136
-5.98799400,2.12397195,0.64860889,0.37656528,0.00168438,0.10152276,0.00940406,1.26929439,0.60157735,0.13766037
-5.98199100,2.16312585,0.65638887,0.39105808,0.00177481,0.09968491,0.00948113,1.29705272,0.61319732,0.13830376
-5.97598799,2.20218383,0.66454548,0.40522598,0.00186007,0.09795667,0.00960314,1.32466052,0.62422289,0.13904689
-5.96998499,2.24062113,0.67293500,0.41889970,0.00193884,0.09636129,0.00977687,1.35175508,0.63447654,0.13987631
-5.96398199,2.27785878,0.68138956,0.43191258,0.00200992,0.09491564,0.01000841,1.37794436,0.64377667,0.14077087
-5.95797899,2.31329219,0.68972702,0.44410719,0.00207223,0.09363059,0.01030303,1.40282498,0.65194611,0.14170311
-5.95197599,2.34632084,0.69776110,0.45534175,0.00212488,0.09251158,0.01066501,1.42600064,0.65882057,0.14264090
-5.94597299,2.37637728,0.70531126,0.46549589,0.00216721,0.09155932,0.01109755,1.44710004,0.66425648,0.14354915
-5.93996998,2.40295363,0.71221183,0.47447553,0.00219878,0.09077057,0.01160261,1.46579322,0.66813784,0.14439163
-5.93396698,2.42562425,0.71831967,0.48221656,0.00221941,0.09013894,0.01218085,1.48180547,0.67038147,0.14513271
-5.92796398,2.44406351,0.72352036,0.48868716,0.00222922,0.08965570,0.01283149,1.49492816,0.67094061,0.14573891
-5.92196098,2.45805773,0.72773228,0.49388861,0.00222856,0.08931044,0.01355226,1.50502601,0.66980643,0.14618036
-5.91595798,2.46751101,0.73090873,0.49785466,0.00221807,0.08909170,0.01433935,1.51204055,0.66700757,0.14643191
-5.90995498,2.47244505,0.73303801,0.50064941,0.00219863,0.08898744,0.01518736,1.51598986,0.66260778,0.14647400
-5.90395198,2.47299329,0.73414168,0.50236402,0.00217129,0.08898545,0.01608934,1.51696490,0.65670182,0.14629330
-5.89794897,2.46939022,0.73427123,0.50311234,0.00213733,0.08907354,0.01703682,1.51512269,0.64940993,0.14588295
-5.89194597,2.46195678,0.73350342,0.50302588,0.00209812,0.08923980,0.01801994,1.51067724,0.64087148,0.14524262
-5.88594297,2.45108318,0.73193492,0.50224826,0.00205514,0.08947257,0.01902754,1.50388868,0.63123793,0.14437831
-5.87993997,2.43721013,0.72967638,0.50092966,0.00200992,0.08976058,0.02004737,1.49505149,0.62066586,0.14330192
-5.87393697,2.42080991,0.72684653,0.49922144,0.00196398,0.09009287,0.02106638,1.48448251,0.60931037,0.14203065
-5.86793397,2.40236812,0.72356657,0.49727113,0.00191884,0.09045881,0.02207090,1.47250924,0.59731924,0.14058629
-5.86193097,2.38236711,0.71995511,0.49521818,0.00187592,0.09084808,0.02304706,1.45945925,0.58482824,0.13899437
-5.85592796,2.36127155,0.71612395,0.49319043,0.00183655,0.09125068,0.02398107,1.44565065,0.57195765,0.13728330
-5.84992496,2.33951662,0.71217465,0.49130138,0.00180197,0.09165690,0.02485961,1.43138426,0.55881029,0.13548341
-5.84392196,2.31749875,0.70819612,0.48964835,0.00177326,0.09205735,0.02567017,1.41693723,0.54547081,0.13362596
-5.83791896,2.29556881,0.70426294,0.48831131,0.00175135,0.09244294,0.02640140,1.40255811,0.53200633,0.13174221
-5.83191596,2.27402748,0.70043448,0.48735234,0.00173702,0.09280489,0.02704345,1.38846336,0.51846800,0.12986245
-5.82591296,2.25312219,0.69675462,0.48681558,0.00173090,0.09313468,0.02758817,1.37483476,0.50489353,0.12801506
-5.81990995,2.23304534,0.69325181,0.48672745,0.00173346,0.09342395,0.02802939,1.36181770,0.49131002,0.12622568
-5.81390695,2.21393321,0.68993944,0.48709700,0.00174498,0.09366441,0.02836298,1.34951999,0.47773709,0.12451631
-5.80790395,2.19586526,0.68681638,0.48791630,0.00176560,0.09384768,0.02858696,1.33801099,0.46418984,0.12290469
-5.80190095,2.17886360,0.68386743,0.48916080,0.00179530,0.09396512,0.02870145,1.32732099,0.45068150,0.12140360
-5.79589795,2.16289261,0.68106396,0.49078952,0.00183386,0.09400762,0.02870852,1.31744082,0.43722552,0.12002048
-5.78989495,2.14785882,0.67836443,0.49274525,0.00188092,0.09396547,0.02861209,1.30832172,0.42383703,0.11875705
-5.78389195,2.13361125,0.67571511,0.49495467,0.00193590,0.09382819,0.02841758,1.29987571,0.41053362,0.11760929
-5.77788894,2.11994273,0.67305086,0.49732875,0.00199808,0.09358448,0.02813169,1.29197661,0.39733550,0.11656750
-5.77188594,2.10659252,0.67029638,0.49976317,0.00206652,0.09322225,0.02776204,1.28446203,0.38426503,0.11561665
-5.76588294,2.09325082,0.66736771,0.50213944,0.00214011,0.09272875,0.02731680,1.27713651,0.37134596,0.11473697
