energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.09607454,0.05176964,0.17523034,0.96954218,0.58262519,1.04677819,0.00000000,0.63435837,0.34704214
-5.99399700,2.05395580,0.04993988,0.17103167,0.94400068,0.57350305,1.02012815,0.00000000,0.61881594,0.34036011
-5.98799400,2.01727375,0.04794446,0.16732047,0.92072929,0.56622564,0.99620895,0.00000000,0.60535215,0.33471916
-5.98199100,1.98706246,0.04581607,0.16422087,0.90033085,0.56099268,0.97563204,0.00000000,0.59444044,0.33026896
-5.97598799,1.96418726,0.04358822,0.16184590,0.88332563,0.55795780,0.95890856,0.00000000,0.58648948,0.32712801
-5.96998499,1.94933101,0.04129435,0.16029573,0.87014107,0.55722827,0.94644033,0.00000000,0.58183395,0.32538291
-5.96398199,1.94298602,0.03896708,0.15965630,0.86110461,0.55886610,0.93851420,0.00000000,0.58072742,0.32508861
-5.95797899,1.94545133,0.03663745,0.15999842,0.85643960,0.56289027,0.93529978,0.00000000,0.58333763,0.32626963
-5.95197599,1.95683515,0.03433432,0.16137724,0.85626427,0.56928008,0.93685050,0.00000000,0.58974406,0.32892209
-5.94597299,1.97706223,0.03208381,0.16383209,0.86059361,0.57797927,0.94310759,0.00000000,0.59993796,0.33301637
-5.93996998,2.00588549,0.02990889,0.16738670,0.86934399,0.58890081,0.95390694,0.00000000,0.61382473,0.33850028
-5.93396698,2.04290147,0.02782911,0.17204961,0.88234023,0.60193213,0.96898835,0.00000000,0.63122847,0.34530262
-5.92796398,2.08756898,0.02586049,0.17781488,0.89932472,0.61694054,0.98800687,0.00000000,0.65189867,0.35333678
-5.92196098,2.13923019,0.02401540,0.18466293,0.91996833,0.63377875,1.01054576,0.00000000,0.67551865,0.36250446
-5.91595798,2.19713343,0.02230277,0.19256149,0.94388254,0.65229017,1.03613071,0.00000000,0.70171547,0.37269923
-5.90995498,2.26045697,0.02072819,0.20146660,0.97063242,0.67231394,1.06424470,0.00000000,0.73007100,0.38380985
-5.90395198,2.32833289,0.01929421,0.21132361,0.99974994,0.69368944,1.09434319,0.00000000,0.76013372,0.39572323
-5.89794897,2.39987034,0.01800068,0.22206807,1.03074714,0.71626019,1.12586899,0.00000000,0.79143069,0.40832695
-5.89194597,2.47417731,0.01684513,0.23362665,1.06312873,0.73987688,1.15826648,0.00000000,0.82347950,0.42151141
-5.88594297,2.55038031,0.01582313,0.24591780,1.09640367,0.76439963,1.19099466,0.00000000,0.85579948,0.43517132
-5.87993997,2.62764118,0.01492869,0.25885241,1.13009527,0.78969913,1.22353862,0.00000000,0.88792205,0.44920674
-5.87393697,2.70517072,0.01415464,0.27233424,1.16374978,0.81565689,1.25541928,0.00000000,0.91939959,0.46352362
-5.86793397,2.78223854,0.01349294,0.28626034,1.19694289,0.84216432,1.28620095,0.00000000,0.94981287,0.47803381
-5.86193097,2.85817926,0.01293501,0.30052131,1.22928440,0.86912088,1.31549675,0.00000000,0.97877664,0.49265468
