energy_ev,total_up,Au_p_up,Au_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,5.85446124,0.33781468,1.00987782,1.66932597,4.79526451,0.00058287,0.07326698,0.13142982,0.00000000
-5.99399700,5.68491451,0.32626973,0.99121066,1.61417894,4.64924826,0.00051477,0.07073273,0.12640278,0.00000000
-5.98799400,5.51725127,0.31431382,0.97407565,1.55821997,4.50394458,0.00045539,0.06810535,0.12162746,0.00000000
-5.98199100,5.35256706,0.30206655,0.95861741,1.50189843,4.36017029,0.00040424,0.06542281,0.11712649,0.00000000
-5.97598799,5.19180393,0.28964504,0.94495727,1.44563304,4.21860810,0.00036083,0.06272160,0.11292100,0.00000000
-5.96998499,5.03574999,0.27716173,0.93319266,1.38980294,4.07981203,0.00032461,0.06003587,0.10902985,0.00000000
-5.96398199,4.88504511,0.26472258,0.92339678,1.33474128,3.94421847,0.00029507,0.05739673,0.10546884,0.00000000
-5.95797899,4.74019152,0.25242581,0.91561821,1.28073124,3.81216138,0.00027171,0.05483177,0.10225022,0.00000000
-5.95197599,4.60156782,0.24036090,0.90988067,1.22800444,3.68389039,0.00025406,0.05236467,0.09938213,0.00000000
-5.94597299,4.46944504,0.22860809,0.90618242,1.17674144,3.55959018,0.00024173,0.05001508,0.09686825,0.00000000
-5.93996998,4.34400302,0.21723807,0.90449566,1.12707420,3.43939955,0.00023439,0.04779855,0.09470760,0.00000000
-5.93396698,4.22534599,0.20631195,0.90476565,1.07908990,3.32342901,0.00023176,0.04572664,0.09289432,0.00000000
-5.92796398,4.11351626,0.19588141,0.90690986,1.03283588,3.21177554,0.00023366,0.04380715,0.09141769,0.00000000
-5.92196098,4.00850521,0.18598893,0.91081728,0.98832526,3.10453383,0.00023996,0.04204440,0.09026220,0.00000000
-5.91595798,3.91026135,0.17666820,0.91634805,0.94554286,3.00180348,0.00025061,0.04043964,0.08940770,0.00000000
-5.90995498,3.81869545,0.16794444,0.92333380,0.90445117,2.90369186,0.00026561,0.03899147,0.08882974,0.00000000
-5.90395198,3.73368297,0.15983492,0.93157894,0.86499610,2.81031296,0.00028502,0.03769629,0.08849993,0.00000000
-5.89794897,3.65506450,0.15234943,0.94086306,0.82711226,2.72178264,0.00030892,0.03654879,0.08838647,0.00000000
