energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.03496701,0.01249251,0.02918859,0.33752916,0.13655932,0.00768129,0.73204922,0.39113163,0.12231617
-5.99399700,1.03571709,0.01288088,0.02988747,0.33951782,0.13759898,0.00707309,0.73314271,0.39444979,0.12020136
-5.98799400,1.03778868,0.01323160,0.03067922,0.34164134,0.13889401,0.00649217,0.73494191,0.39696930,0.11841432
-5.98199100,1.04140712,0.01354513,0.03157462,0.34391870,0.14048038,0.00594482,0.73758549,0.39868054,0.11700207
-5.97598799,1.04674904,0.01382270,0.03258261,0.34636453,0.14238754,0.00543597,0.74118318,0.39959153,0.11600001
-5.96998499,1.05393399,0.01406611,0.03370983,0.34898704,0.14463695,0.00496917,0.74581020,0.39972647,0.11543100
-5.96398199,1.06301618,0.01427757,0.03496007,0.35178559,0.14724060,0.00454663,0.75150175,0.39912322,0.11530469
-5.95797899,1.07397689,0.01445943,0.03633374,0.35474802,0.15019948,0.00416928,0.75824763,0.39782981,0.11561709
-5.95197599,1.08671803,0.01461398,0.03782746,0.35784797,0.15350234,0.00383689,0.76598774,0.39590028,0.11635036
-5.94597299,1.10105760,0.01474319,0.03943365,0.36104249,0.15712460,0.00354816,0.77460861,0.39339028,0.11747307
-5.93996998,1.11672767,0.01484856,0.04114032,0.36427029,0.16102768,0.00330090,0.78394162,0.39035253,0.11894064
-5.93396698,1.13337545,0.01493093,0.04293091,0.36745073,0.16515881,0.00309214,0.79376336,0.38683281,0.12069629
-5.92796398,1.15056797,0.01499036,0.04478441,0.37048389,0.16945144,0.00291836,0.80379835,0.38286657,0.12267235
-5.92196098,1.16780072,0.01502613,0.04667560,0.37325186,0.17382625,0.00277558,0.81372447,0.37847657,0.12479196
-5.91595798,1.18451036,0.01503667,0.04857556,0.37562130,0.17819293,0.00265955,0.82318119,0.37367166,0.12697124
-5.90995498,1.20009131,0.01501972,0.05045235,0.37744724,0.18245254,0.00256591,0.83178047,0.36844690,0.12912174
-5.90395198,1.21391592,0.01497239,0.05227194,0.37857803,0.18650068,0.00249030,0.83912014,0.36278506,0.13115327
-5.89794897,1.22535754,0.01489138,0.05399931,0.37886124,0.19023109,0.00242850,0.84479923,0.35665929,0.13297695
-5.89194597,1.23381570,0.01477319,0.05559970,0.37815030,0.19353985,0.00237652,0.84843481,0.35003694,0.13450840
-5.88594297,1.23874227,0.01461438,0.05704000,0.37631137,0.19632976,0.00233074,0.84967949,0.34288419,0.13567096
-5.87993997,1.23966756,0.01441183,0.05829019,0.37323033,0.19851497,0.00228789,0.84823887,0.33517134,0.13639885
-5.87393697,1.23622509,0.01416299,0.05932480,0.36881926,0.20002548,0.00224522,0.84388812,0.32687814,0.13664005
-5.86793397,1.22817391,0.01386611,0.06012428,0.36302220,0.20081140,0.00220044,0.83648687,0.31799915,0.13635892
-5.86193097,1.21541730,0.01352045,0.06067631,0.35581987,0.20084678,0.00215179,0.82599158,0.30854852,0.13553835
-5.85592796,1.19801695,0.01312646,0.06097690,0.34723299,0.20013269,0.00209805,0.81246494,0.29856410,0.13418135
-5.84992496,1.17620195,0.01268586,0.06103127,0.33732406,0.19869966,0.00203848,0.79608160,0.28811042,0.13231205
-5.84392196,1.15037201,0.01220171,0.06085443,0.32619756,0.19660902,0.00197287,0.77713010,0.27728053,0.12997598
-5.83791896,1.12109471,0.01167841,0.06047151,0.31399844,0.19395334,0.00190144,0.75601068,0.26619653,0.12723979
-5.83191596,1.08909687,0.01112162,0.05991768,0.30090912,0.19085574,0.00182480,0.73322915,0.25500867,0.12419015
-5.82591296,1.05525023,0.01053819,0.05923776,0.28714498,0.18746811,0.00174396,0.70938700,0.24389324,0.12093208
