energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.31436745,0.01071986,0.00000000,0.00685779,0.13328187,0.82115590,0.00000000,0.57449998,0.24676675
-5.99399700,1.30127741,0.01077209,0.00000000,0.00700787,0.13788313,0.80987522,0.00000000,0.55151215,0.24379335
-5.98799400,1.28604912,0.01082520,0.00000000,0.00716553,0.14262626,0.79676094,0.00000000,0.52768322,0.24072677
-5.98199100,1.26917763,0.01088528,0.00000000,0.00732983,0.14747295,0.78225909,0.00000000,0.50333311,0.23761372
-5.97598799,1.25125870,0.01095889,0.00000000,0.00749975,0.15238809,0.76688010,0.00000000,0.47880427,0.23452827
-5.96998499,1.23297209,0.01105297,0.00000000,0.00767417,0.15734124,0.75118539,0.00000000,0.45445456,0.23156879
-5.96398199,1.21506211,0.01117463,0.00000000,0.00785178,0.16230808,0.73577227,0.00000000,0.43064935,0.22885401
-5.95797899,1.19831609,0.01133098,0.00000000,0.00803105,0.16727152,0.72125760,0.00000000,0.40775323,0.22651844
-5.95197599,1.18354136,0.01152896,0.00000000,0.00821030,0.17222253,0.70826084,0.00000000,0.38612128,0.22470724
-5.94597299,1.17154160,0.01177515,0.00000000,0.00838770,0.17716056,0.69738686,0.00000000,0.36609060,0.22357080
-5.93996998,1.16309301,0.01207555,0.00000000,0.00856138,0.18209345,0.68920911,0.00000000,0.34797203,0.22325902
-5.93396698,1.15892125,0.01243542,0.00000000,0.00872954,0.18703695,0.68425366,0.00000000,0.33204253,0.22391567
-5.92796398,1.15967946,0.01285911,0.00000000,0.00889062,0.19201361,0.68298446,0.00000000,0.31853842,0.22567282
-5.92196098,1.16592815,0.01334987,0.00000000,0.00904349,0.19705135,0.68579019,0.00000000,0.30764967,0.22864553
-5.91595798,1.17811733,0.01390970,0.00000000,0.00918764,0.20218146,0.69297309,0.00000000,0.29951542,0.23292703
-5.90995498,1.19657138,0.01453924,0.00000000,0.00932339,0.20743641,0.70473994,0.00000000,0.29422088,0.23858436
-5.90395198,1.22147701,0.01523761,0.00000000,0.00945207,0.21284736,0.72119544,0.00000000,0.29179556,0.24565480
-5.89794897,1.25287468,0.01600236,0.00000000,0.00957624,0.21844164,0.74233812,0.00000000,0.29221313,0.25414294
-5.89194597,1.29065363,0.01682939,0.00000000,0.00969977,0.22424022,0.76805884,0.00000000,0.29539252,0.26401886
-5.88594297,1.33455093,0.01771295,0.00000000,0.00982798,0.23025544,0.79814204,0.00000000,0.30120054,0.27521707
