energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.23234364,0.00000000,0.01561852,0.00268463,0.12278658,0.00501852,0.02050487
-5.99399700,0.23453450,0.00000000,0.01576579,0.00270994,0.12394438,0.00506584,0.02069822
-5.98799400,0.23504587,0.00000000,0.01580017,0.00271585,0.12421463,0.00507688,0.02074335
-5.98199100,0.23386676,0.00000000,0.01572091,0.00270222,0.12359150,0.00505142,0.02063929
-5.97598799,0.23102252,0.00000000,0.01552972,0.00266936,0.12208840,0.00498998,0.02038828
-5.96998499,0.22657402,0.00000000,0.01523068,0.00261796,0.11973750,0.00489390,0.01999569
-5.96398199,0.22061544,0.00000000,0.01483014,0.00254911,0.11658857,0.00476520,0.01946983
-5.95797899,0.21327096,0.00000000,0.01433644,0.00246425,0.11270722,0.00460657,0.01882166
-5.95197599,0.20469045,0.00000000,0.01375966,0.00236510,0.10817266,0.00442124,0.01806442
-5.94597299,0.19504444,0.00000000,0.01311125,0.00225365,0.10307501,0.00421290,0.01721313
-5.93996998,0.18451845,0.00000000,0.01240370,0.00213202,0.09751231,0.00398556,0.01628419
-5.93396698,0.17330712,0.00000000,0.01165008,0.00200248,0.09158740,0.00374343,0.01529476
-5.92796398,0.16160830,0.00000000,0.01086372,0.00186730,0.08540485,0.00349077,0.01426231
-5.92196098,0.14961737,0.00000000,0.01005773,0.00172874,0.07906790,0.00323183,0.01320409
-5.91595798,0.13752199,0.00000000,0.00924475,0.00158897,0.07267569,0.00297066,0.01213664
-5.90995498,0.12549753,0.00000000,0.00843659,0.00145002,0.06632089,0.00271106,0.01107545
-5.90395198,0.11370325,0.00000001,0.00764395,0.00131373,0.06008765,0.00245648,0.01003457
-5.89794897,0.10227940,0.00000001,0.00687628,0.00118170,0.05405003,0.00220999,0.00902638
-5.89194597,0.09134519,0.00000001,0.00614164,0.00105533,0.04827100,0.00197419,0.00806139
-5.88594297,0.08099774,0.00000002,0.00544658,0.00093572,0.04280182,0.00175123,0.00714818
-5.87993997,0.07131188,0.00000003,0.00479618,0.00082374,0.03768195,0.00154278,0.00629333
-5.87393697,0.06234077,0.00000004,0.00419407,0.00071999,0.03293939,0.00135009,0.00550154
-5.86793397,0.05411717,0.00000006,0.00364254,0.00062485,0.02859133,0.00117398,0.00477568
-5.86193097,0.04665533,0.00000008,0.00314264,0.00053848,0.02464514,0.00101492,0.00411699
-5.85592796,0.03995328,0.00000012,0.00269436,0.00046083,0.02109958,0.00087310,0.00352528
-5.84992496,0.03399536,0.00000017,0.00229679,0.00039172,0.01794615,0.00074845,0.00299911
-5.84392196,0.02875505,0.00000024,0.00194833,0.00033083,0.01517054,0.00064079,0.00253611
-5.83791896,0.02419764,0.00000034,0.00164686,0.00027773,0.01275408,0.00054985,0.00213314
-5.83191596,0.02028304,0.00000048,0.00138995,0.00023195,0.01067521,0.00047542,0.00178656
-5.82591296,0.01696827,0.00000067,0.00117499,0.00019297,0.00891077,0.00041737,0.00149247
-5.81990995,0.01420987,0.00000092,0.00099939,0.00016027,0.00743731,0.00037582,0.00124686
-5.81390695,0.01196597,0.00000126,0.00086072,0.00013332,0.00623221,0.00035116,0.00104582
-5.80790395,0.01019816,0.00000171,0.00075679,0.00011169,0.00527461,0.00034419,0.00088567
-5.80190095,0.00887297,0.00000232,0.00068578,0.00009494,0.00454632,0.00035623,0.00076312
-5.79589795,0.00796317,0.00000311,0.00064630,0.00008276,0.00403244,0.00038914,0.00067529
-5.78989495,0.00744871,0.00000414,0.00063742,0.00007491,0.00372198,0.00044551,0.00061986
-5.78389195,0.00731742,0.00000548,0.00065872,0.00007126,0.00360823,0.00052867,0.00059504
-5.77788894,0.00756542,0.00000719,0.00071026,0.00007178,0.00368910,0.00064284,0.00059964
-5.77188594,0.00819737,0.00000938,0.00079256,0.00007657,0.00396729,0.00079316,0.00063302
-5.76588294,0.00922640,0.00001213,0.00090657,0.00008587,0.00445035,0.00098577,0.00069511
-5.75987994,0.01067379,0.00001559,0.00105355,0.00010002,0.00515067,0.00122790,0.00078630
-5.75387694,0.01256855,0.00001989,0.00123505,0.00011951,0.00608528,0.00152782,0.00090747
-5.74787394,0.01494658,0.00002519,0.00145272,0.00014497,0.00727560,0.00189490,0.00105982
-5.74187094,0.01784974,0.00003168,0.00170825,0.00017712,0.00874699,0.00233954,0.00124483
-5.73586793,0.02132455,0.00003955,0.00200318,0.00021682,0.01052824,0.00287307,0.00146412
-5.72986493,0.02542072,0.00004902,0.00233875,0.00026504,0.01265079,0.00350762,0.00171939
-5.72386193,0.03018936,0.00006032,0.00271580,0.00032281,0.01514791,0.00425593,0.00201221
-5.71785893,0.03568099,0.00007370,0.00313452,0.00039123,0.01805357,0.00513104,0.00234395
-5.71185593,0.04194322,0.00008939,0.00359438,0.00047143,0.02140129,0.00614597,0.00271563
-5.70585293,0.04901836,0.00010765,0.00409394,0.00056453,0.02522270,0.00731333,0.00312777
-5.69984992,0.05694078,0.00012871,0.00463077,0.00067160,0.02954601,0.00864480,0.00358025
-5.69384692,0.06573425,0.00015278,0.00520132,0.00079362,0.03439440,0.01015062,0.00407225
-5.68784392,0.07540919,0.00018005,0.00580089,0.00093142,0.03978423,0.01183903,0.00460207
