energy_ev,total_up,B_p_up,B_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.14998496,0.67589739,0.00000000,1.17842548,1.51250676,0.04423092,0.79538805
-5.99399700,3.12946301,0.64317454,0.00000000,1.19312335,1.46645948,0.04518801,0.81928474
-5.98799400,3.10809748,0.61162384,0.00000000,1.20863299,1.42093689,0.04608669,0.84132145
-5.98199100,3.08586097,0.58155238,0.00000000,1.22479328,1.37626489,0.04691529,0.86117068
-5.97598799,3.06253953,0.55319208,0.00000000,1.24133161,1.33266177,0.04766060,0.87850043
-5.96998499,3.03774472,0.52669750,0.00000000,1.25786815,1.29024085,0.04830814,0.89298203
-5.96398199,3.01093506,0.50214666,0.00000000,1.27392583,1.24901754,0.04884247,0.90429920
-5.95797899,2.98144581,0.47954457,0.00000000,1.28894552,1.20892037,0.04924769,0.91215800
-5.95197599,2.94852564,0.45882935,0.00000000,1.30230596,1.16980522,0.04950800,0.91629724
-5.94597299,2.91137827,0.43988045,0.00000000,1.31334739,1.13147196,0.04960828,0.91649889
-5.93996998,2.86920696,0.42252864,0.00000000,1.32139802,1.09368266,0.04953480,0.91259788
-5.93396698,2.82125978,0.40656729,0.00000000,1.32580186,1.05618043,0.04927590,0.90449091
-5.92796398,2.76687315,0.39176420,0.00000000,1.32594676,1.01870789,0.04882259,0.89214362
-5.92196098,2.70551174,0.37787381,0.00000000,1.32129118,0.98102460,0.04816916,0.87559578
-5.91595798,2.63680269,0.36464889,0.00000000,1.31138848,0.94292252,0.04731367,0.85496417
-5.90995498,2.56056256,0.35185158,0.00000000,1.29590751,0.90423904,0.04625833,0.83044283
-5.90395198,2.47681584,0.33926304,0.00000000,1.27464855,0.86486697,0.04500972,0.80230072
-5.89794897,2.38580439,0.32669170,0.00000000,1.24755389,0.82476139,0.04357886,0.77087671
-5.89194597,2.28798742,0.31397960,0.00000000,1.21471268,0.78394306,0.04198112,0.73657219
-5.88594297,2.18403241,0.30100682,0.00000000,1.17635979,0.74249862,0.04023598,0.69984154
-5.87993997,2.07479769,0.28769389,0.00000000,1.13286902,0.70057772,0.03836665,0.66118085
-5.87393697,1.96130772,0.27400234,0.00000000,1.08474107,0.65838742,0.03639950,0.62111553
-5.86793397,1.84472260,0.25993334,0.00000000,1.03258692,0.61618448,0.03436345,0.58018720
-5.86193097,1.72630346,0.24552487,0.00000000,0.97710775,0.57426592,0.03228928,0.53894042
-5.85592796,1.60737545,0.23084755,0.00000000,0.91907227,0.53295851,0.03020881,0.49790992
-5.84992496,1.48929021,0.21599950,0.00000000,0.85929266,0.49260783,0.02815418,0.45760879
