energy_ev,total_up,Sb_p_up,Sb_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.62574787,0.06857060,0.00069461,0.24997774,0.16278052,0.01590836,0.35972127
-5.99399700,0.67602604,0.07582007,0.00075072,0.26931958,0.17539182,0.01692029,0.38709182
-5.98799400,0.73130112,0.08365182,0.00081571,0.29103302,0.18911185,0.01799286,0.41726264
-5.98199100,0.79158180,0.09206116,0.00088998,0.31520245,0.20391908,0.01912132,0.45023853
-5.97598799,0.85678981,0.10103367,0.00097384,0.34187008,0.21977035,0.02029868,0.48597536
-5.96998499,0.92675330,0.11054456,0.00106754,0.37103131,0.23659967,0.02151565,0.52437651
-5.96398199,1.00120297,0.12055824,0.00117119,0.40263113,0.25431780,0.02276067,0.56529081
-5.95797899,1.07977116,0.13102817,0.00128483,0.43656181,0.27281272,0.02402009,0.60851233
-5.95197599,1.16199416,0.14189698,0.00140832,0.47266204,0.29195087,0.02527835,0.65378198
-5.94597299,1.24731761,0.15309699,0.00154144,0.51071754,0.31157933,0.02651836,0.70079085
-5.93996998,1.33510488,0.16455081,0.00168378,0.55046326,0.33152868,0.02772186,0.74918531
-5.93396698,1.42464812,0.17617243,0.00183484,0.59158695,0.35161661,0.02886990,0.79857360
-5.92796398,1.51518150,0.18786832,0.00199393,0.63373424,0.37165193,0.02994343,0.84853361
-5.92196098,1.60589617,0.19953886,0.00216026,0.67651480,0.39143899,0.03092378,0.89862151
-5.91595798,1.69595620,0.21107985,0.00233289,0.71950963,0.41078221,0.03179327,0.94838098
-5.90995498,1.78451501,0.22238411,0.00251075,0.76227898,0.42949058,0.03253581,0.99735248
-5.90395198,1.87073155,0.23334315,0.00269265,0.80437087,0.44738185,0.03313736,1.04508225
-5.89794897,1.95378558,0.24384885,0.00287730,0.84532965,0.46428636,0.03358645,1.09113074
-5.89194597,2.03289178,0.25379511,0.00306331,0.88470457,0.48005026,0.03387455,1.13508005
-5.88594297,2.10731206,0.26307948,0.00324917,0.92205795,0.49453808,0.03399640,1.17654032
-5.87993997,2.17636595,0.27160472,0.00343333,0.95697280,0.50763459,0.03395019,1.21515481
-5.87393697,2.23943899,0.27928025,0.00361415,0.98905964,0.51924588,0.03373766,1.25060373
-5.86793397,2.29598910,0.28602360,0.00378996,1.01796252,0.52929984,0.03336408,1.28260681
-5.86193097,2.34555120,0.29176176,0.00395904,1.04336408,0.53774589,0.03283814,1.31092482
-5.85592796,2.38774024,0.29643242,0.00411967,1.06498968,0.54455435,0.03217170,1.33536016
-5.84992496,2.42225320,0.29998520,0.00427015,1.08261068,0.54971536,0.03137948,1.35575693
-5.84392196,2.44887010,0.30238282,0.00440881,1.09604691,0.55323758,0.03047869,1.37200049
-5.83791896,2.46745474,0.30360208,0.00453406,1.10516840,0.55514684,0.02948858,1.38401702
-5.83191596,2.47795513,0.30363490,0.00464441,1.10989661,0.55548480,0.02842998,1.39177313
-5.82591296,2.48040403,0.30248908,0.00473850,1.11020512,0.55430776,0.02732480,1.39527571
-5.81990995,2.47491945,0.30018898,0.00481517,1.10611989,0.55168561,0.02619556,1.39457206
-5.81390695,2.46170525,0.29677592,0.00487344,1.09771926,0.54770103,0.02506495,1.38975032
-5.80790395,2.44105137,0.29230837,0.00491258,1.08513347,0.54244878,0.02395536,1.38094001
-5.80190095,2.41333358,0.28686169,0.00493215,1.06854388,0.53603515,0.02288853,1.36831257
-5.79589795,2.37901228,0.28052766,0.00493198,1.04818163,0.52857742,0.02188518,1.35208155
-5.78989495,2.33862976,0.27341340,0.00491222,1.02432578,0.52020310,0.02096476,1.33250220
-5.78389195,2.29280567,0.26563997,0.00487333,0.99730068,0.51104908,0.02014516,1.30987024
-5.77788894,2.24223025,0.25734042,0.00481611,0.96747252,0.50126034,0.01944255,1.28451934
-5.77188594,2.18765498,0.24865745,0.00474163,0.93524485,0.49098824,0.01887119,1.25681735
-5.76588294,2.12988064,0.23974056,0.00465126,0.90105316,0.48038836,0.01844325,1.22716093
-5.75987994,2.06974278,0.23074294,0.00454663,0.86535830,0.46961777,0.01816876,1.19596876
-5.75387694,2.00809492,0.22181797,0.00442954,0.82863887,0.45883194,0.01805540,1.16367324
-5.74787394,1.94578983,0.21311563,0.00430198,0.79138274,0.44818115,0.01810845,1.13071105
-5.74187094,1.88365968,0.20477883,0.00416603,0.75407768,0.43780673,0.01833066,1.09751287
-5.73586793,1.82249567,0.19693976,0.00402383,0.71720163,0.42783723,0.01872210,1.06449255
-5.72986493,1.76302812,0.18971655,0.00387750,0.68121266,0.41838459,0.01928010,1.03203641
-5.72386193,1.70590792,0.18321017,0.00372912,0.64653916,0.40954076,0.01999912,1.00049305
-5.71785893,1.65169017,0.17750190,0.00358062,0.61357047,0.40137471,0.02087071,0.97016421
-5.71185593,1.60082085,0.17265131,0.00343383,0.58264860,0.39393024,0.02188341,0.94129720
-5.70585293,1.55362731,0.16869491,0.00329035,0.55406107,0.38722454,0.02302285,0.91407922
-5.69984992,1.51031285,0.16564558,0.00315158,0.52803559,0.38124782,0.02427174,0.88863405
-5.69384692,1.47095597,0.16349271,0.00301869,0.50473646,0.37596390,0.02561008,0.86502105
-5.68784392,1.43551418,0.16220312,0.00289260,0.48426331,0.37131183,0.02701535,0.84323678
-5.68184092,1.40383229,0.16172270,0.00277400,0.46665187,0.36720858,0.02846288,0.82321905
-5.67583792,1.37565479,0.16197874,0.00266336,0.45187714,0.36355258,0.02992625,0.80485327
-5.66983492,1.35064183,0.16288283,0.00256094,0.43985862,0.36022800,0.03137778,0.78798068
-5.66383192,1.32838800,0.16433424,0.00246677,0.43046752,0.35710969,0.03278920,0.77240832
-5.65782891,1.30844308,0.16622366,0.00238076,0.42353564,0.35406837,0.03413224,0.75791996
-5.65182591,1.29033398,0.16843712,0.00230266,0.41886557,0.35097614,0.03537942,0.74428776
-5.64582291,1.27358668,0.17085998,0.00223210,0.41624161,0.34771173,0.03650472,0.73128402
-5.63981991,1.25774756,0.17338090,0.00216862,0.41544125,0.34416560,0.03748440,0.71869244
-5.63381691,1.24240294,0.17589545,0.00211170,0.41624627,0.34024447,0.03829763,0.70631858
-5.62781391,1.22719637,0.17830949,0.00206079,0.41845335,0.33587519,0.03892720,0.69399898
-5.62181091,1.21184274,0.18054203,0.00201530,0.42188335,0.33100779,0.03936002,0.68160857
-5.61580790,1.19613895,0.18252750,0.00197463,0.42638909,0.32561761,0.03958759,0.66906622
-5.60980490,1.17997065,0.18421739,0.00193822,0.43186106,0.31970641,0.03960627,0.65633810
-5.60380190,1.16331490,0.18558126,0.00190549,0.43823080,0.31330253,0.03941744,0.64343883
-5.59779890,1.14623889,0.18660701,0.00187592,0.44547191,0.30645995,0.03902743,0.63043052
-5.59179590,1.12889468,0.18730042,0.00184901,0.45359836,0.29925653,0.03844735,0.61741956
-5.58579290,1.11151044,0.18768415,0.00182432,0.46266043,0.29179133,0.03769274,0.60455162
-5.57978989,1.09437859,0.18779605,0.00180145,0.47273827,0.28418120,0.03678306,0.59200491
-5.57378689,1.07784145,0.18768706,0.00178006,0.48393351,0.27655689,0.03574104,0.57998211
-5.56778389,1.06227495,0.18741863,0.00175987,0.49635922,0.26905868,0.03459201,0.56870135
-5.56178089,1.04807136,0.18705991,0.00174067,0.51012889,0.26183181,0.03336309,0.55838660
-5.55577789,1.03562159,0.18668482,0.00172230,0.52534491,0.25502187,0.03208235,0.54925795
-5.54977489,1.02529794,0.18636897,0.00170468,0.54208712,0.24877035,0.03077805,0.54152209
-5.54377189,1.01743801,0.18618684,0.00168779,0.56040234,0.24321041,0.02947780,0.53536360
-5.53776888,1.01233044,0.18620902,0.00167167,0.58029511,0.23846318,0.02820790,0.53093717
-5.53176588,1.01020306,0.18649983,0.00165641,0.60172059,0.23463453,0.02699266,0.52836124
-5.52576288,1.01121397,0.18711533,0.00164219,0.62457984,0.23181253,0.02585394,0.52771330
-5.51975988,1.01544567,0.18810172,0.00162920,0.64871786,0.23006559,0.02481068,0.52902691
-5.51375688,1.02290276,0.18949430,0.00161769,0.67392481,0.22944128,0.02387866,0.53229062
-5.50775388,1.03351273,0.19131680,0.00160794,0.69994014,0.22996589,0.02307033,0.53744881
-5.50175088,1.04713020,0.19358130,0.00160025,0.72645976,0.23164464,0.02239477,0.54440424
-5.49574787,1.06354381,0.19628846,0.00159493,0.75314587,0.23446241,0.02185773,0.55302228
-5.48974487,1.08248562,0.19942824,0.00159229,0.77963896,0.23838508,0.02146178,0.56313643
-5.48374187,1.10364239,0.20298076,0.00159262,0.80557151,0.24336110,0.02120652,0.57455491
-5.47773887,1.12666796,0.20691751,0.00159620,0.83058253,0.24932349,0.02108880,0.58706800
-5.47173587,1.15119625,0.21120262,0.00160329,0.85433239,0.25619190,0.02110303,0.60045554
-5.46573287,1.17685403,0.21579410,0.00161407,0.87651696,0.26387477,0.02124149,0.61449455
-5.45972986,1.20327293,0.22064515,0.00162871,0.89688046,0.27227139,0.02149455,0.62896626
-5.45372686,1.23010004,0.22570527,0.00164731,0.91522614,0.28127397,0.02185103,0.64366248
-5.44772386,1.25700667,0.23092126,0.00166989,0.93142437,0.29076947,0.02229840,0.65839092
-5.44172086,1.28369495,0.23623801,0.00169642,0.94541759,0.30064119,0.02282307,0.67297924
-5.43571786,1.30990210,0.24159912,0.00172681,0.95722191,0.31077033,0.02341058,0.68727787
-5.42971486,1.33540225,0.24694739,0.00176086,0.96692513,0.32103716,0.02404582,0.70116129
-5.42371186,1.36000611,0.25222511,0.00179833,0.97468151,0.33132222,0.02471328,0.71452808
-5.41770885,1.38355859,0.25737436,0.00183886,0.98070342,0.34150728,0.02539719,0.72729971
-5.41170585,1.40593487,0.26233728,0.00188207,0.98525039,0.35147626,0.02608178,0.73941823
-5.40570285,1.42703533,0.26705642,0.00192745,0.98861620,0.36111615,0.02675146,0.75084324
-5.39969985,1.44677993,0.27147524,0.00197445,0.99111478,0.37031794,0.02739111,0.76154822
-5.39369685,1.46510246,0.27553877,0.00202246,0.99306554,0.37897759,0.02798630,0.77151670
-5.38769385,1.48194540,0.27919461,0.00207082,0.99477921,0.38699706,0.02852353,0.78073835
-5.38169085,1.49725562,0.28239409,0.00211882,0.99654468,0.39428544,0.02899056,0.78920554
-5.37568784,1.51098141,0.28509372,0.00216573,0.99861774,0.40076016,0.02937659,0.79691029
-5.36968484,1.52307117,0.28725691,0.00221081,1.00121221,0.40634823,0.02967258,0.80384211
-5.36368184,1.53347378,0.28885578,0.00225335,1.00449387,0.41098751,0.02987143,0.80998662
-5.35767884,1.54214064,0.28987304,0.00229266,1.00857749,0.41462797,0.02996819,0.81532521
-5.35167584,1.54902934,0.29030386,0.00232811,1.01352691,0.41723286,0.02996013,0.81983568
-5.34567284,1.55410865,0.29015753,0.00235916,1.01935817,0.41877972,0.02984689,0.82349374
-5.33966983,1.55736431,0.28945876,0.00238537,1.02604516,0.41926131,0.02963042,0.82627541
-5.33366683,1.55880542,0.28824862,0.00240644,1.03352757,0.41868621,0.02931493,0.82815998
-5.32766383,1.55847057,0.28658482,0.00242218,1.04172016,0.41707918,0.02890670,0.82913339
-5.32166083,1.55643340,0.28454133,0.00243261,1.05052304,0.41448119,0.02841393,0.82919179
-5.31565783,1.55280696,0.28220724,0.00243787,1.05983191,0.41094910,0.02784637,0.82834494
-5.30965483,1.54774630,0.27968486,0.00243830,1.06954756,0.40655495,0.02721504,0.82661924
-5.30365183,1.54144901,0.27708702,0.00243442,1.07958417,0.40138482,0.02653179,0.82406006
-5.29764882,1.53415325,0.27453358,0.00242688,1.08987545,0.39553739,0.02580895,0.82073318
-5.29164582,1.52613331,0.27214744,0.00241650,1.10037847,0.38912195,0.02505888,0.81672516
