energy_ev,total_up,As_p_up,As_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.56442597,0.03321563,0.00000000,0.15790361,0.12311572,0.01867160,0.30422532
-5.99399700,0.55602818,0.03108861,0.00000000,0.15306719,0.12180074,0.01730582,0.30189716
-5.98799400,0.55013089,0.02919074,0.00000000,0.14883356,0.12093220,0.01607299,0.30065699
-5.98199100,0.54651203,0.02752121,0.00000000,0.14513938,0.12045260,0.01497146,0.30036519
-5.97598799,0.54489083,0.02607343,0.00000000,0.14190731,0.12029415,0.01399676,0.30085628
-5.96998499,0.54494019,0.02483583,0.00000000,0.13905035,0.12038167,0.01314218,0.30194565
-5.96398199,0.54629968,0.02379272,0.00000000,0.13647608,0.12063541,0.01239936,0.30343653
-5.95797899,0.54858840,0.02292524,0.00000000,0.13409090,0.12097394,0.01175890,0.30512674
-5.95197599,0.55141741,0.02221221,0.00000000,0.13180373,0.12131675,0.01121096,0.30681517
-5.94597299,0.55440136,0.02163098,0.00000000,0.12952940,0.12158670,0.01074578,0.30830766
-5.93996998,0.55716907,0.02115829,0.00000000,0.12719143,0.12171203,0.01035423,0.30942217
-5.93396698,0.55937277,0.02077091,0.00000000,0.12472421,0.12162816,0.01002827,0.30999319
-5.92796398,0.56069609,0.02044630,0.00000000,0.12207446,0.12127904,0.00976131,0.30987530
-5.92196098,0.56086050,0.02016317,0.00000000,0.11920217,0.12061813,0.00954858,0.30894589
-5.91595798,0.55963043,0.01990188,0.00000000,0.11608085,0.11960905,0.00938740,0.30710697
-5.90995498,0.55681701,0.01964477,0.00000000,0.11269725,0.11822590,0.00927732,0.30428630
-5.90395198,0.55228050,0.01937647,0.00000000,0.10905068,0.11645326,0.00922033,0.30043776
-5.89794897,0.54593154,0.01908402,0.00000000,0.10515184,0.11428592,0.00922087,0.29554106
-5.89194597,0.53773130,0.01875697,0.00000000,0.10102148,0.11172845,0.00928587,0.28960094
-5.88594297,0.52769051,0.01838745,0.00000000,0.09668881,0.10879451,0.00942464,0.28264587
-5.87993997,0.51586764,0.01797008,0.00000000,0.09218981,0.10550608,0.00964875,0.27472636
-5.87393697,0.50236604,0.01750190,0.00000000,0.08756555,0.10189252,0.00997179,0.26591292
-5.86793397,0.48733033,0.01698229,0.00000000,0.08286049,0.09798959,0.01040910,0.25629373
-5.86193097,0.47094187,0.01641269,0.00000000,0.07812096,0.09383839,0.01097734,0.24597209
-5.85592796,0.45341357,0.01579647,0.00000000,0.07339366,0.08948419,0.01169410,0.23506366
-5.84992496,0.43498396,0.01513866,0.00000000,0.06872442,0.08497536,0.01257726,0.22369353
-5.84392196,0.41591068,0.01444567,0.00000000,0.06415701,0.08036213,0.01364441,0.21199323
-5.83791896,0.39646356,0.01372500,0.00000000,0.05973224,0.07569550,0.01491219,0.20009758
-5.83191596,0.37691734,0.01298497,0.00000000,0.05548716,0.07102603,0.01639546,0.18814164
-5.82591296,0.35754430,0.01223440,0.00000000,0.05145440,0.06640280,0.01810659,0.17625766
-5.81990995,0.33860702,0.01148232,0.00000000,0.04766171,0.06187232,0.02005465,0.16457211
-5.81390695,0.32035140,0.01073769,0.00000000,0.04413166,0.05747759,0.02224469,0.15320301
-5.80790395,0.30300034,0.01000917,0.00000000,0.04088140,0.05325726,0.02467702,0.14225745
-5.80190095,0.28674824,0.00930487,0.00000000,0.03792262,0.04924487,0.02734671,0.13182952
-5.79589795,0.27175646,0.00863220,0.00000000,0.03526162,0.04546837,0.03024317,0.12199864
-5.78989495,0.25815016,0.00799776,0.00000000,0.03289947,0.04194966,0.03334993,0.11282835
-5.78389195,0.24601653,0.00740722,0.00000000,0.03083234,0.03870440,0.03664476,0.10436570
-5.77788894,0.23540448,0.00686536,0.00000000,0.02905197,0.03574205,0.04009994,0.09664112
-5.77188594,0.22632608,0.00637610,0.00000000,0.02754614,0.03306601,0.04368294,0.08966892
-5.76588294,0.21875939,0.00594262,0.00000000,0.02629945,0.03067406,0.04735737,0.08344826
-5.75987994,0.21265301,0.00556753,0.00000000,0.02529400,0.02855885,0.05108421,0.07796472
-5.75387694,0.20793180,0.00525312,0.00000000,0.02451035,0.02670870,0.05482341,0.07319224
-5.74787394,0.20450394,0.00500166,0.00000000,0.02392848,0.02510837,0.05853562,0.06909549
-5.74187094,0.20226883,0.00481572,0.00000000,0.02352878,0.02374007,0.06218423,0.06563250
