energy_ev,total_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,3.81081259,0.29311495,1.46780586,0.23192751,0.68218096,0.27866344,0.00038689
-5.99399700,3.69864295,0.28336333,1.44141608,0.23064243,0.66745002,0.26811182,0.00037115
-5.98799400,3.57603089,0.27306736,1.41103165,0.22854056,0.65140496,0.25654017,0.00035423
-5.98199100,3.44510178,0.26239580,1.37725530,0.22571935,0.63433969,0.24413122,0.00033640
-5.97598799,3.30808451,0.25152763,1.34076552,0.22228990,0.61657518,0.23107312,0.00031793
-5.96998499,3.16726250,0.24064856,1.30230200,0.21837359,0.59845343,0.21755506,0.00029910
-5.96398199,3.02492511,0.22994737,1.26264934,0.21409860,0.58033069,0.20376312,0.00028015
-5.95797899,2.88332073,0.21961210,1.22261935,0.20959634,0.56257025,0.18987643,0.00026132
-5.95197599,2.74461234,0.20982615,1.18303237,0.20499798,0.54553474,0.17606391,0.00024282
-5.94597299,2.61083646,0.20076451,1.14469810,0.20043114,0.52957820,0.16248142,0.00022486
-5.93996998,2.48386619,0.19258992,1.10839638,0.19601676,0.51503810,0.14926946,0.00020758
-5.93396698,2.36537893,0.18544928,1.07485850,0.19186622,0.50222743,0.13655157,0.00019113
-5.92796398,2.25682895,0.17947036,1.04474946,0.18807883,0.49142703,0.12443314,0.00017562
-5.92196098,2.15942544,0.17475872,1.01865159,0.18473966,0.48287840,0.11300088,0.00016114
-5.91595798,2.07411584,0.17139514,0.99705012,0.18191764,0.47677718,0.10232277,0.00014775
-5.90995498,2.00157476,0.16943347,0.98032092,0.17966424,0.47326737,0.09244844,0.00013548
-5.90395198,1.94219841,0.16889913,0.96872088,0.17801235,0.47243661,0.08340994,0.00012436
-5.89794897,1.89610449,0.16978812,0.96238110,0.17697572,0.47431255,0.07522285,0.00011440
-5.89194597,1.86313732,0.17206679,0.96130320,0.17654878,0.47886061,0.06788759,0.00010557
-5.88594297,1.84287838,0.17567224,0.96535891,0.17670686,0.48598308,0.06139096,0.00009787
-5.87993997,1.83466166,0.18051353,0.97429288,0.17740692,0.49551980,0.05570777,0.00009125
-5.87393697,1.83759392,0.18647357,0.98772891,0.17858864,0.50725048,0.05080249,0.00008568
