energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.12086014,1.15053680,0.00000000,0.12232761,0.17016940,0.84389319,0.90854197
-5.99399700,2.12693409,1.16023828,0.00000000,0.12211481,0.16846286,0.86110425,0.92394200
-5.98799400,2.14694645,1.17836247,0.00000000,0.12229197,0.16774195,0.88961880,0.94423642
-5.98199100,2.17896170,1.20379976,0.00000000,0.12277162,0.16786807,0.92832044,0.96872193
-5.97598799,2.22105337,1.23544364,0.00000000,0.12347018,0.16870096,0.97607022,0.99668709
-5.96998499,2.27132950,1.27220237,0.00000000,0.12430968,0.17010158,1.03170923,1.02742178
-5.96398199,2.32795224,1.31300741,0.00000000,0.12521900,0.17193450,1.09405970,1.06022464
-5.95797899,2.38915180,1.35681920,0.00000000,0.12613470,0.17406991,1.16192498,1.09440871
-5.95197599,2.45323540,1.40263049,0.00000000,0.12700141,0.17638505,1.23408956,1.12930523
-5.94597299,2.51859181,1.44946788,0.00000000,0.12777174,0.17876536,1.30931959,1.16426594
-5.93996998,2.58369260,1.49639206,0.00000000,0.12840594,0.18110509,1.38636482,1.19866431
-5.93396698,2.64709113,1.54249748,0.00000000,0.12887118,0.18330763,1.46396231,1.23189601
-5.92796398,2.70742035,1.58691204,0.00000000,0.12914064,0.18528558,1.54084253,1.26337917
-5.92196098,2.76339077,1.62879745,0.00000000,0.12919255,0.18696057,1.61573807,1.29255484
-5.91595798,2.81378937,1.66735074,0.00000000,0.12900910,0.18826305,1.68739509,1.31888808
-5.90995498,2.85748065,1.70180743,0.00000000,0.12857548,0.18913193,1.75458754,1.34187011
-5.90395198,2.89341015,1.73144649,0.00000000,0.12787909,0.18951436,1.81613385,1.36102167
-5.89794897,2.92061110,1.75559733,0.00000000,0.12690885,0.18936551,1.87091574,1.37589775
-5.89194597,2.93821407,1.77364859,0.00000000,0.12565483,0.18864849,1.91789849,1.38609376
-5.88594297,2.94545942,1.78505856,0.00000000,0.12410813,0.18733438,1.95615210,1.39125286
-5.87993997,2.94171190,1.78936664,0.00000000,0.12226095,0.18540239,1.98487226,1.39107421
-5.87393697,2.92647665,1.78620542,0.00000000,0.12010698,0.18284014,2.00340045,1.38532171
-5.86793397,2.89941541,1.77531237,0.00000000,0.11764189,0.17964394,2.01124194,1.37383273
-5.86193097,2.86036174,1.75654068,0.00000000,0.11486402,0.17581914,2.00808096,1.35652615
-5.85592796,2.80933405,1.72986815,0.00000000,0.11177504,0.17138041,1.99379193,1.33340928
-5.84992496,2.74654514,1.69540359,0.00000000,0.10838070,0.16635187,1.96844626,1.30458295
-5.84392196,2.67240724,1.65339003,0.00000000,0.10469140,0.16076713,1.93231386,1.27024429
-5.83791896,2.58753170,1.60420419,0.00000000,0.10072269,0.15466905,1.88585918,1.23068691
-5.83191596,2.49272271,1.54835204,0.00000000,0.09649551,0.14810932,1.82973168,1.18629815
-5.82591296,2.38896501,1.48646022,0.00000000,0.09203623,0.14114774,1.76475080,1.13755335
-5.81990995,2.27740561,1.41926374,0.00000000,0.08737647,0.13385128,1.69188592,1.08500726
-5.81390695,2.15933017,1.34759006,0.00000000,0.08255260,0.12629283,1.61223207,1.02928289
-5.80790395,2.03613488,1.27234036,0.00000000,0.07760503,0.11854987,1.52698221,0.97105813
-5.80190095,1.90929494,1.19446875,0.00000000,0.07257738,0.11070288,1.43739716,0.91105092
-5.79589795,1.78033113,1.11496018,0.00000000,0.06751537,0.10283375,1.34477450,0.85000335
-5.78989495,1.65077575,1.03480817,0.00000000,0.06246569,0.09502413,1.25041751,0.78866565
-5.78389195,1.52213962,0.95499322,0.00000000,0.05747484,0.08735387,1.15560549,0.72778066
-5.77788894,1.39588138,0.87646277,0.00000000,0.05258798,0.07989955,1.06156650,0.66806943
-5.77188594,1.27338038,0.80011365,0.00000000,0.04784779,0.07273325,0.96945354,0.61021866
-5.76588294,1.15591419,0.72677744,0.00000000,0.04329363,0.06592152,0.88032482,0.55487027
-5.75987994,1.04464139,0.65720934,0.00000000,0.03896064,0.05952460,0.79512879,0.50261362
-5.75387694,0.94059001,0.59208072,0.00000000,0.03487928,0.05359596,0.71469398,0.45398029
-5.74787394,0.84465158,0.53197528,0.00000000,0.03107484,0.04818208,0.63972388,0.40944166
-5.74187094,0.75758066,0.47738876,0.00000000,0.02756739,0.04332252,0.57079632,0.36940890
-5.73586793,0.67999897,0.42873166,0.00000000,0.02437172,0.03905020,0.50836714,0.33423511
-5.72986493,0.61240359,0.38633449,0.00000000,0.02149763,0.03539180,0.45277729,0.30421927
-5.72386193,0.55517786,0.35045492,0.00000000,0.01895025,0.03236839,0.40426267,0.27961125
-5.71785893,0.50860419,0.32128595,0.00000000,0.01673052,0.02999600,0.36296579,0.26061748
