energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,5.72018846,0.26250395,0.00000000,3.87341672,3.54505996,3.74403884,0.00000000
-5.99399700,5.67691497,0.25768791,0.00000000,3.82032220,3.54482567,3.71194487,0.00000000
-5.98799400,5.63649259,0.25286815,0.00000000,3.76780839,3.54641500,3.68317955,0.00000000
-5.98199100,5.59914508,0.24807975,0.00000000,3.71621401,3.54979221,3.65808818,0.00000000
-5.97598799,5.56474371,0.24334157,0.00000000,3.66565506,3.55471913,3.63675027,0.00000000
-5.96998499,5.53284052,0.23865722,0.00000000,3.61604796,3.56077423,3.61899454,0.00000000
-5.96398199,5.50271218,0.23401673,0.00000000,3.56713997,3.56737725,3.60442182,0.00000000
-5.95797899,5.47341139,0.22939872,0.00000000,3.51854476,3.57381793,3.59243430,0.00000000
-5.95197599,5.44382312,0.22477298,0.00000000,3.46978092,3.57928727,3.58226946,0.00000000
-5.94597299,5.41272259,0.22010327,0.00000000,3.42031113,3.58290993,3.57303686,0.00000000
-5.93996998,5.37883249,0.21535021,0.00000000,3.36957994,3.58377639,3.56375615,0.00000000
-5.93396698,5.34087698,0.21047413,0.00000000,3.31704838,3.58097364,3.55339487,0.00000000
-5.92796398,5.29763074,0.20543764,0.00000000,3.26222394,3.57361364,3.54090460,0.00000000
-5.92196098,5.24796148,0.20020801,0.00000000,3.20468482,3.56085887,3.52525462,0.00000000
-5.91595798,5.19086534,0.19475903,0.00000000,3.14409798,3.54194442,3.50546214,0.00000000
-5.90995498,5.12549453,0.18907244,0.00000000,3.08023063,3.51619670,3.48061867,0.00000000
-5.90395198,5.05117749,0.18313891,0.00000000,3.01295557,3.48304853,3.44991239,0.00000000
-5.89794897,4.96743188,0.17695843,0.00000000,2.94225083,3.44205105,3.41264623,0.00000000
-5.89194597,4.87397124,0.17054024,0.00000000,2.86819449,3.39288238,3.36825202,0.00000000
-5.88594297,4.77070605,0.16390240,0.00000000,2.79095567,3.33535367,3.31630078,0.00000000
-5.87993997,4.65774026,0.15707091,0.00000000,2.71078294,3.26941252,3.25650949,0.00000000
-5.87393697,4.53536420,0.15007854,0.00000000,2.62799109,3.19514422,3.18874465,0.00000000
-5.86793397,4.40404472,0.14296355,0.00000000,2.54294748,3.11277092,3.11302291,0.00000000
-5.86193097,4.26441328,0.13576816,0.00000000,2.45605896,3.02264883,3.02950903,0.00000000
-5.85592796,4.11725264,0.12853714,0.00000000,2.36775992,2.92526351,2.93851149,0.00000000
-5.84992496,3.96348239,0.12131631,0.00000000,2.27850228,2.82122331,2.84047573,0.00000000
-5.84392196,3.80414381,0.11415126,0.00000000,2.18874756,2.71125083,2.73597542,0.00000000
-5.83791896,3.64038408,0.10708617,0.00000000,2.09896135,2.59617246,2.62570169,0.00000000
-5.83191596,3.47343981,0.10016285,0.00000000,2.00960986,2.47690597,2.51045058,0.00000000
-5.82591296,3.30462012,0.09341998,0.00000000,1.92115856,2.35444628,2.39110880,0.00000000
-5.81990995,3.13528907,0.08689263,0.00000000,1.83407236,2.22984944,2.26863802,0.00000000
-5.81390695,2.96684763,0.08061193,0.00000000,1.74881694,2.10421528,2.14405797,0.00000000
-5.80790395,2.80071515,0.07460500,0.00000000,1.66586068,1.97866879,2.01842855,0.00000000
-5.80190095,2.63831055,0.06889496,0.00000000,1.58567681,1.85434089,1.89283136,0.00000000
-5.79589795,2.48103337,0.06350118,0.00000000,1.50874503,1.73234895,1.76835107,0.00000000
-5.78989495,2.33024508,0.05843959,0.00000000,1.43555249,1.61377752,1.64605688,0.00000000
-5.78389195,2.18725065,0.05372297,0.00000000,1.36659354,1.49965992,1.52698465,0.00000000
-5.77788894,2.05328102,0.04936141,0.00000000,1.30236817,1.39096111,1.41212001,0.00000000
-5.77188594,1.92947655,0.04536261,0.00000000,1.24337890,1.28856223,1.30238278,0.00000000
-5.76588294,1.81687167,0.04173227,0.00000000,1.19012601,1.19324730,1.19861313,0.00000000
-5.75987994,1.71638115,0.03847428,0.00000000,1.14310138,1.10569215,1.10155949,0.00000000
-5.75387694,1.62878791,0.03559094,0.00000000,1.10278076,1.02645596,1.01186869,0.00000000
-5.74787394,1.55473260,0.03308308,0.00000000,1.06961485,0.95597527,0.93007812,0.00000000
-5.74187094,1.49470489,0.03094996,0.00000000,1.04401946,0.89456050,0.85661018,0.00000000
-5.73586793,1.44903664,0.02918929,0.00000000,1.02636487,0.84239487,0.79176875,0.00000000
-5.72986493,1.41789668,0.02779698,0.00000000,1.01696492,0.79953550,0.73573789,0.00000000
-5.72386193,1.40128742,0.02676694,0.00000000,1.01606606,0.76591651,0.68858233,0.00000000
-5.71785893,1.39904320,0.02609082,0.00000000,1.02383678,0.74135381,0.65024991,0.00000000
-5.71185593,1.41083040,0.02575768,0.00000000,1.04035784,0.72555149,0.62057557,0.00000000
-5.70585293,1.43614948,0.02575376,0.00000000,1.06561358,0.71810941,0.59928703,0.00000000
-5.69984992,1.47433908,0.02606221,0.00000000,1.09948482,0.71853210,0.58601178,0.00000000
-5.69384692,1.52458229,0.02666287,0.00000000,1.14174362,0.72623857,0.58028538,0.00000000
-5.68784392,1.58591540,0.02753223,0.00000000,1.19205016,0.74057305,0.58156104,0.00000000
-5.68184092,1.65723923,0.02864338,0.00000000,1.24995219,0.76081667,0.58922018,0.00000000
-5.67583792,1.73733327,0.02996615,0.00000000,1.31488707,0.78619981,0.60258408,0.00000000
-5.66983492,1.82487260,0.03146735,0.00000000,1.38618656,0.81591523,0.62092623,0.00000000
-5.66383192,1.91844760,0.03311115,0.00000000,1.46308447,0.84913177,0.64348551,0.00000000
-5.65782891,2.01658632,0.03485959,0.00000000,1.54472699,0.88500850,0.66947972,0.00000000
-5.65182591,2.11777902,0.03667323,0.00000000,1.63018549,0.92270908,0.69811942,0.00000000
-5.64582291,2.22050450,0.03851184,0.00000000,1.71847158,0.96141615,0.72862168,0.00000000
-5.63981991,2.32325744,0.04033522,0.00000000,1.80855391,1.00034533,0.76022350,0.00000000
-5.63381691,2.42457600,0.04210408,0.00000000,1.89937624,1.03875855,0.79219450,0.00000000
-5.62781391,2.52306876,0.04378088,0.00000000,1.98987621,1.07597622,0.82384863,0.00000000
-5.62181091,2.61743997,0.04533069,0.00000000,2.07900416,1.11138793,0.85455447,0.00000000
-5.61580790,2.70651228,0.04672197,0.00000000,2.16574140,1.14446121,0.88374387,0.00000000
-5.60980490,2.78924588,0.04792729,0.00000000,2.24911731,1.17474811,0.91091870,0.00000000
-5.60380190,2.86475345,0.04892390,0.00000000,2.32822474,1.20188919,0.93565552,0.00000000
-5.59779890,2.93231030,0.04969416,0.00000000,2.40223329,1.22561490,0.95760808,0.00000000
-5.59179590,2.99135930,0.05022581,0.00000000,2.47040002,1.24574427,0.97650764,0.00000000
-5.58579290,3.04151062,0.05051206,0.00000000,2.53207762,1.26218089,0.99216128,0.00000000
-5.57978989,3.08253633,0.05055149,0.00000000,2.58671970,1.27490655,1.00444830,0.00000000
-5.57378689,3.11436045,0.05034782,0.00000000,2.63388356,1.28397273,1.01331500,0.00000000
