energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,0.45868636,0.08120246,0.38002406,0.00306671,0.00529185,0.03263086,0.02881332,0.05547894,0.00000000
-5.99399700,0.48404661,0.09246510,0.39361240,0.00359050,0.00608638,0.03767481,0.03307521,0.06209970,0.00000000
-5.98799400,0.51859826,0.10548285,0.41464209,0.00418063,0.00698768,0.04351786,0.03793580,0.06995248,0.00000000
-5.98199100,0.56233048,0.12027389,0.44307657,0.00483885,0.00799609,0.05017793,0.04339885,0.07905129,0.00000000
-5.97598799,0.61511083,0.13683360,0.47877956,0.00556594,0.00911027,0.05766521,0.04945940,0.08939563,0.00000000
-5.96998499,0.67667392,0.15512958,0.52150913,0.00636147,0.01032698,0.06597937,0.05610199,0.10096711,0.00000000
-5.96398199,0.74661119,0.17509698,0.57091245,0.00722360,0.01164073,0.07510685,0.06329917,0.11372650,0.00000000
-5.95797899,0.82436243,0.19663478,0.62652163,0.00814894,0.01304363,0.08501856,0.07101016,0.12761096,0.00000000
-5.95197599,0.90921017,0.21960277,0.68775145,0.00913242,0.01452522,0.09566769,0.07918004,0.14253198,0.00000000
-5.94597299,1.00027767,0.24381996,0.75389949,0.01016723,0.01607244,0.10698823,0.08773924,0.15837390,0.00000000
-5.93996998,1.09653147,0.26906420,0.82414939,0.01124477,0.01766966,0.11889389,0.09660370,0.17499343,0.00000000
-5.93396698,1.19678909,0.29507346,0.89757778,0.01235470,0.01929888,0.13127783,0.10567550,0.19222000,0.00000000
-5.92796398,1.29973272,0.32154875,0.97316528,0.01348507,0.02094000,0.14401305,0.11484410,0.20985737,0.00000000
-5.92196098,1.40392891,0.34815881,1.04981189,0.01462248,0.02257116,0.15695372,0.12398830,0.22768622,0.00000000
-5.91595798,1.50785442,0.37454639,1.12635666,0.01575235,0.02416930,0.16993727,0.13297860,0.24546803,0.00000000
-5.90995498,1.60992793,0.40033621,1.20160159,0.01685918,0.02571073,0.18278733,0.14168023,0.26294999,0.00000000
-5.90395198,1.70854682,0.42514423,1.27433909,0.01792696,0.02717178,0.19531757,0.14995661,0.27987092,0.00000000
-5.89794897,1.80212817,0.44858804,1.34338241,0.01893954,0.02852956,0.20733609,0.15767306,0.29596805,0.00000000
-5.89194597,1.88915250,0.47029800,1.40759793,0.01988110,0.02976269,0.21865049,0.16470080,0.31098442,0.00000000
-5.88594297,1.96820875,0.48992868,1.46593826,0.02073655,0.03085207,0.22907333,0.17092098,0.32467665,0.00000000
