energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.37677144,0.13473194,0.05213833,0.01572305,0.00000000,0.05040977,0.56220040,0.44123325,1.74068612
-5.99399700,3.25723807,0.12544976,0.05196773,0.01569119,0.00000000,0.04887161,0.56738315,0.42946037,1.64088733
-5.98799400,3.13855772,0.11635786,0.05181828,0.01564442,0.00000000,0.04732722,0.57184269,0.41780049,1.54308892
-5.98199100,3.02171023,0.10754032,0.05169739,0.01558496,0.00000000,0.04579615,0.57556487,0.40636829,1.44802589
-5.97598799,2.90759100,0.09907260,0.05161081,0.01551517,0.00000000,0.04429655,0.57854597,0.39526705,1.35635035
-5.96998499,2.79700027,0.09102085,0.05156246,0.01543749,0.00000000,0.04284484,0.58079184,0.38458704,1.26862547
-5.96398199,2.69063433,0.08344142,0.05155414,0.01535434,0.00000000,0.04145541,0.58231646,0.37440435,1.18532184
-5.95797899,2.58907895,0.07638083,0.05158540,0.01526810,0.00000000,0.04014035,0.58313989,0.36478000,1.10681616
-5.95197599,2.49280526,0.06987597,0.05165341,0.01518097,0.00000000,0.03890932,0.58328591,0.35575951,1.03339229
-5.94597299,2.40216832,0.06395462,0.05175299,0.01509489,0.00000000,0.03776938,0.58277941,0.34737294,0.96524457
-5.93996998,2.31740849,0.05863621,0.05187664,0.01501145,0.00000000,0.03672497,0.58164388,0.33963537,0.90248297
-5.93396698,2.23865573,0.05393279,0.05201471,0.01493187,0.00000000,0.03577793,0.57989913,0.33254782,0.84514012
-5.92796398,2.16593672,0.04985008,0.05215568,0.01485687,0.00000000,0.03492757,0.57755946,0.32609874,0.79317965
-5.92196098,2.09918473,0.04638863,0.05228647,0.01478668,0.00000000,0.03417089,0.57463251,0.32026575,0.74650563
-5.91595798,2.03825177,0.04354504,0.05239286,0.01472105,0.00000000,0.03350274,0.57111880,0.31501786,0.70497265
-5.90995498,1.98292274,0.04131299,0.05246002,0.01465921,0.00000000,0.03291614,0.56701209,0.31031785,0.66839618
-5.90395198,1.93293086,0.03968431,0.05247301,0.01459994,0.00000000,0.03240263,0.56230053,0.30612487,0.63656274
-5.89794897,1.88797383,0.03864980,0.05241733,0.01454165,0.00000000,0.03195256,0.55696852,0.30239700,0.60923962
-5.89194597,1.84772980,0.03819987,0.05227953,0.01448243,0.00000000,0.03155556,0.55099914,0.29909372,0.58618360
-5.88594297,1.81187261,0.03832493,0.05204769,0.01442014,0.00000000,0.03120083,0.54437708,0.29617819,0.56714856
-5.87993997,1.78008537,0.03901556,0.05171192,0.01435255,0.00000000,0.03087762,0.53709164,0.29361907,0.55189151
-5.87393697,1.75207177,0.04026232,0.05126482,0.01427743,0.00000000,0.03057548,0.52913991,0.29139195,0.54017707
-5.86793397,1.72756466,0.04205545,0.05070177,0.01419262,0.00000000,0.03028468,0.52052958,0.28948024,0.53178009
-5.86193097,1.70633141,0.04438415,0.05002119,0.01409620,0.00000000,0.02999643,0.51128146,0.28787536,0.52648661
-5.85592796,1.68817598,0.04723577,0.04922468,0.01398652,0.00000000,0.02970312,0.50143144,0.28657650,0.52409299
