energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.12452705,0.00987075,1.45044361,0.09087870,0.97754502,1.12087978,1.06587855
-5.99399700,4.18123510,0.01026208,1.48560481,0.09017702,0.97317886,1.14549878,1.08764191
-5.98799400,4.22950814,0.01064495,1.51753918,0.08898031,0.96747637,1.16864852,1.10781492
-5.98199100,4.26827538,0.01101508,1.54579451,0.08730203,0.96028458,1.18987930,1.12603904
-5.97598799,4.29665947,0.01136846,1.56997598,0.08516496,0.95150244,1.20879790,1.14198777
-5.96998499,4.31400112,0.01170135,1.58975726,0.08260051,0.94108365,1.22507831,1.15537644
-5.96398199,4.31987701,0.01201031,1.60488975,0.07964773,0.92903756,1.23847003,1.16597088
-5.95797899,4.31411007,0.01229221,1.61520971,0.07635206,0.91542767,1.24880358,1.17359451
-5.95197599,4.29677184,0.01254416,1.62064283,0.07276398,0.90036820,1.25599294,1.17813374
-5.94597299,4.26817674,0.01276358,1.62120626,0.06893751,0.88401856,1.26003478,1.17954123
-5.93996998,4.22886853,0.01294814,1.61700779,0.06492866,0.86657623,1.26100439,1.17783707
-5.93396698,4.17959971,0.01309580,1.60824239,0.06079390,0.84826825,1.25904876,1.17310772
-5.92796398,4.12130465,0.01320479,1.59518615,0.05658875,0.82934181,1.25437690,1.16550289
-5.92196098,4.05506774,0.01327360,1.57818780,0.05236644,0.81005444,1.24724812,1.15523036
-5.91595798,3.98208798,0.01330105,1.55765841,0.04817674,0.79066413,1.23795873,1.14254912
-5.90995498,3.90364139,0.01328622,1.53405934,0.04406507,0.77141998,1.22682799,1.12776102
-5.90395198,3.82104305,0.01322857,1.50788926,0.04007172,0.75255368,1.21418403,1.11120141
-5.89794897,3.73561004,0.01312789,1.47967057,0.03623135,0.73427229,1.20035029,1.09322910
-5.89194597,3.64862709,0.01298433,1.44993588,0.03257275,0.71675240,1.18563349,1.07421609
-5.88594297,3.56131581,0.01279845,1.41921506,0.02911874,0.70013608,1.17031337,1.05453748
