energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.35848552,0.29465941,0.00893062,0.00320067,5.17379964,4.72191025,2.99357118
-5.99399700,7.10885284,0.29169382,0.00862319,0.00321137,4.99581690,4.56393994,2.86885122
-5.98799400,6.85226504,0.28774117,0.00831892,0.00320776,4.81356320,4.39918904,2.74160380
-5.98199100,6.59023155,0.28276512,0.00801886,0.00318922,4.62815727,4.22912759,2.61277760
-5.97598799,6.32409730,0.27674861,0.00772355,0.00315542,4.44057738,4.05510524,2.48323162
-5.96998499,6.05505563,0.26969548,0.00743314,0.00310628,4.25167007,3.87834423,2.35373232
-5.96398199,5.78416843,0.26163138,0.00714748,0.00304205,4.06216506,3.69993995,2.22495534
-5.95797899,5.51239121,0.25260383,0.00686616,0.00296322,3.87269442,3.52086758,2.09749093
-5.95197599,5.24060044,0.24268152,0.00658867,0.00287062,3.68381424,3.34199343,1.97185203
-5.94597299,4.96962045,0.23195278,0.00631445,0.00276530,3.49602660,3.16408912,1.84848420
-5.93996998,4.70024792,0.22052334,0.00604295,0.00264858,3.30980045,2.98784702,1.72777617
-5.93396698,4.43327183,0.20851338,0.00577374,0.00252197,3.12558945,2.81389527,1.61007018
-5.92796398,4.16948762,0.19605414,0.00550651,0.00238714,2.94384609,2.64281129,1.49567135
-5.92196098,3.90970479,0.18328412,0.00524113,0.00224589,2.76503094,2.47513268,1.38485537
-5.91595798,3.65474783,0.17034518,0.00497766,0.00210007,2.58961711,2.31136489,1.27787416
-5.90995498,3.40545068,0.15737851,0.00471634,0.00195156,2.41808977,2.15198556,1.17495935
-5.90395198,3.16264575,0.14452092,0.00445758,0.00180220,2.25094138,1.99744551,1.07632359
-5.89794897,2.92714874,0.13190129,0.00420193,0.00165374,2.08866341,1.84816679,0.98215992
-5.89194597,2.69974057,0.11963763,0.00395006,0.00150783,1.93173539,1.70453855,0.89263952
-5.88594297,2.48114811,0.10783456,0.00370272,0.00136596,1.78061262,1.56691123,0.80790838
-5.87993997,2.27202531,0.09658149,0.00346070,0.00122942,1.63571344,1.43559016,0.72808337
-5.87393697,2.07293596,0.08595143,0.00322478,0.00109931,1.49740718,1.31082914,0.65324822
-5.86793397,1.88433939,0.07600037,0.00299574,0.00097653,1.36600363,1.19282485,0.58344992
-5.86193097,1.70657992,0.06676742,0.00277429,0.00086175,1.24174476,1.08171260,0.51869588
-5.85592796,1.53988051,0.05827537,0.00256107,0.00075543,1.12479905,0.97756384,0.45895227
-5.84992496,1.38434095,0.05053175,0.00235661,0.00065783,1.01525877,0.88038562,0.40414359
-5.84392196,1.23994026,0.04353033,0.00216139,0.00056902,0.91314000,0.79012209,0.35415368
-5.83791896,1.10654313,0.03725284,0.00197573,0.00048890,0.81838544,0.70665793,0.30882808
-5.83191596,0.98390956,0.03167084,0.00179988,0.00041725,0.73086946,0.62982336,0.26797752
-5.82591296,0.87170714,0.02674776,0.00163399,0.00035370,0.65040501,0.55940054,0.23138254
-5.81990995,0.76952505,0.02244085,0.00147812,0.00029781,0.57675183,0.49513084,0.19879883
-5.81390695,0.67688907,0.01870310,0.00133223,0.00024906,0.50962553,0.43672269,0.16996301
-5.80790395,0.59327669,0.01548493,0.00119623,0.00020687,0.44870687,0.38385951,0.14459869
-5.80190095,0.51813178,0.01273585,0.00106995,0.00017067,0.39365096,0.33620740,0.12242237
-5.79589795,0.45087834,0.01040571,0.00095316,0.00013985,0.34409591,0.29342241,0.10314911
-5.78989495,0.39093266,0.00844589,0.00084561,0.00011381,0.29967070,0.25515697,0.08649764
-5.78389195,0.33771402,0.00681011,0.00074698,0.00009199,0.26000210,0.22106557,0.07219487
-5.77788894,0.29065348,0.00545514,0.00065694,0.00007385,0.22472050,0.19080945,0.05997957
-5.77188594,0.24920090,0.00434119,0.00057510,0.00005888,0.19346469,0.16406038,0.04960537
-5.76588294,0.21283036,0.00343222,0.00050107,0.00004662,0.16588556,0.14050352,0.04084289
-5.75987994,0.18104392,0.00269598,0.00043444,0.00003666,0.14164896,0.11983957,0.03348116
-5.75387694,0.15337407,0.00210402,0.00037478,0.00002863,0.12043762,0.10178610,0.02732837
-5.74787394,0.12938514,0.00163151,0.00032163,0.00002221,0.10195243,0.08607838,0.02221194
-5.74187094,0.10867368,0.00125706,0.00027454,0.00001711,0.08591320,0.07246971,0.01797819
-5.73586793,0.09086822,0.00096244,0.00023307,0.00001309,0.07205889,0.06073142,0.01449157
-5.72986493,0.07562848,0.00073226,0.00019675,0.00000995,0.06014756,0.05065254,0.01163357
-5.72386193,0.06264428,0.00055368,0.00016515,0.00000751,0.04995610,0.04203935,0.00930146
-5.71785893,0.05163408,0.00041608,0.00013780,0.00000562,0.04127972,0.03471477,0.00740689
-5.71185593,0.04234354,0.00031079,0.00011430,0.00000419,0.03393136,0.02851761,0.00587444
-5.70585293,0.03454389,0.00023076,0.00009423,0.00000309,0.02774103,0.02330192,0.00464019
-5.69984992,0.02803029,0.00017033,0.00007721,0.00000227,0.02255498,0.01893610,0.00365029
-5.69384692,0.02262025,0.00012500,0.00006286,0.00000166,0.01823500,0.01530216,0.00285971
-5.68784392,0.01815198,0.00009122,0.00005086,0.00000120,0.01465748,0.01229488,0.00223095
-5.68184092,0.01448282,0.00006620,0.00004088,0.00000086,0.01171260,0.00982094,0.00173300
-5.67583792,0.01148772,0.00004779,0.00003265,0.00000062,0.00930336,0.00779814,0.00134032
-5.66983492,0.00905771,0.00003433,0.00002590,0.00000044,0.00734472,0.00615449,0.00103198
-5.66383192,0.00709842,0.00002455,0.00002042,0.00000031,0.00576259,0.00482742,0.00079095
-5.65782891,0.00552871,0.00001749,0.00001598,0.00000022,0.00449293,0.00376288,0.00060338
-5.65182591,0.00427925,0.00001245,0.00001243,0.00000015,0.00348077,0.00291456,0.00045809
-5.64582291,0.00329129,0.00000889,0.00000960,0.00000010,0.00267931,0.00224308,0.00034610
-5.63981991,0.00251535,0.00000643,0.00000737,0.00000007,0.00204902,0.00171519,0.00026022
-5.63381691,0.00191015,0.00000479,0.00000561,0.00000005,0.00155676,0.00130306,0.00019472
-5.62781391,0.00144147,0.00000381,0.00000425,0.00000004,0.00117500,0.00098359,0.00014506
-5.62181091,0.00108125,0.00000338,0.00000320,0.00000003,0.00088104,0.00073775,0.00010769
-5.61580790,0.00080663,0.00000346,0.00000239,0.00000003,0.00065634,0.00055004,0.00007982
-5.60980490,0.00059922,0.00000410,0.00000179,0.00000003,0.00048588,0.00040791,0.00005931
-5.60380190,0.00044439,0.00000540,0.00000133,0.00000003,0.00035759,0.00030135,0.00004454
-5.59779890,0.00033070,0.00000756,0.00000100,0.00000004,0.00026191,0.00022245,0.00003432
-5.59179590,0.00024938,0.00001089,0.00000077,0.00000006,0.00019131,0.00016505,0.00002782
-5.58579290,0.00019395,0.00001586,0.00000061,0.00000008,0.00013994,0.00012452,0.00002455
-5.57978989,0.00015994,0.00002311,0.00000053,0.00000012,0.00010335,0.00009743,0.00002429
-5.57378689,0.00014463,0.00003357,0.00000050,0.00000017,0.00007823,0.00008146,0.00002713
-5.56778389,0.00014697,0.00004849,0.00000054,0.00000025,0.00006221,0.00007524,0.00003346
-5.56178089,0.00016755,0.00006960,0.00000065,0.00000036,0.00005371,0.00007826,0.00004405
-5.55577789,0.00020870,0.00009923,0.00000083,0.00000051,0.00005183,0.00009090,0.00006004
-5.54977489,0.00027463,0.00014046,0.00000111,0.00000073,0.00005630,0.00011442,0.00008310
-5.54377189,0.00037175,0.00019742,0.00000152,0.00000102,0.00006745,0.00015106,0.00011551
-5.53776888,0.00050908,0.00027550,0.00000209,0.00000143,0.00008617,0.00020415,0.00016031
-5.53176588,0.00069879,0.00038170,0.00000288,0.00000198,0.00011403,0.00027837,0.00022152
-5.52576288,0.00095682,0.00052504,0.00000395,0.00000272,0.00015325,0.00037990,0.00030432
-5.51975988,0.00130379,0.00071704,0.00000538,0.00000372,0.00020689,0.00051682,0.00041535
-5.51375688,0.00176583,0.00097220,0.00000729,0.00000504,0.00027893,0.00069941,0.00056298
-5.50775388,0.00237577,0.00130871,0.00000981,0.00000678,0.00037444,0.00094063,0.00075773
-5.50175088,0.00317429,0.00174904,0.00001311,0.00000907,0.00049975,0.00125655,0.00101261
-5.49574787,0.00421133,0.00232074,0.00001739,0.00001203,0.00066266,0.00166691,0.00134354
-5.48974487,0.00554739,0.00305719,0.00002291,0.00001585,0.00087266,0.00219564,0.00176987
-5.48374187,0.00725508,0.00399843,0.00002996,0.00002073,0.00114116,0.00287148,0.00231475
-5.47773887,0.00942046,0.00519190,0.00003891,0.00002691,0.00148166,0.00372847,0.00300565
-5.47173587,0.01214439,0.00669318,0.00005016,0.00003469,0.00191002,0.00480654,0.00387475
-5.46573287,0.01554356,0.00856661,0.00006420,0.00004441,0.00244460,0.00615185,0.00495930
-5.45972986,0.01975132,0.01088567,0.00008158,0.00005643,0.00310635,0.00781720,0.00630182
-5.45372686,0.02491794,0.01373320,0.00010292,0.00007119,0.00391890,0.00986204,0.00795028
-5.44772386,0.03121033,0.01720117,0.00012891,0.00008916,0.00490851,0.01235244,0.00995792
-5.44172086,0.03881097,0.02139017,0.00016030,0.00011088,0.00610387,0.01536062,0.01238297
-5.43571786,0.04791601,0.02640830,0.00019790,0.00013689,0.00753584,0.01896422,0.01528802
-5.42971486,0.05873226,0.03236954,0.00024258,0.00016779,0.00923693,0.02324508,0.01873904
-5.42371186,0.07147313,0.03939151,0.00029520,0.00020419,0.01124070,0.02828767,0.02280412
-5.41770885,0.08635329,0.04759252,0.00035666,0.00024670,0.01358093,0.03417694,0.02755177
-5.41170585,0.10358214,0.05708798,0.00042782,0.00029592,0.01629054,0.04099579,0.03304878
-5.40570285,0.12335615,0.06798618,0.00050949,0.00035241,0.01940044,0.04882196,0.03935785
