energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.25168301,0.02850680,0.07830911,1.37784660,0.79741397,0.00677440,0.99784178,0.57769305,0.23783120
-5.99399700,2.18020685,0.02793543,0.07503024,1.33413899,0.77063231,0.00664634,0.96749220,0.55978292,0.22976031
-5.98799400,2.10921082,0.02728964,0.07205831,1.28914943,0.74471880,0.00651989,0.93719754,0.54199086,0.22128410
-5.98199100,2.04097207,0.02659843,0.06947931,1.24428935,0.72050364,0.00640080,0.90795269,0.52489597,0.21262417
-5.97598799,1.97776776,0.02589225,0.06737686,1.20099396,0.69881249,0.00629504,0.88074791,0.50906648,0.20400725
-5.96998499,1.92181742,0.02520216,0.06583106,1.16068620,0.68044778,0.00620851,0.85654206,0.49504448,0.19565912
-5.96398199,1.87522674,0.02455884,0.06491736,1.12474130,0.66617055,0.00614683,0.83623644,0.48333130,0.18779857
-5.95797899,1.83993448,0.02399172,0.06470543,1.09445321,0.65668326,0.00611513,0.82065030,0.47437397,0.18063181
-5.95197599,1.81766412,0.02352809,0.06525826,1.07100364,0.65261415,0.00611780,0.81049863,0.46855333,0.17434727
-5.94597299,1.80988176,0.02319234,0.06663118,1.05543487,0.65450346,0.00615836,0.80637308,0.46617419,0.16911119
-5.93996998,1.81776134,0.02300526,0.06887104,1.04862674,0.66279193,0.00623924,0.80872653,0.46745775,0.16506393
-5.93396698,1.84215823,0.02298345,0.07201548,1.05127859,0.67781191,0.00636174,0.81786177,0.47253658,0.16231721
-5.92796398,1.88359184,0.02313894,0.07609225,1.06389633,0.69978121,0.00652590,0.83392465,0.48145248,0.16095229
-5.92196098,1.94223756,0.02347883,0.08111872,1.08678491,0.72879983,0.00673049,0.85690193,0.49415688,0.16101912
-5.91595798,2.01792803,0.02400518,0.08710136,1.12004606,0.76484975,0.00697304,0.88662359,0.51051422,0.16253645
-5.90995498,2.11016365,0.02471500,0.09403551,1.16358124,0.80779738,0.00724987,0.92276983,0.53030775,0.16549277
-5.90395198,2.21813153,0.02560034,0.10190512,1.21709953,0.85739895,0.00755619,0.96488213,0.55324777,0.16984814
-5.89794897,2.34073225,0.02664863,0.11068274,1.28012987,0.91330811,0.00788627,1.01237812,0.57898184,0.17553668
-5.89194597,2.47661323,0.02784299,0.12032953,1.35203740,0.97508585,0.00823359,1.06456967,0.60710670,0.18246958
-5.88594297,2.62420757,0.02916275,0.13079556,1.43204303,1.04221206,0.00859104,1.12068350,0.63718132,0.19053866
-5.87993997,2.78177677,0.03058402,0.14202013,1.51924587,1.11409836,0.00895114,1.17988362,0.66874061,0.19962011
-5.87393697,2.94745608,0.03208037,0.15393231,1.61264762,1.19010172,0.00930626,1.24129474,0.70130936,0.20957845
-5.86793397,3.11930061,0.03362348,0.16645164,1.71117827,1.26953844,0.00964887,1.30402597,0.73441578,0.22027041
-5.86193097,3.29533097,0.03518393,0.17948896,1.81372242,1.35169789,0.00997174,1.36719383,0.76760427,0.23154881
-5.85592796,3.47357674,0.03673191,0.19294743,1.91914540,1.43585556,0.01026819,1.42994390,0.80044678,0.24326603
-5.84992496,3.65211670,0.03823799,0.20672363,2.02631862,1.52128522,0.01053224,1.49147049,0.83255265,0.25527728
-5.84392196,3.82911448,0.03967381,0.22070895,2.13414323,1.60726957,0.01075880,1.55103356,0.86357640,0.26744337
-5.83791896,4.00284901,0.04101276,0.23479093,2.24157179,1.69310947,0.01094381,1.60797270,0.89322336,0.27963304
-5.83191596,4.17173900,0.04223058,0.24885487,2.34762721,1.77813137,0.01108431,1.66171755,0.92125306,0.29172478
-5.82591296,4.33436134,0.04330584,0.26278543,2.45141856,1.86169319,0.01117855,1.71179482,0.94748042,0.30360815
-5.81990995,4.48946342,0.04422039,0.27646840,2.55215355,1.94318854,0.01122596,1.75783174,0.97177474,0.31518467
-5.81390695,4.63596962,0.04495962,0.28979238,2.64914745,2.02204970,0.01122716,1.79955621,0.99405688,0.32636819
-5.80790395,4.77298279,0.04551270,0.30265056,2.74182831,2.09774946,0.01118393,1.83679393,1.01429484,0.33708501
-5.80190095,4.89978132,0.04587260,0.31494247,2.82973895,2.16980237,0.01109911,1.86946302,1.03249814,0.34727359
-5.79589795,5.01581292,0.04603606,0.32657559,2.91253551,2.23776561,0.01097649,1.89756661,1.04871136,0.35688414
-5.78989495,5.12068604,0.04600345,0.33746689,2.98998338,2.30123994,0.01082072,1.92118396,1.06300740,0.36587803
-5.78389195,5.21416006,0.04577847,0.34754417,3.06195072,2.35987108,0.01063712,1.94046085,1.07548067,0.37422715
-5.77788894,5.29613511,0.04536787,0.35674728,3.12840015,2.41335164,0.01043155,1.95559959,1.08624081,0.38191329
-5.77188594,5.36664225,0.04478097,0.36502905,3.18937925,2.46142390,0.01021028,1.96684937,1.09540701,0.38892754
-5.76588294,5.42583461,0.04402928,0.37235591,3.24501030,2.50388338,0.00997975,1.97449708,1.10310334,0.39526984
-5.75987994,5.47397984,0.04312601,0.37870836,3.29547983,2.54058299,0.00974648,1.97885917,1.10945504,0.40094853
-5.75387694,5.51145357,0.04208554,0.38408102,3.34102823,2.57143777,0.00951688,1.98027442,1.11458599,0.40597998
-5.74787394,5.53873396,0.04092304,0.38848243,3.38193976,2.59642954,0.00929711,1.97909772,1.11861709,0.41038828
-5.74187094,5.55639648,0.03965403,0.39193455,3.41853310,2.61561120,0.00909292,1.97569474,1.12166555,0.41420485
-5.73586793,5.56510844,0.03829397,0.39447196,3.45115239,2.62911009,0.00890954,1.97043717,1.12384469,0.41746792
-5.72986493,5.56562223,0.03685800,0.39614079,3.48015857,2.63712990,0.00875157,1.96369829,1.12526417,0.42022193
-5.72386193,5.55876671,0.03536069,0.39699747,3.50592099,2.63995046,0.00862281,1.95584847,1.12603021,0.42251654
-5.71785893,5.54543566,0.03381583,0.39710723,3.52880888,2.63792531,0.00852624,1.94725029,1.12624554,0.42440549
-5.71185593,5.52657308,0.03223639,0.39654255,3.54918253,2.63147630,0.00846390,1.93825298,1.12600893,0.42594503
-5.70585293,5.50315478,0.03063441,0.39538140,3.56738393,2.62108551,0.00843685,1.92918600,1.12541400,0.42719210
-5.69984992,5.47616641,0.02902104,0.39370560,3.58372690,2.60728424,0.00844510,1.92035174,1.12454727,0.42820214
-5.69384692,5.44657841,0.02740655,0.39159913,3.59848665,2.59063940,0.00848759,1.91201740,1.12348554,0.42902673
-5.68784392,5.41531859,0.02580044,0.38914655,3.61188915,2.57173789,0.00856224,1.90440629,1.12229250,0.42971109
-5.68184092,5.38324348,0.02421145,0.38643157,3.62410061,2.55116940,0.00866594,1.89768895,1.12101502,0.43029155
-5.67583792,5.35111011,0.02264772,0.38353591,3.63521777,2.52950859,0.00879459,1.89197467,1.11967922,0.43079320
