energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.55872976,0.03482172,0.26752451,0.01028299,0.01553964,0.14397991,0.00000000
-5.99399700,0.54349796,0.03293957,0.26221779,0.01030512,0.01408374,0.13926578,0.00000000
-5.98799400,0.52708672,0.03110981,0.25623189,0.01029577,0.01269040,0.13423388,0.00000000
-5.98199100,0.50946856,0.02933052,0.24950820,0.01024618,0.01137001,0.12890564,0.00000000
-5.97598799,0.49066538,0.02760108,0.24201769,0.01014982,0.01013085,0.12331453,0.00000000
-5.96998499,0.47074818,0.02592221,0.23376075,0.01000242,0.00897912,0.11750553,0.00000000
-5.96398199,0.44983547,0.02429610,0.22476626,0.00980185,0.00791907,0.11153444,0.00000000
-5.95797899,0.42809043,0.02272651,0.21508974,0.00954806,0.00695317,0.10546702,0.00000000
-5.95197599,0.40571699,0.02121877,0.20481080,0.00924287,0.00608235,0.09937778,0.00000000
-5.94597299,0.38295483,0.01977996,0.19402993,0.00888975,0.00530627,0.09334888,0.00000000
-5.93996998,0.36007378,0.01841884,0.18286479,0.00849357,0.00462356,0.08746872,0.00000000
-5.93396698,0.33736751,0.01714599,0.17144617,0.00806034,0.00403217,0.08183067,0.00000000
-5.92796398,0.31514699,0.01597380,0.15991378,0.00759686,0.00352962,0.07653171,0.00000000
-5.92196098,0.29373387,0.01491647,0.14841197,0.00711050,0.00311329,0.07167112,0.00000000
-5.91595798,0.27345386,0.01399004,0.13708569,0.00660882,0.00278066,0.06734923,0.00000000
-5.90995498,0.25463049,0.01321234,0.12607670,0.00609938,0.00252949,0.06366619,0.00000000
-5.90395198,0.23757920,0.01260301,0.11552014,0.00558947,0.00235807,0.06072081,0.00000000
-5.89794897,0.22260189,0.01218339,0.10554164,0.00508588,0.00226524,0.05860937,0.00000000
-5.89194597,0.20998195,0.01197646,0.09625502,0.00459476,0.00225059,0.05742444,0.00000000
-5.88594297,0.19997981,0.01200668,0.08776045,0.00412150,0.00231440,0.05725360,0.00000000
-5.87993997,0.19282873,0.01229982,0.08014322,0.00367060,0.00245769,0.05817803,0.00000000
-5.87393697,0.18873107,0.01288264,0.07347304,0.00324567,0.00268210,0.06027102,0.00000000
-5.86793397,0.18785466,0.01378257,0.06780371,0.00284942,0.00298986,0.06359625,0.00000000
-5.86193097,0.19032927,0.01502720,0.06317325,0.00248368,0.00338355,0.06820585,0.00000000
