energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.57950484,0.01142937,0.17736892,1.12841477,0.99648156,0.01426523,0.86884086
-5.99399700,2.58940210,0.01115584,0.18636380,1.14059727,1.00240696,0.01351011,0.86608258
-5.98799400,2.60575467,0.01091175,0.19596432,1.15419803,1.01077222,0.01282027,0.86556878
-5.98199100,2.62765221,0.01069959,0.20595233,1.16859479,1.02127049,0.01220878,0.86707527
-5.97598799,2.65402800,0.01052070,0.21610370,1.18313066,1.03353113,0.01168700,0.87032102
-5.96998499,2.68370250,0.01037526,0.22619329,1.19713717,1.04713577,0.01126448,0.87498209
-5.96398199,2.71543233,0.01026246,0.23600033,1.20995836,1.06163635,0.01094897,0.88070754
-5.95797899,2.74796228,0.01018059,0.24531406,1.22097488,1.07657445,0.01074645,0.88713653
-5.95197599,2.78007808,0.01012724,0.25393929,1.22962696,1.09150078,0.01066115,0.89391587
-5.94597299,2.81065747,0.01009940,0.26170198,1.23543538,1.10599410,0.01069568,0.90071716
-5.93996998,2.83871720,0.01009372,0.26845425,1.23801942,1.11967872,0.01085111,0.90725277
-5.93396698,2.86345414,0.01010657,0.27407890,1.23711114,1.13223978,0.01112712,0.91328986
-5.92796398,2.88427865,0.01013431,0.27849305,1.23256551,1.14343582,0.01152201,0.91866196
-5.92196098,2.90083910,0.01017334,0.28165087,1.22436591,1.15310831,0.01203290,0.92327767
-5.91595798,2.91303676,0.01022026,0.28354511,1.21262512,1.16118767,0.01265576,0.92712607
-5.90995498,2.92103088,0.01027198,0.28420752,1.19758177,1.16769606,0.01338549,0.93027893
-5.90395198,2.92523404,0.01032578,0.28370794,1.17959267,1.17274672,0.01421599,0.93288950
-5.89794897,2.92629850,0.01037936,0.28215226,1.15912144,1.17654038,0.01514023,0.93518826
-5.89194597,2.92509434,0.01043092,0.27967919,1.13672414,1.17935877,0.01615030,0.93747582
-5.88594297,2.92268072,0.01047910,0.27645596,1.11303235,1.18155589,0.01723745,0.94011325
-5.87993997,2.92027122,0.01052306,0.27267323,1.08873460,1.18354714,0.01839222,0.94351043
-5.87393697,2.91919492,0.01056240,0.26853925,1.06455665,1.18579700,0.01960445,0.94811264
-5.86793397,2.92085416,0.01059717,0.26427351,1.04124133,1.18880528,0.02086341,0.95438599
-5.86193097,2.92668041,0.01062782,0.26010023,1.01952836,1.19309250,0.02215793,0.96280198
-5.85592796,2.93808906,0.01065514,0.25624161,1.00013465,1.19918456,0.02347646,0.97382161
-5.84992496,2.95643422,0.01068023,0.25291139,0.98373543,1.20759674,0.02480727,0.98787934
-5.84392196,2.98296414,0.01070445,0.25030860,0.97094642,1.21881751,0.02613853,1.00536727
-5.83791896,3.01877813,0.01072934,0.24861186,0.96230734,1.23329208,0.02745847,1.02661977
-5.83191596,3.06478544,0.01075660,0.24797427,0.95826683,1.25140596,0.02875549,1.05189877
-5.82591296,3.12166695,0.01078800,0.24851900,0.95916911,1.27346885,0.03001832,1.08138020
-5.81990995,3.18984037,0.01082536,0.25033573,0.96524238,1.29969911,0.03123603,1.11514162
-5.81390695,3.26942978,0.01087054,0.25347798,0.97658932,1.33020924,0.03239819,1.15315167
-5.80790395,3.36024058,0.01092533,0.25796128,0.99317989,1.36499296,0.03349486,1.19526149
-5.80190095,3.46174091,0.01099152,0.26376240,1.01484673,1.40391437,0.03451664,1.24119865
-5.79589795,3.57305068,0.01107079,0.27081950,1.04128357,1.44669995,0.03545468,1.29056403
-5.78989495,3.69293950,0.01116480,0.27903321,1.07204681,1.49293397,0.03630066,1.34283203
-5.78389195,3.81983461,0.01127515,0.28826877,1.10656075,1.54205802,0.03704679,1.39735452
