energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.08863306,0.15427554,0.00112970,0.26092470,0.54283853,0.59025901,0.00000000
-5.99399700,1.07868827,0.15305902,0.00113858,0.26089686,0.54007247,0.58091966,0.00000000
-5.98799400,1.07094617,0.15243799,0.00114969,0.26267544,0.53728084,0.57291399,0.00000000
-5.98199100,1.06577037,0.15248922,0.00116316,0.26638217,0.53462188,0.56645527,0.00000000
-5.97598799,1.06348055,0.15327577,0.00117912,0.27210263,0.53225984,0.56172978,0.00000000
-5.96998499,1.06435270,0.15484553,0.00119765,0.27988617,0.53036427,0.55889868,0.00000000
-5.96398199,1.06862014,0.15722989,0.00121881,0.28974675,0.52910902,0.55810023,0.00000000
-5.95797899,1.07647490,0.16044270,0.00124265,0.30166443,0.52867062,0.55945235,0.00000000
-5.95197599,1.08806924,0.16447948,0.00126919,0.31558743,0.52922626,0.56305490,0.00000000
-5.94597299,1.10351701,0.16931702,0.00129845,0.33143467,0.53095107,0.56899160,0.00000000
-5.93996998,1.12289455,0.17491340,0.00133045,0.34909858,0.53401493,0.57733125,0.00000000
-5.93396698,1.14624087,0.18120845,0.00136520,0.36844808,0.53857870,0.58812800,0.00000000
-5.92796398,1.17355719,0.18812481,0.00140273,0.38933155,0.54478999,0.60142058,0.00000000
-5.92196098,1.20480542,0.19556940,0.00144306,0.41157971,0.55277856,0.61723042,0.00000000
-5.91595798,1.23990578,0.20343560,0.00148625,0.43500832,0.56265141,0.63555850,0.00000000
-5.90995498,1.27873358,0.21160578,0.00153232,0.45942055,0.57448768,0.65638125,0.00000000
-5.90395198,1.32111524,0.21995439,0.00158131,0.48460909,0.58833361,0.67964546,0.00000000
-5.89794897,1.36682384,0.22835134,0.00163324,0.51035795,0.60419766,0.70526265,0.00000000
-5.89194597,1.41557449,0.23666571,0.00168810,0.53644392,0.62204597,0.73310308,0.00000000
-5.88594297,1.46702007,0.24476953,0.00174585,0.56263792,0.64179855,0.76298997,0.00000000
-5.87993997,1.52074763,0.25254158,0.00180639,0.58870617,0.66332631,0.79469438,0.00000000
-5.87393697,1.57627626,0.25987104,0.00186955,0.61441151,0.68644923,0.82793123,0.00000000
-5.86793397,1.63305673,0.26666084,0.00193510,0.63951479,0.71093595,0.86235694,0.00000000
-5.86193097,1.69047373,0.27283061,0.00200270,0.66377676,0.73650505,0.89756934,0.00000000
-5.85592796,1.74785095,0.27831918,0.00207194,0.68696033,0.76282810,0.93310996,0.00000000
-5.84992496,1.80445956,0.28308642,0.00214231,0.70883354,0.78953473,0.96846930,0.00000000
-5.84392196,1.85953013,0.28711447,0.00221319,0.72917313,0.81621969,1.00309491,0.00000000
-5.83791896,1.91226817,0.29040837,0.00228392,0.74776886,0.84245185,1.03640258,0.00000000
-5.83191596,1.96187289,0.29299594,0.00235374,0.76442838,0.86778508,1.06779010,0.00000000
-5.82591296,2.00755888,0.29492712,0.00242189,0.77898268,0.89177050,1.09665345,0.00000000
-5.81990995,2.04857989,0.29627268,0.00248758,0.79129176,0.91397001,1.12240473,0.00000000
-5.81390695,2.08425380,0.29712242,0.00255003,0.80125033,0.93397038,1.14449113,0.00000000
-5.80790395,2.11398781,0.29758289,0.00260856,0.80879324,0.95139743,1.16241410,0.00000000
-5.80190095,2.13730240,0.29777480,0.00266254,0.81390024,0.96592964,1.17574782,0.00000000
-5.79589795,2.15385302,0.29783001,0.00271150,0.81659972,0.97731061,1.18415604,0.00000000
-5.78989495,2.16344821,0.29788841,0.00275511,0.81697114,0.98535968,1.18740639,0.00000000
-5.78389195,2.16606287,0.29809453,0.00279323,0.81514584,0.98998013,1.18538138,0.00000000
-5.77788894,2.16184603,0.29859415,0.00282593,0.81130596,0.99116457,1.17808545,0.00000000
-5.77188594,2.15112213,0.29953084,0.00285348,0.80568145,0.98899704,1.16564759,0.00000000
-5.76588294,2.13438564,0.30104258,0.00287638,0.79854499,0.98365175,1.14831924,0.00000000
-5.75987994,2.11228890,0.30325849,0.00289532,0.79020512,0.97538823,1.12646763,0.00000000
-5.75387694,2.08562340,0.30629571,0.00291117,0.78099758,0.96454317,1.10056450,0.00000000
-5.74787394,2.05529533,0.31025661,0.00292496,0.77127532,0.95151917,1.07117099,0.00000000
