energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,6.04826214,0.50182631,1.61032645,0.04802032,0.21730607,0.76829366,3.15653157,1.22733745,0.00000000
-5.99399700,6.03336971,0.50078964,1.64071638,0.04931470,0.20934145,0.75303156,3.12903104,1.21936618,0.00000000
-5.98799400,6.02952882,0.50063260,1.68124423,0.05040769,0.20178869,0.73815264,3.10167191,1.21116070,0.00000000
-5.98199100,6.03777871,0.50153455,1.73215290,0.05126636,0.19472954,0.72386887,3.07493632,1.20311451,0.00000000
-5.97598799,6.05904845,0.50367755,1.79356628,0.05186380,0.18824169,0.71039309,3.04932275,1.19559895,0.00000000
-5.96998499,6.09409063,0.50724138,1.86545739,0.05218006,0.18239557,0.69793029,3.02532349,1.18895030,0.00000000
-5.96398199,6.14342259,0.51239875,1.94762037,0.05220282,0.17725166,0.68666978,3.00340420,1.18345945,0.00000000
-5.95797899,6.20727838,0.51931083,2.03964773,0.05192779,0.17285826,0.67677840,2.98398708,1.17936456,0.00000000
-5.95197599,6.28557391,0.52812333,2.14091435,0.05135880,0.16925000,0.66839513,2.96743802,1.17684689,0.00000000
-5.94597299,6.37788660,0.53896304,2.25056899,0.05050761,0.16644706,0.66162724,2.95405846,1.17602983,0.00000000
-5.93996998,6.48345023,0.55193499,2.36753416,0.04939348,0.16445510,0.65654781,2.94408159,1.17698084,0.00000000
-5.93396698,6.60116465,0.56712019,2.49051437,0.04804238,0.16326594,0.65319479,2.93767292,1.17971613,0.00000000
-5.92796398,6.72961916,0.58457381,2.61801285,0.04648610,0.16285885,0.65157123,2.93493413,1.18420723,0.00000000
-5.92196098,6.86712796,0.60432386,2.74835604,0.04476101,0.16320243,0.65164661,2.93590977,1.19038922,0.00000000
-5.91595798,7.01177540,0.62637033,2.87972541,0.04290687,0.16425686,0.65335888,2.94059548,1.19816964,0.00000000
-5.90995498,7.16146850,0.65068450,3.01019517,0.04096537,0.16597646,0.65661712,2.94894694,1.20743759,0.00000000
-5.90395198,7.31399404,0.67720863,3.13777496,0.03897882,0.16831234,0.66130449,2.96088844,1.21807237,0.00000000
-5.89794897,7.46707773,0.70585580,3.26045592,0.03698871,0.17121507,0.66728138,2.97632047,1.22995103,0.00000000
-5.89194597,7.61844293,0.73650987,3.37625857,0.03503447,0.17463713,0.67438841,2.99512553,1.24295459,0.00000000
-5.88594297,7.76586665,0.76902558,3.48328110,0.03315228,0.17853510,0.68244953,3.01717201,1.25697242,0.00000000
-5.87993997,7.90723132,0.80322879,3.57974624,0.03137413,0.18287136,0.69127478,3.04231592,1.27190486,0.00000000
-5.87393697,8.04057055,0.83891670,3.66404532,0.02972697,0.18761541,0.70066311,3.07040069,1.28766380,0.00000000
-5.86793397,8.16410818,0.87585832,3.73477807,0.02823215,0.19274449,0.71040496,3.10125555,1.30417172,0.00000000
