energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.62758534,-1.62758534,0.47591687,-0.47591687,0.51008216,-0.51008216,0.50997322,-0.50997322,0.00260968,-0.00260968,0.51768374,-0.51768374,0.00000000,-0.00000000
-5.99399700,1.60536141,-1.60536140,0.47334350,-0.47334350,0.50209436,-0.50209435,0.50958797,-0.50958797,0.00260714,-0.00260714,0.50479437,-0.50479437,0.00000000,-0.00000000
-5.98799400,1.57743438,-1.57743437,0.46877281,-0.46877281,0.49229812,-0.49229812,0.50666999,-0.50666999,0.00260045,-0.00260045,0.49087531,-0.49087531,0.00000000,-0.00000000
-5.98199100,1.54421802,-1.54421801,0.46230846,-0.46230846,0.48082244,-0.48082244,0.50133832,-0.50133832,0.00259055,-0.00259055,0.47604059,-0.47604059,0.00000000,-0.00000000
-5.97598799,1.50624220,-1.50624218,0.45410248,-0.45410248,0.46783293,-0.46783292,0.49376702,-0.49376701,0.00257866,-0.00257866,0.46042344,-0.46042343,0.00000000,-0.00000000
-5.96998499,1.46413872,-1.46413871,0.44435082,-0.44435081,0.45352769,-0.45352768,0.48417943,-0.48417943,0.00256617,-0.00256617,0.44417396,-0.44417396,0.00000000,-0.00000000
-5.96398199,1.41862375,-1.41862374,0.43328715,-0.43328715,0.43813209,-0.43813209,0.47284082,-0.47284082,0.00255462,-0.00255462,0.42745619,-0.42745619,0.00000000,-0.00000000
-5.95797899,1.37047710,-1.37047709,0.42117530,-0.42117530,0.42189247,-0.42189246,0.46004952,-0.46004952,0.00254565,-0.00254565,0.41044444,-0.41044444,0.00000000,-0.00000000
-5.95197599,1.32051934,-1.32051932,0.40830041,-0.40830040,0.40506909,-0.40506909,0.44612701,-0.44612701,0.00254092,-0.00254092,0.39331922,-0.39331921,0.00000000,-0.00000000
-5.94597299,1.26958760,-1.26958759,0.39495938,-0.39495938,0.38792866,-0.38792866,0.43140739,-0.43140738,0.00254204,-0.00254204,0.37626273,-0.37626272,0.00000000,-0.00000000
-5.93996998,1.21851090,-1.21851089,0.38145094,-0.38145093,0.37073659,-0.37073658,0.41622654,-0.41622654,0.00255049,-0.00255049,0.35945425,-0.35945425,0.00000000,-0.00000000
-5.93396698,1.16808600,-1.16808599,0.36806563,-0.36806563,0.35374938,-0.35374937,0.40091151,-0.40091150,0.00256757,-0.00256757,0.34306543,-0.34306542,0.00000000,-0.00000000
-5.92796398,1.11905469,-1.11905468,0.35507639,-0.35507639,0.33720746,-0.33720745,0.38577045,-0.38577045,0.00259431,-0.00259431,0.32725578,-0.32725577,0.00000000,-0.00000000
-5.92196098,1.07208339,-1.07208337,0.34272983,-0.34272982,0.32132862,-0.32132862,0.37108357,-0.37108357,0.00263143,-0.00263143,0.31216856,-0.31216856,0.00000000,-0.00000000
