energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,9.31587054,0.00942917,1.37468805,0.51453770,0.32432002,5.06999159,3.70405651,0.06688309,2.67553137
-5.99399700,9.18013478,0.00966441,1.37657484,0.50770340,0.31900355,4.94780769,3.66288067,0.06870157,2.60953302
-5.98799400,9.05121475,0.00996321,1.38031634,0.50051524,0.31349484,4.82262491,3.62814025,0.07057891,2.54328730
-5.98199100,8.93281258,0.01033621,1.38630457,0.49315351,0.30792380,4.69715126,3.60107146,0.07251481,2.47802501
-5.97598799,8.82807082,0.01079290,1.39482732,0.48578185,0.30240835,4.57386066,3.58263882,0.07450546,2.41486928
-5.96998499,8.73947529,0.01134130,1.40605491,0.47854186,0.29705187,4.45492268,3.57350402,0.07654332,2.35480498
-5.96398199,8.66878920,0.01198760,1.42003190,0.47154926,0.29194145,4.34214767,3.57400831,0.07861710,2.29865588
-5.95797899,8.61702007,0.01273587,1.43667416,0.46489135,0.28714692,4.23694903,3.58416906,0.08071185,2.24706961
-5.95197599,8.58441951,0.01358783,1.45577128,0.45862604,0.28272070,4.14032315,3.60368998,0.08280926,2.20051062
-5.94597299,8.57051434,0.01454266,1.47699437,0.45278221,0.27869831,4.05284716,3.63198407,0.08488798,2.15926085
-5.93996998,8.57416627,0.01559696,1.49990880,0.44736131,0.27509946,3.97469346,3.66820794,0.08692418,2.12342730
-5.93396698,8.59365632,0.01674475,1.52399117,0.44234019,0.27192962,3.90565964,3.71130533,0.08889210,2.09295593
-5.92796398,8.62678920,0.01797755,1.54864992,0.43767470,0.26918199,3.84521169,3.76005785,0.09076475,2.06765080
-5.92196098,8.67101242,0.01928458,1.57324841,0.43330414,0.26683968,3.79253784,3.81314031,0.09251463,2.04719738
-5.91595798,8.72354459,0.02065311,1.59712957,0.42915612,0.26487808,3.74661044,3.86917829,0.09411451,2.03118901
-5.90995498,8.78150742,0.02206877,1.61964091,0.42515180,0.26326731,3.70625250,3.92680548,0.09553824,2.01915548
-5.90395198,8.84205584,0.02351607,1.64015892,0.42121121,0.26197461,3.67020631,3.98471849,0.09676156,2.01059255
-5.89794897,8.90250163,0.02497888,1.65811165,0.41725843,0.26096677,3.63720076,4.04172718,0.09776284,2.00499160
-5.89194597,8.96042594,0.02644108,1.67299874,0.41322656,0.26021243,3.60601502,4.09679877,0.09852389,2.00186850
-5.88594297,9.01377727,0.02788713,1.68440790,0.40906227,0.25968422,3.57553596,4.14909447,0.09903063,2.00079086
-5.87993997,9.06095192,0.02930272,1.69202747,0.40472975,0.25936076,3.54480744,4.19799751,0.09927372,2.00140306
-5.87393697,9.10085510,0.03067539,1.69565450,0.40021403,0.25922855,3.51306992,4.24313223,0.09924910,2.00344833
-5.86793397,9.13294138,0.03199510,1.69519827,0.39552348,0.25928360,3.47978938,4.28437390,0.09895845,2.00678751
-5.86193097,9.15723438,0.03325481,1.69067933,0.39069153,0.25953281,3.44467501,4.32184961,0.09840946,2.01141391
-5.85592796,9.17432609,0.03445088,1.68222424,0.38577743,0.25999517,3.40768566,4.35593059,0.09761608,2.01746398
-5.84992496,9.18535693,0.03558348,1.67005656,0.38086618,0.26070264,3.36902552,4.38721693,0.09659850,2.02522351
-5.84392196,9.19197856,0.03665679,1.65448473,0.37606748,0.26170070,3.32912986,4.41651561,0.09538311,2.03512918
-5.83791896,9.19630147,0.03767915,1.63588752,0.37151383,0.26304855,3.28864205,4.44481305,0.09400222,2.04776524
-5.83191596,9.20083005,0.03866307,1.61469790,0.36735784,0.26481898,3.24838331,4.47324351,0.09249369,2.06385552
-5.82591296,9.20838795,0.03962503,1.59138620,0.36376873,0.26709770,3.20931686,4.50305459,0.09090042,2.08425066
