energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,3.86768315,2.59474416,1.16037245,0.86132354,0.01885551,2.05723041,0.00000000
-5.99399700,3.89963690,2.61402018,1.16571627,0.87287139,0.01879689,2.07902902,0.00000000
-5.98799400,3.92427549,2.62816483,1.16907020,0.88279639,0.01870953,2.09684429,0.00000000
-5.98199100,3.94111030,2.63677072,1.17036001,0.89093992,0.01859303,2.11039323,0.00000000
-5.97598799,3.94985837,2.63956144,1.16957471,0.89718842,0.01844760,2.11949908,0.00000000
-5.96998499,3.95045710,2.63640383,1.16676998,0.90147772,0.01827416,2.12409802,0.00000000
-5.96398199,3.94307064,2.62731487,1.16206890,0.90379552,0.01807432,2.12424191,0.00000000
-5.95797899,3.92808749,2.61246283,1.15565979,0.90418193,0.01785046,2.12009661,0.00000000
-5.95197599,3.90610865,2.59216242,1.14779102,0.90272795,0.01760571,2.11193582,0.00000000
-5.94597299,3.87792693,2.56686400,1.13876298,0.89957194,0.01734385,2.10013039,0.00000000
-5.93996998,3.84449782,2.53713741,1.12891752,0.89489426,0.01706925,2.08513353,0.00000000
-5.93396698,3.80690331,2.50365104,1.11862516,0.88891040,0.01678674,2.06746247,0.00000000
-5.92796398,3.76631021,2.46714735,1.10827072,0.88186280,0.01650148,2.04767713,0.00000000
-5.92196098,3.72392489,2.42841585,1.09823804,0.87401205,0.01621876,2.02635708,0.00000000
-5.91595798,3.68094670,2.38826508,1.08889450,0.86562761,0.01594391,2.00407744,0.00000000
-5.90995498,3.63852226,2.34749496,1.08057606,0.85697885,0.01568204,1.98138533,0.00000000
-5.90395198,3.59770299,2.30687074,1.07357360,0.84832664,0.01543798,1.95877760,0.00000000
-5.89794897,3.55940789,2.26710012,1.06812134,0.83991603,0.01521610,1.93668129,0.00000000
-5.89194597,3.52439347,2.22881421,1.06438775,0.83197033,0.01502021,1.91543758,0.00000000
-5.88594297,3.49323229,2.19255343,1.06246959,0.82468683,0.01485354,1.89529029,0.00000000
-5.87993997,3.46630110,2.15875878,1.06238931,0.81823429,0.01471865,1.87637928,0.00000000
-5.87393697,3.44377892,2.12776856,1.06409594,0.81275230,0.01461744,1.85873926,0.00000000
-5.86793397,3.42565517,2.09982043,1.06746952,0.80835230,0.01455121,1.84230400,0.00000000
-5.86193097,3.41174696,2.07505845,1.07232870,0.80512012,0.01452074,1.82691572,0.00000000
