energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,0.63807579,0.00160814,0.02230965,0.39277752,0.00000000,0.17247492,0.06854595,0.10106915,0.11411929
-5.99399700,0.66711493,0.00180464,0.02289211,0.41175115,0.00000000,0.18606298,0.07254504,0.10909926,0.11700135
-5.98799400,0.69650532,0.00204219,0.02352617,0.43101543,0.00000000,0.20061404,0.07675724,0.11765971,0.11962456
-5.98199100,0.72619056,0.00232142,0.02420971,0.45053546,0.00000000,0.21610023,0.08120757,0.12675936,0.12197101
-5.97598799,0.75615964,0.00264285,0.02494408,0.47030042,0.00000000,0.23248637,0.08592685,0.13640383,0.12403758
-5.96998499,0.78643885,0.00300683,0.02573368,0.49031857,0.00000000,0.24972701,0.09095010,0.14659343,0.12583496
-5.96398199,0.81708139,0.00341340,0.02658540,0.51061104,0.00000000,0.26776348,0.09631468,0.15732097,0.12738606
-5.95797899,0.84815513,0.00386224,0.02750793,0.53120457,0.00000000,0.28652115,0.10205794,0.16856949,0.12872397
-5.95197599,0.87972927,0.00435253,0.02851092,0.55212372,0.00000000,0.30590711,0.10821473,0.18031015,0.12988940
-5.94597299,0.91186037,0.00488288,0.02960408,0.57338281,0.00000000,0.32580831,0.11481470,0.19250033,0.13092792
-5.93996998,0.94457864,0.00545128,0.03079628,0.59497817,0.00000000,0.34609052,0.12187955,0.20508209,0.13188700
-5.93396698,0.97787531,0.00605499,0.03209460,0.61688103,0.00000000,0.36659807,0.12942034,0.21798112,0.13281299
-5.92796398,1.01169162,0.00669055,0.03350350,0.63903155,0.00000000,0.38715448,0.13743508,0.23110632,0.13374828
-5.92196098,1.04591030,0.00735377,0.03502398,0.66133436,0.00000000,0.40756418,0.14590657,0.24434999,0.13472879
-5.91595798,1.08035002,0.00803970,0.03665303,0.68365593,0.00000000,0.42761517,0.15480087,0.25758890,0.13578177
-5.90995498,1.11476332,0.00874279,0.03838311,0.70582400,0.00000000,0.44708268,0.16406625,0.27068608,0.13692415
-5.90395198,1.14883827,0.00945690,0.04020196,0.72762923,0.00000000,0.46573374,0.17363295,0.28349346,0.13816156
-5.89794897,1.18220409,0.01017549,0.04209255,0.74882921,0.00000000,0.48333254,0.18341376,0.29585529,0.13948791
-5.89194597,1.21444050,0.01089176,0.04403335,0.76915458,0.00000000,0.49964642,0.19330536,0.30761221,0.14088572
-5.88594297,1.24509076,0.01159889,0.04599880,0.78831730,0.00000000,0.51445237,0.20319065,0.31860607,0.14232704
-5.87993997,1.27367780,0.01229028,0.04796005,0.80602069,0.00000000,0.52754369,0.21294184,0.32868503,0.14377508
-5.87393697,1.29972296,0.01295977,0.04988587,0.82197080,0.00000000,0.53873675,0.22242433,0.33770908,0.14518627
-5.86793397,1.32276648,0.01360199,0.05174376,0.83588889,0.00000000,0.54787748,0.23150128,0.34555563,0.14651285
-5.86193097,1.34238892,0.01421254,0.05350122,0.84752419,0.00000000,0.55484739,0.24003855,0.35212489,0.14770565
-5.85592796,1.35823262,0.01478834,0.05512703,0.85666666,0.00000000,0.55956889,0.24791009,0.35734499,0.14871714
-5.84992496,1.37002199,0.01532781,0.05659257,0.86315896,0.00000000,0.56200965,0.25500327,0.36117643,0.14950432
-5.84392196,1.37758177,0.01583109,0.05787313,0.86690707,0.00000000,0.56218585,0.26122404,0.36361570,0.15003163
-5.83791896,1.38085226,0.01630016,0.05894898,0.86788910,0.00000000,0.56016400,0.26650170,0.36469790,0.15027335
-5.83191596,1.37990053,0.01673890,0.05980641,0.86616165,0.00000000,0.55606141,0.27079287,0.36449803,0.15021566
-5.82591296,1.37492690,0.01715310,0.06043838,0.86186327,0.00000000,0.55004490,0.27408463,0.36313105,0.14985807
-5.81990995,1.36626619,0.01755031,0.06084503,0.85521478,0.00000000,0.54232800,0.27639642,0.36075027,0.14921419
-5.81390695,1.35438312,0.01793967,0.06103372,0.84651623,0.00000000,0.53316641,0.27778064,0.35754435,0.14831177
-5.80790395,1.33986198,0.01833159,0.06101887,0.83614025,0.00000000,0.52285188,0.27832189,0.35373274,0.14719195
-5.80190095,1.32339057,0.01873733,0.06082140,0.82452212,0.00000000,0.51170460,0.27813466,0.34955959,0.14590780
-5.79589795,1.30573871,0.01916859,0.06046788,0.81214659,0.00000000,0.50006430,0.27735970,0.34528649,0.14452218
