energy_ev,total_up,Ga_p_up,Ga_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,2.76269995,0.14174027,0.00000000,1.26576428,0.48746152,1.26306406,0.00000000
-5.99399700,2.77136380,0.14701462,0.00000000,1.26899753,0.49026647,1.26667501,0.00000000
-5.98799400,2.77966699,0.15253163,0.00000000,1.27040036,0.49276122,1.27206757,0.00000000
-5.98199100,2.78804403,0.15827174,0.00000000,1.27021097,0.49499788,1.27950036,0.00000000
-5.97598799,2.79692700,0.16421387,0.00000000,1.26869720,0.49703090,1.28920288,0.00000000
-5.96998499,2.80673375,0.17033581,0.00000000,1.26614938,0.49891510,1.30137087,0.00000000
-5.96398199,2.81785508,0.17661460,0.00000000,1.26287199,0.50070337,1.31616132,0.00000000
-5.95797899,2.83064139,0.18302689,0.00000000,1.25917461,0.50244448,1.33368750,0.00000000
-5.95197599,2.84538931,0.18954922,0.00000000,1.25536228,0.50418073,1.35401397,0.00000000
-5.94597299,2.86232909,0.19615829,0.00000000,1.25172599,0.50594591,1.37715192,0.00000000
-5.93996998,2.88161311,0.20283110,0.00000000,1.24853345,0.50776333,1.40305488,0.00000000
-5.93396698,2.90330648,0.20954514,0.00000000,1.24602080,0.50964434,1.43161521,0.00000000
-5.92796398,2.92737998,0.21627845,0.00000000,1.24438552,0.51158725,1.46266150,0.00000000
-5.92196098,2.95370602,0.22300971,0.00000000,1.24378080,0.51357671,1.49595726,0.00000000
-5.91595798,2.98205797,0.22971835,0.00000000,1.24431180,0.51558375,1.53120095,0.00000000
-5.90995498,3.01211311,0.23638459,0.00000000,1.24603384,0.51756641,1.56802782,0.00000000
-5.90395198,3.04345947,0.24298959,0.00000000,1.24895256,0.51947098,1.60601352,0.00000000
-5.89794897,3.07560637,0.24951564,0.00000000,1.25302618,0.52123387,1.64467982,0.00000000
-5.89194597,3.10799873,0.25594641,0.00000000,1.25816952,0.52278410,1.68350225,0.00000000
-5.88594297,3.14003471,0.26226721,0.00000000,1.26425977,0.52404633,1.72191995,0.00000000
