energy_ev,total_up,Ag_p_up,Ag_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.46651017,0.65310949,1.81955195,0.60856919,0.85471813,0.00305911,0.31672230,0.04440072,0.31218374
-5.99399700,3.50011012,0.65331170,1.83173635,0.61278180,0.86288332,0.00336216,0.31738962,0.04443160,0.32154500
-5.98799400,3.54044094,0.65449563,1.84634039,0.61986161,0.87317074,0.00368115,0.31933980,0.04447225,0.33105492
-5.98199100,3.58764041,0.65671979,1.86367969,0.62993534,0.88551495,0.00401325,0.32259113,0.04452466,0.34062307
-5.97598799,3.64174812,0.66002313,1.88402117,0.64308667,0.89982905,0.00435531,0.32714532,0.04458923,0.35015840
-5.96998499,3.70269514,0.66442157,1.90756951,0.65935159,0.91600731,0.00470393,0.33298738,0.04466460,0.35956990
-5.96398199,3.77029731,0.66990580,1.93445619,0.67871511,0.93392820,0.00505548,0.34008587,0.04474761,0.36876751
-5.95797899,3.84425202,0.67644016,1.96473118,0.70110943,0.95345729,0.00540625,0.34839339,0.04483341,0.37766321
-5.95197599,3.92413858,0.68396269,1.99835745,0.72641344,0.97444998,0.00575247,0.35784723,0.04491561,0.38617225
-5.94597299,4.00942155,0.69238628,2.03520837,0.75445357,0.99675399,0.00609045,0.36837024,0.04498655,0.39421445
-5.93996998,4.09945685,0.70160072,2.07506792,0.78500595,1.02021125,0.00641664,0.37987173,0.04503759,0.40171555
-5.93396698,4.19350021,0.71147561,2.11763348,0.81779954,1.04465934,0.00672771,0.39224843,0.04505946,0.40860854
-5.92796398,4.29071748,0.72186387,2.16252113,0.85252042,1.06993229,0.00702068,0.40538547,0.04504262,0.41483484
-5.92196098,4.39019646,0.73260584,2.20927309,0.88881688,1.09586086,0.00729295,0.41915736,0.04497762,0.42034538
-5.91595798,4.49096008,0.74353363,2.25736712,0.92630530,1.12227233,0.00754239,0.43342898,0.04485544,0.42510145
-5.90995498,4.59198060,0.75447573,2.30622759,0.96457668,1.14898995,0.00776734,0.44805667,0.04466776,0.42907538
-5.90395198,4.69219475,0.76526169,2.35523791,1.00320373,1.17583223,0.00796668,0.46288933,0.04440722,0.43225089
-5.89794897,4.79051987,0.77572679,2.40375412,1.04174849,1.20261230,0.00813978,0.47776975,0.04406761,0.43462327
-5.89194597,4.88587080,0.78571648,2.45111931,1.07977021,1.22913753,0.00828652,0.49253608,0.04364402,0.43619928
-5.88594297,4.97717774,0.79509074,2.49667855,1.11683350,1.25520962,0.00840723,0.50702359,0.04313289,0.43699688
-5.87993997,5.06340484,0.80372799,2.53979415,1.15251670,1.28062536,0.00850263,0.52106668,0.04253209,0.43704473
-5.87393697,5.14356945,0.81152867,2.57986074,1.18642002,1.30517818,0.00857378,0.53450122,0.04184086,0.43638161
-5.86793397,5.21676173,0.81841836,2.61632000,1.21817366,1.32866059,0.00862197,0.54716714,0.04105981,0.43505566
-5.86193097,5.28216424,0.82435019,2.64867457,1.24744536,1.35086747,0.00864866,0.55891135,0.04019082,0.43312364
-5.85592796,5.33907102,0.82930674,2.67650074,1.27394744,1.37160013,0.00865536,0.56959072,0.03923698,0.43065005
-5.84992496,5.38690551,0.83330103,2.69945954,1.29744282,1.39067102,0.00864360,0.57907525,0.03820247,0.42770629
-5.84392196,5.42523646,0.83637673,2.71730584,1.31775008,1.40790889,0.00861481,0.58725112,0.03709248,0.42436978
-5.83791896,5.45379119,0.83860738,2.72989501,1.33474712,1.42316395,0.00857030,0.59402367,0.03591312,0.42072307
-5.83191596,5.47246529,0.84009468,2.73718691,1.34837326,1.43631295,0.00851118,0.59931991,0.03467132,0.41685289
