energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.56277925,0.19244344,0.85425440,0.00128110,0.27724014,0.01560627,0.12830268,0.31528698,0.23052857
-5.99399700,1.61258920,0.20511926,0.87890237,0.00135896,0.28263152,0.01693964,0.13828428,0.32913863,0.23403103
-5.98799400,1.67263129,0.21974311,0.90936512,0.00143510,0.28945153,0.01835011,0.14945970,0.34492132,0.23875688
-5.98199100,1.74274189,0.23626284,0.94534924,0.00150821,0.29779142,0.01983013,0.16182178,0.36268816,0.24478115
-5.97598799,1.82265239,0.25459896,0.98649856,0.00157701,0.30773055,0.02137245,0.17534817,0.38247619,0.25216390
-5.96998499,1.91198868,0.27464310,1.03240012,0.00164033,0.31933341,0.02297040,0.18999999,0.40430315,0.26094740
-5.96398199,2.01027119,0.29625709,1.08259034,0.00169714,0.33264682,0.02461810,0.20572080,0.42816426,0.27115356
-5.95797899,2.11691581,0.31927268,1.13656141,0.00174657,0.34769718,0.02631063,0.22243590,0.45402912,0.28278165
-5.95197599,2.23123569,0.34349221,1.19376774,0.00178793,0.36448803,0.02804417,0.24005181,0.48183890,0.29580650
-5.94597299,2.35244397,0.36869009,1.25363240,0.00182078,0.38299789,0.02981605,0.25845641,0.51150401,0.31017718
-5.93996998,2.47965754,0.39461532,1.31555329,0.00184490,0.40317845,0.03162476,0.27751930,0.54290236,0.32581626
-5.93396698,2.61190196,0.42099508,1.37890922,0.00186034,0.42495313,0.03346981,0.29709289,0.57587828,0.34261966
-5.92796398,2.74811737,0.44753921,1.44306559,0.00186740,0.44821616,0.03535153,0.31701390,0.61024242,0.36045714
-5.92196098,2.88716572,0.47394568,1.50737988,0.00186662,0.47283203,0.03727076,0.33710540,0.64577240,0.37917342
-5.91595798,3.02783927,0.49990686,1.57120674,0.00185879,0.49863553,0.03922851,0.35717945,0.68221462,0.39858999
