energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.89684551,-0.89295603,0.20225822,-0.26165368,0.13623053,-0.09562305,0.00055658,-0.00404390,0.04420700,-0.04830966,0.18558338,-0.26810825,0.09380606,-0.07814612,0.03927689,-0.01808762,0.45225779,-0.47994024
-5.99399700,0.90833327,-0.87193629,0.20446177,-0.25130807,0.13970222,-0.09530427,0.00048757,-0.00373386,0.04434863,-0.04728103,0.18443440,-0.26029625,0.09663852,-0.07596873,0.04023836,-0.01878934,0.45776210,-0.46739306
-5.98799400,0.92364059,-0.85065876,0.20863515,-0.24073343,0.14326929,-0.09519274,0.00043091,-0.00342434,0.04469499,-0.04611367,0.18486781,-0.25162291,0.10011156,-0.07384909,0.04105935,-0.01957699,0.46554134,-0.45472556
-5.98199100,0.94271981,-0.82988560,0.21480653,-0.23019534,0.14690121,-0.09535257,0.00038592,-0.00311932,0.04524612,-0.04484910,0.18692147,-0.24233995,0.10423329,-0.07186278,0.04172518,-0.02045951,0.47558572,-0.44235656
-5.97598799,0.96547232,-0.81037030,0.22296898,-0.21996290,0.15057363,-0.09584226,0.00035198,-0.00282236,0.04599761,-0.04353027,0.19060090,-0.23271204,0.10900317,-0.07008538,0.04222490,-0.02144298,0.48785362,-0.43070149
-5.96998499,0.99175569,-0.79283614,0.23308055,-0.21030274,0.15427022,-0.09671245,0.00032857,-0.00253661,0.04694100,-0.04220014,0.19588037,-0.22300976,0.11441209,-0.06859065,0.04255195,-0.02253004,0.50227475,-0.42016095
-5.96398199,1.02139086,-0.77795631,0.24506497,-0.20147330,0.15798418,-0.09800401,0.00031525,-0.00226471,0.04806418,-0.04090052,0.20270452,-0.21350256,0.12044247,-0.06744893,0.04270461,-0.02371948,0.51875349,-0.41111023
-5.95797899,1.05416885,-0.76633636,0.25881298,-0.19371956,0.16171933,-0.09974644,0.00031171,-0.00200880,0.04935187,-0.03967077,0.21099071,-0.20445208,0.12706852,-0.06672566,0.04268624,-0.02500594,0.53717217,-0.40388991
-5.95197599,1.08985716,-0.75849958,0.27418439,-0.18726829,0.16549081,-0.10195681,0.00031775,-0.00177051,0.05078614,-0.03854686,0.22063175,-0.19610600,0.13425655,-0.06648007,0.04250544,-0.02637981,0.55739439,-0.39879802
-5.94597299,1.12820569,-0.75487579,0.29101079,-0.18232391,0.16932542,-0.10463916,0.00033327,-0.00155097,0.05234692,-0.03756040,0.23149916,-0.18869257,0.14196535,-0.06676410,0.04217583,-0.02782726,0.57926823,-0.39608391
-5.93996998,1.16895214,-0.75579365,0.30909905,-0.17906500,0.17326146,-0.10778441,0.00035831,-0.00135088,0.05401254,-0.03673802,0.24344703,-0.18241586,0.15014681,-0.06762160,0.04171575,-0.02933053,0.60262947,-0.39594387
-5.93396698,1.21182721,-0.76147657,0.32823554,-0.17764145,0.17734821,-0.11137094,0.00039297,-0.00117050,0.05576032,-0.03610085,0.25631610,-0.17745195,0.15874660,-0.06908770,0.04114770,-0.03086837,0.62730489,-0.39851857
-5.92796398,1.25655949,-0.77204219,0.34819099,-0.17817216,0.18164502,-0.11536555,0.00043749,-0.00100976,0.05756714,-0.03566426,0.26993844,-0.17394595,0.16770506,-0.07118838,0.04049765,-0.03241663,0.65311556,-0.40389235
-5.92196098,1.30288027,-0.78750498,0.36872603,-0.18074337,0.18622007,-0.11972498,0.00049213,-0.00086827,0.05941005,-0.03543777,0.28414223,-0.17200987,0.17695825,-0.07394033,0.03979419,-0.03394906,0.67988027,-0.41209394
-5.91595798,1.35052820,-0.80778174,0.38959714,-0.18540743,0.19114882,-0.12439785,0.00055725,-0.00074541,0.06126691,-0.03542515,0.29875686,-0.17172141,0.18643920,-0.07735082,0.03906754,-0.03543821,0.70741898,-0.42309879
-5.90995498,1.39925384,-0.83269940,0.41056297,-0.19218210,0.19651216,-0.12932690,0.00063318,-0.00064040,0.06311696,-0.03562470,0.31361795,-0.17312343,0.19607917,-0.08141788,0.03834859,-0.03685643,0.73555636,-0.43683240
-5.90395198,1.44882392,-0.86200469,0.43139067,-0.20105027,0.20239438,-0.13445147,0.00072030,-0.00055236,0.06494143,-0.03602963,0.32857231,-0.17622419,0.20580916,-0.08613049,0.03766782,-0.03817689,0.76412516,-0.45317477
-5.89794897,1.49902516,-0.89537513,0.45186217,-0.21196013,0.20888084,-0.13971006,0.00081892,-0.00048034,0.06672413,-0.03662858,0.34348248,-0.18099822,0.21556130,-0.09146887,0.03705428,-0.03937467,0.79296942,-0.47196543
-5.89194597,1.54966738,-0.93243086,0.47177990,-0.22482576,0.21605547,-0.14504305,0.00092927,-0.00042341,0.06845186,-0.03740620,0.35823076,-0.18738783,0.22527031,-0.09740492,0.03653459,-0.04042771,0.82194724,-0.49300897
-5.88594297,1.60058543,-0.97274686,0.49097188,-0.23952828,0.22399806,-0.15039514,0.00105150,-0.00038068,0.07011488,-0.03834380,0.37272246,-0.19530510,0.23487481,-0.10390266,0.03613210,-0.04131774,0.85093292,-0.51608093
-5.87993997,1.65163998,-1.01586523,0.50929579,-0.25591745,0.23278144,-0.15571777,0.00118558,-0.00035134,0.07170714,-0.03942002,0.38688817,-0.20463448,0.24431841,-0.11091882,0.03586605,-0.04203109,0.87981829,-0.54093380
-5.87393697,1.70271646,-1.06130727,0.52664183,-0.27381398,0.24246846,-0.16097124,0.00133132,-0.00033471,0.07322640,-0.04061152,0.40068488,-0.21523586,0.25355061,-0.11840345,0.03575099,-0.04255927,0.90851308,-0.56730304
-5.86793397,1.75372225,-1.10858510,0.54293419,-0.29301241,0.25310897,-0.16612646,0.00148831,-0.00033024,0.07467423,-0.04189370,0.41409592,-0.22694809,0.26252731,-0.12630067,0.03579624,-0.04289937,0.93694409,-0.59491310
-5.86193097,1.80458196,-1.15721281,0.55813100,-0.31328484,0.26473666,-0.17116640,0.00165589,-0.00033752,0.07605576,-0.04324132,0.42712945,-0.23959304,0.27121107,-0.13454955,0.03600562,-0.04305430,0.96505322,-0.62348340
-5.85592796,1.85523074,-1.20671692,0.57222273,-0.33438526,0.27736610,-0.17608706,0.00183313,-0.00035631,0.07737934,-0.04462922,0.43981575,-0.25298006,0.27957088,-0.14308507,0.03637729,-0.04303273,0.99279429,-0.65273415
-5.84992496,1.90560598,-1.25664631,0.58522907,-0.35605478,0.29098985,-0.18089811,0.00201884,-0.00038651,0.07865594,-0.04603292,0.45220331,-0.26691089,0.28758163,-0.15183925,0.03690380,-0.04284883,1.02012879,-0.68239216
-5.84392196,1.95563770,-1.30658132,0.59719452,-0.37802744,0.30557590,-0.18562300,0.00221154,-0.00042817,0.07989852,-0.04742923,0.46435373,-0.28118487,0.29522324,-0.16074239,0.03757233,-0.04252183,1.04702074,-0.71219641
-5.83791896,2.00523825,-1.35614228,0.60818277,-0.40003660,0.32106557,-0.19029870,0.00240948,-0.00048145,0.08112117,-0.04879679,0.47633599,-0.29560439,0.30247952,-0.16972447,0.03836502,-0.04207532,1.07343096,-0.74190357
-5.83191596,2.05429175,-1.40499707,0.61827027,-0.42182184,0.33737197,-0.19497503,0.00261064,-0.00054663,0.08233829,-0.05011663,0.48822009,-0.30998055,0.30933675,-0.17871656,0.03925960,-0.04153643,1.09931112,-0.77129309
-5.82591296,2.10264438,-1.45286778,0.62753936,-0.44313596,0.35437913,-0.19971354,0.00281280,-0.00062405,0.08356369,-0.05137262,0.50007055,-0.32413863,0.31578229,-0.18765238,0.04022998,-0.04093486,1.12459786,-0.80017209
