energy_ev,total_up,Ga_p_up,Ga_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.04789915,0.11357136,0.00000000,2.29240874,1.00483678,0.00164696,1.67164518
-5.99399700,3.08121249,0.11620747,0.00000000,2.34114148,1.01542335,0.00178647,1.68503524
-5.98799400,3.10925001,0.11844668,0.00000000,2.38673147,1.02418770,0.00193224,1.69366512
-5.98199100,3.13195286,0.12028275,0.00000000,2.42896844,1.03109914,0.00208373,1.69751464
-5.97598799,3.14931284,0.12171486,0.00000000,2.46766229,1.03615201,0.00224024,1.69662646
-5.96998499,3.16135324,0.12274698,0.00000000,2.50262798,1.03935960,0.00240080,1.69109833
-5.96398199,3.16810881,0.12338698,0.00000000,2.53367063,1.04074715,0.00256425,1.68107390
-5.95797899,3.16960613,0.12364576,0.00000000,2.56057170,1.04034452,0.00272915,1.66673254
-5.95197599,3.16584575,0.12353629,0.00000000,2.58307769,1.03817887,0.00289381,1.64827891
-5.94597299,3.15678760,0.12307267,0.00000000,2.60089219,1.03426820,0.00305633,1.62593279
-5.93996998,3.14234078,0.12226931,0.00000000,2.61367236,1.02861595,0.00321458,1.59991983
-5.93396698,3.12235867,0.12114022,0.00000000,2.62103036,1.02120738,0.00336628,1.57046376
-5.92796398,3.09664010,0.11969858,0.00000000,2.62254013,1.01200798,0.00350901,1.53778046
-5.92196098,3.06493674,0.11795634,0.00000000,2.61774950,1.00096403,0.00364029,1.50207413
-5.91595798,3.02696650,0.11592429,0.00000000,2.60619718,0.98800553,0.00375767,1.46353585
-5.90995498,2.98243233,0.11361209,0.00000000,2.58743397,0.97305125,0.00385876,1.42234424
-5.90395198,2.93104536,0.11102876,0.00000000,2.56104698,0.95601564,0.00394136,1.37866832
-5.89794897,2.87255099,0.10818311,0.00000000,2.52668563,0.93681713,0.00400352,1.33267197
-5.89194597,2.80675637,0.10508447,0.00000000,2.48408783,0.91538743,0.00404360,1.28451965
-5.88594297,2.73355738,0.10174335,0.00000000,2.43310476,0.89168100,0.00406038,1.23438283
-5.87993997,2.65296343,0.09817218,0.00000000,2.37372261,0.86568414,0.00405307,1.18244648
-5.87393697,2.56511839,0.09438595,0.00000000,2.30608002,0.83742312,0.00402141,1.12891510
-5.86793397,2.47031618,0.09040281,0.00000000,2.23047988,0.80697071,0.00396563,1.07401773
