energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.20191166,0.60228746,0.90353418,0.00078252,0.15512880,0.00440153,0.91804336,0.39615449,0.20457407
-5.99399700,2.25637062,0.60605255,0.92127764,0.00071175,0.16281592,0.00455630,0.93587140,0.40819951,0.21363352
-5.98799400,2.31001169,0.60854659,0.93948439,0.00064689,0.17021724,0.00472408,0.95321570,0.41990426,0.22242343
-5.98199100,2.36264239,0.60986483,0.95808317,0.00058764,0.17728888,0.00490111,0.97006893,0.43123465,0.23089078
-5.97598799,2.41406205,0.61011097,0.97698650,0.00053367,0.18399904,0.00508356,0.98640976,0.44216012,0.23898832
-5.96998499,2.46405004,0.60939049,0.99608614,0.00048462,0.19032828,0.00526769,1.00219517,0.45265144,0.24667457
-5.96398199,2.51235559,0.60780448,1.01524927,0.00044008,0.19626922,0.00544982,1.01735414,0.46267863,0.25391364
-5.95797899,2.55869035,0.60544462,1.03431603,0.00039967,0.20182586,0.00562646,1.03178349,0.47220917,0.26067496
-5.95197599,2.60272441,0.60238945,1.05309881,0.00036300,0.20701229,0.00579433,1.04534597,0.48120671,0.26693281
-5.94597299,2.64408659,0.59870214,1.07138353,0.00032972,0.21185119,0.00595043,1.05787101,0.48963028,0.27266594
-5.93996998,2.68236937,0.59442985,1.08893329,0.00029948,0.21637198,0.00609209,1.06915822,0.49743423,0.27785709
-5.93396698,2.71713856,0.58960464,1.10549438,0.00027200,0.22060877,0.00621703,1.07898350,0.50456890,0.28249272
-5.92796398,2.74794775,0.58424586,1.12080473,0.00024699,0.22459840,0.00632338,1.08710756,0.51098191,0.28656275
-5.92196098,2.77435686,0.57836378,1.13460443,0.00022422,0.22837842,0.00640974,1.09328653,0.51662022,0.29006060
-5.91595798,2.79595425,0.57196413,1.14664820,0.00020348,0.23198535,0.00647515,1.09728408,0.52143273,0.29298331
-5.90995498,2.81238126,0.56505338,1.15671913,0.00018461,0.23545319,0.00651920,1.09888450,0.52537329,0.29533193
-5.90395198,2.82335807,0.55764416,1.16464315,0.00016745,0.23881231,0.00654195,1.09790602,0.52840396,0.29711209
-5.89794897,2.82870941,0.54976067,1.17030358,0.00015188,0.24208866,0.00654394,1.09421375,0.53049837,0.29833469
-5.89194597,2.82838872,0.54144356,1.17365481,0.00013779,0.24530350,0.00652621,1.08773140,0.53164484,0.29901676
-5.88594297,2.82249934,0.53275399,1.17473453,0.00012509,0.24847351,0.00649024,1.07845137,0.53184917,0.29918234
