energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.33194566,0.14640025,0.03778851,0.00130453,0.01682762,0.20607667,0.00000000
-5.99399700,0.32500730,0.14443895,0.03698531,0.00123997,0.01679238,0.20119018,0.00000000
-5.98799400,0.31714803,0.14185556,0.03616090,0.00122199,0.01673403,0.19554646,0.00000000
-5.98199100,0.30864075,0.13879103,0.03535080,0.00125347,0.01667730,0.18928671,0.00000000
-5.97598799,0.29980678,0.13540883,0.03459689,0.00133789,0.01665064,0.18257840,0.00000000
-5.96998499,0.29100973,0.13189167,0.03394680,0.00147938,0.01668587,0.17561140,0.00000000
-5.96398199,0.28264798,0.12843758,0.03345315,0.00168272,0.01681764,0.16859332,0.00000000
-5.95797899,0.27514576,0.12525556,0.03317249,0.00195337,0.01708290,0.16174434,0.00000000
-5.95197599,0.26894331,0.12256082,0.03316413,0.00229732,0.01752017,0.15529159,0.00000000
-5.94597299,0.26448616,0.12056979,0.03348872,0.00272103,0.01816875,0.14946329,0.00000000
-5.93996998,0.26221387,0.11949495,0.03420670,0.00323120,0.01906783,0.14448282,0.00000000
-5.93396698,0.26254844,0.11953956,0.03537665,0.00383460,0.02025550,0.14056287,0.00000000
-5.92796398,0.26588256,0.12089249,0.03705348,0.00453769,0.02176773,0.13789983,0.00000000
-5.92196098,0.27256812,0.12372311,0.03928661,0.00534641,0.02363722,0.13666844,0.00000000
-5.91595798,0.28290497,0.12817653,0.04211808,0.00626572,0.02589233,0.13701697,0.00000000
-5.90995498,0.29713044,0.13436904,0.04558074,0.00729926,0.02855595,0.13906288,0.00000000
-5.90395198,0.31540981,0.14238422,0.04969644,0.00844892,0.03164444,0.14288918,0.00000000
-5.89794897,0.33782803,0.15226952,0.05447448,0.00971448,0.03516666,0.14854148,0.00000000
-5.89194597,0.36438319,0.16403373,0.05991019,0.01109318,0.03912316,0.15602588,0.00000000
-5.88594297,0.39498184,0.17764529,0.06598388,0.01257947,0.04350560,0.16530782,0.00000000
-5.87993997,0.42943687,0.19303174,0.07266012,0.01416469,0.04829636,0.17631194,0.00000000
-5.87393697,0.46746792,0.21008042,0.07988753,0.01583691,0.05346853,0.18892301,0.00000000
-5.86793397,0.50870496,0.22864042,0.08759904,0.01758090,0.05898622,0.20298807,0.00000000
-5.86193097,0.55269496,0.24852607,0.09571277,0.01937817,0.06480528,0.21831977,0.00000000
-5.85592796,0.59891186,0.26952176,0.10413350,0.02120714,0.07087440,0.23470090,0.00000000
