energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Y_p_up,Y_d_up
-6.00000000,2.72896459,0.00360579,0.39863448,0.01250905,1.42284616,0.79006934,0.38927935,0.58122564,0.75718924
-5.99399700,2.90144136,0.00366229,0.41202482,0.01369530,1.53020284,0.83823835,0.41375577,0.60569914,0.79475666
-5.98799400,3.07727230,0.00372872,0.42343175,0.01496159,1.64255819,0.88742763,0.43869615,0.62847188,0.83095085
-5.98199100,3.25579143,0.00380828,0.43273563,0.01630839,1.75957814,0.93715365,0.46396553,0.64934308,0.86553481
-5.97598799,3.43637653,0.00390404,0.43986361,0.01773577,1.88088657,0.98694074,0.48942857,0.66816186,0.89831516
-5.96998499,3.61844749,0.00401880,0.44479099,0.01924328,2.00606167,1.03633190,0.51495059,0.68483039,0.92914348
-5.96398199,3.80146065,0.00415500,0.44754085,0.02082986,2.13463243,1.08489819,0.54039838,0.69930547,0.95791607
-5.95797899,3.98489940,0.00431462,0.44818208,0.02249372,2.26607535,1.13224663,0.56564067,0.71159832,0.98457203
-5.95197599,4.16826168,0.00449911,0.44682570,0.02423214,2.39981172,1.17802633,0.59054842,0.72177265,1.00909018
-5.94597299,4.35104521,0.00470934,0.44361997,0.02604141,2.53520582,1.22193269,0.61499478,0.72994101,1.03148478
-5.93996998,4.53273150,0.00494551,0.43874432,0.02791668,2.67156436,1.26370980,0.63885503,0.73625971,1.05180060
-5.93396698,4.71276984,0.00520716,0.43240262,0.02985177,2.80813752,1.30315105,0.66200624,0.74092236,1.07010770
-5.92796398,4.89056254,0.00549320,0.42481598,0.03183916,2.94412193,1.34009821,0.68432708,0.74415252,1.08649616
-5.92196098,5.06545252,0.00580184,0.41621545,0.03386980,3.07866577,1.37443920,0.70569756,0.74619556,1.10107115
-5.91595798,5.23671454,0.00613074,0.40683510,0.03593309,3.21087627,1.40610485,0.72599894,0.74731022,1.11394863
-5.90995498,5.40355085,0.00647698,0.39690544,0.03801685,3.33982953,1.43506506,0.74511385,0.74776011,1.12525170
-5.90395198,5.56509197,0.00683719,0.38664779,0.04010728,3.46458282,1.46132460,0.76292667,0.74780548,1.13510794
-5.89794897,5.72040306,0.00720763,0.37626938,0.04218908,3.58418894,1.48491888,0.77932423,0.74769559,1.14364743
-5.89194597,5.86849594,0.00758431,0.36595960,0.04424552,3.69771261,1.50591005,0.79419686,0.74766182,1.15100163
-5.88594297,6.00834644,0.00796307,0.35588723,0.04625862,3.80424823,1.52438344,0.80743978,0.74791180,1.15730278
-5.87993997,6.13891673,0.00833972,0.34619865,0.04820941,3.90293880,1.54044463,0.81895486,0.74862471,1.16268380
-5.87393697,6.25918165,0.00871014,0.33701699,0.05007822,3.99299516,1.55421715,0.82865267,0.74994774,1.16727820
-5.86793397,6.36815814,0.00907044,0.32844215,0.05184504,4.07371511,1.56584068,0.83645489,0.75199395,1.17122015
-5.86193097,6.46493646,0.00941698,0.32055137,0.05348997,4.14450169,1.57546981,0.84229676,0.75484130,1.17464418
-5.85592796,6.54871205,0.00974653,0.31340041,0.05499366,4.20488004,1.58327307,0.84612981,0.75853304,1.17768459
-5.84992496,6.61881656,0.01005633,0.30702509,0.05633785,4.25451213,1.58943211,0.84792449,0.76307928,1.18047439
-5.84392196,6.67474688,0.01034413,0.30144301,0.05750588,4.29320897,1.59414081,0.84767275,0.76845965,1.18314384
-5.83791896,6.71619083,0.01060826,0.29665553,0.05848326,4.32093975,1.59760406,0.84539037,0.77462698,1.18581848
-5.83191596,6.74304853,0.01084766,0.29264969,0.05925815,4.33783755,1.60003618,0.84111895,0.78151185,1.18861704
-5.82591296,6.75544861,0.01106187,0.28940024,0.05982185,4.34420145,1.60165870,0.83492749,0.78902780,1.19164910
-5.81990995,6.75375835,0.01125103,0.28687153,0.06016924,4.34049479,1.60269761,0.82691333,0.79707711,1.19501284
-5.81390695,6.73858757,0.01141587,0.28501949,0.06029911,4.32733969,1.60337986,0.81720254,0.80555683,1.19879307
-5.80790395,6.71078593,0.01155767,0.28379344,0.06021442,4.30550791,1.60392953,0.80594945,0.81436498,1.20305963
-5.80190095,6.67143349,0.01167821,0.28313794,0.05992239,4.27590814,1.60456350,0.79333554,0.82340657,1.20786634
-5.79589795,6.62182503,0.01177973,0.28299454,0.05943458,4.23957022,1.60548700,0.77956750,0.83259930,1.21325054
-5.78989495,6.56344827,0.01186487,0.28330356,0.05876668,4.19762647,1.60688930,0.76487446,0.84187861,1.21923334
-5.78389195,6.49795663,0.01193657,0.28400567,0.05793830,4.15129072,1.60893968,0.74950455,0.85120191,1.22582035
-5.77788894,6.42713726,0.01199806,0.28504352,0.05697256,4.10183538,1.61178411,0.73372076,0.86055184,1.23300294
-5.77188594,6.35287500,0.01205279,0.28636308,0.05589557,4.05056715,1.61554265,0.71779621,0.86993822,1.24075985
-5.76588294,6.27711326,0.01210431,0.28791493,0.05473581,3.99880176,1.62030794,0.70200894,0.87939867,1.24905886
-5.75987994,6.20181250,0.01215627,0.28965516,0.05352337,3.94783837,1.62614469,0.68663640,0.88899779,1.25785847
-5.75387694,6.12890753,0.01221230,0.29154607,0.05228921,3.89893395,1.63309035,0.67194966,0.89882491,1.26710929
-5.74787394,6.06026415,0.01227600,0.29355648,0.05106431,3.85327819,1.64115667,0.65820761,0.90899030,1.27675498
-5.74187094,5.99763640,0.01235085,0.29566168,0.04987876,3.81196938,1.65033218,0.64565122,0.91962017,1.28673267
-5.73586793,5.94262513,0.01244012,0.29784292,0.04876100,3.77599157,1.66058521,0.63449800,0.93085038,1.29697281
-5.72986493,5.89663871,0.01254684,0.30008664,0.04773693,3.74619350,1.67186715,0.62493684,0.94281939,1.30739831
