energy_ev,total_up,Os_p_up,Os_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,0.82779057,0.22949036,0.39526216,0.18804938,0.00142435,0.30513968,0.00000000
-5.99399700,0.89797932,0.25206228,0.42960412,0.20295760,0.00151906,0.33392262,0.00000000
-5.98799400,0.97832550,0.27848302,0.46791821,0.22047559,0.00163330,0.36638822,0.00000000
-5.98199100,1.06866526,0.30876981,0.51008927,0.24056336,0.00176680,0.40250397,0.00000000
-5.97598799,1.16871221,0.34288388,0.55595799,0.26313760,0.00191903,0.44220471,0.00000000
-5.96998499,1.27805141,0.38072497,0.60532041,0.28807000,0.00208922,0.48538900,0.00000000
-5.96398199,1.39613398,0.42212654,0.65792741,0.31518621,0.00227641,0.53191545,0.00000000
-5.95797899,1.52227270,0.46685205,0.71348438,0.34426555,0.00247934,0.58159879,0.00000000
-5.95197599,1.65563889,0.51459266,0.77165081,0.37504179,0.00269655,0.63420616,0.00000000
-5.94597299,1.79526116,0.56496654,0.83204015,0.40720489,0.00292634,0.68945349,0.00000000
-5.93996998,1.94002645,0.61752012,0.89422007,0.44040407,0.00316678,0.74700257,0.00000000
-5.93396698,2.08868386,0.67173152,0.95771305,0.47425200,0.00341571,0.80645875,0.00000000
-5.92796398,2.23985182,0.72701613,1.02199782,0.50833032,0.00367078,0.86736984,0.00000000
-5.92196098,2.39202891,0.78273453,1.08651158,0.54219639,0.00392945,0.92922635,0.00000000
-5.91595798,2.54360866,0.83820259,1.15065348,0.57539105,0.00418899,0.99146343,0.00000000
-5.90995498,2.69289859,0.89270358,1.21378931,0.60744741,0.00444657,1.05346481,0.00000000
-5.90395198,2.83814335,0.94550208,1.27525779,0.63790026,0.00469924,1.11456884,0.00000000
-5.89794897,2.97755198,0.99585922,1.33437836,0.66629599,0.00494401,1.17407685,0.00000000
-5.89194597,3.10932871,1.04304891,1.39046079,0.69220255,0.00517786,1.23126375,0.00000000
-5.88594297,3.23170686,1.08637440,1.44281622,0.71521922,0.00539782,1.28539091,0.00000000
-5.87993997,3.34298508,1.12518483,1.49076987,0.73498586,0.00560101,1.33572095,0.00000000
-5.87393697,3.44156480,1.15889099,1.53367481,0.75119126,0.00578468,1.38153420,0.00000000
-5.86793397,3.52598799,1.18697989,1.57092672,0.76358036,0.00594631,1.42214629,0.00000000
-5.86193097,3.59497378,1.20902762,1.60197905,0.77196001,0.00608361,1.45692630,0.00000000
-5.85592796,3.64745282,1.22470990,1.62635809,0.77620320,0.00619461,1.48531484,0.00000000
-5.84992496,3.68259795,1.23381018,1.64367729,0.77625157,0.00627772,1.50684125,0.00000000
-5.84392196,3.69984987,1.23622483,1.65365037,0.77211608,0.00633171,1.52113919,0.00000000
-5.83791896,3.69893677,1.23196543,1.65610235,0.76387604,0.00635583,1.52795994,0.00000000
-5.83191596,3.67988685,1.22115782,1.65097815,0.75167633,0.00634975,1.52718260,0.00000000
-5.82591296,3.64303296,1.20403841,1.63834798,0.73572323,0.00631367,1.51882075,0.00000000
-5.81990995,3.58900889,1.18094742,1.61840940,0.71627885,0.00624823,1.50302498,0.00000000
-5.81390695,3.51873723,1.15231972,1.59148545,0.69365444,0.00615456,1.48008118,0.00000000
-5.80790395,3.43340886,1.11867340,1.55801898,0.66820292,0.00603424,1.45040432,0.00000000
-5.80190095,3.33445465,1.08059650,1.51856313,0.64031084,0.00588929,1.41452804,0.00000000
-5.79589795,3.22351036,1.03873253,1.47376816,0.61039000,0.00572207,1.37309017,0.00000000
-5.78989495,3.10237574,0.99376501,1.42436522,0.57886916,0.00553528,1.32681493,0.00000000
-5.78389195,2.97296944,0.94640185,1.37114748,0.54618587,0.00533189,1.27649232,0.00000000
-5.77788894,2.83728129,0.89735979,1.31494941,0.51277886,0.00511502,1.22295562,0.00000000
-5.77188594,2.69732376,0.84734966,1.25662511,0.47908097,0.00488793,1.16705794,0.00000000
-5.76588294,2.55508448,0.79706259,1.19702645,0.44551296,0.00465390,1.10964879,0.00000000
-5.75987994,2.41248140,0.74715786,1.13698203,0.41247809,0.00441617,1.05155155,0.00000000
-5.75387694,2.27132240,0.69825243,1.07727774,0.38035776,0.00417787,0.99354289,0.00000000
-5.74787394,2.13327062,0.65091251,1.01863976,0.34950797,0.00394194,0.93633486,0.00000000
-5.74187094,1.99981656,0.60564724,0.96172053,0.32025682,0.00371112,0.88056030,0.00000000
-5.73586793,1.87225787,0.56290447,0.90708827,0.29290273,0.00348782,0.82676209,0.00000000
-5.72986493,1.75168689,0.52306870,0.85522024,0.26771347,0.00327420,0.77538644,0.00000000
-5.72386193,1.63898609,0.48646074,0.80649987,0.24492576,0.00307204,0.72678037,0.00000000
-5.71785893,1.53483093,0.45333919,0.76121756,0.22474531,0.00288281,0.68119311,0.00000000
-5.71185593,1.43969926,0.42390314,0.71957487,0.20734709,0.00270763,0.63878123,0.00000000
-5.70585293,1.35388624,0.39829587,0.68169160,0.19287581,0.00254730,0.59961679,0.00000000
-5.69984992,1.27752347,0.37660918,0.64761512,0.18144618,0.00240233,0.56369809,0.00000000
-5.69384692,1.21060089,0.35888789,0.61733126,0.17314313,0.00227296,0.53096212,0.00000000
-5.68784392,1.15298994,0.34513423,0.59077597,0.16802163,0.00215916,0.50129805,0.00000000
-5.68184092,1.10446664,0.33531184,0.56784709,0.16610622,0.00206074,0.47456090,0.00000000
-5.67583792,1.06473328,0.32934899,0.54841552,0.16739010,0.00197732,0.45058477,0.00000000
-5.66983492,1.03343766,0.32714115,0.53233512,0.17183399,0.00190839,0.42919496,0.00000000
-5.66383192,1.01018916,0.32855254,0.51945106,0.17936465,0.00185332,0.41021838,0.00000000
-5.65782891,0.99457105,0.33341704,0.50960618,0.18987344,0.00181143,0.39349201,0.00000000
-5.65182591,0.98614915,0.34153830,0.50264531,0.20321495,0.00178193,0.37886901,0.00000000
-5.64582291,0.98447669,0.35268954,0.49841750,0.21920597,0.00176403,0.36622258,0.00000000
-5.63981991,0.98909608,0.36661320,0.49677645,0.23762509,0.00175687,0.35544741,0.00000000
-5.63381691,0.99953816,0.38302075,0.49757932,0.25821319,0.00175956,0.34645906,0.00000000
-5.62781391,1.01531964,0.40159315,0.50068434,0.28067494,0.00177121,0.33919156,0.00000000
-5.62181091,1.03593994,0.42198213,0.50594775,0.30468165,0.00179087,0.33359336,0.00000000
-5.61580790,1.06087797,0.44381275,0.51322039,0.32987543,0.00181760,0.32962247,0.00000000
-5.60980490,1.08958996,0.46668717,0.52234458,0.35587484,0.00185041,0.32724074,0.00000000
-5.60380190,1.12150885,0.49019013,0.53315141,0.38228197,0.00188834,0.32640812,0.00000000
-5.59779890,1.15604586,0.51389568,0.54545907,0.40869066,0.00193040,0.32707704,0.00000000
-5.59179590,1.19259439,0.53737538,0.55907217,0.43469586,0.00197563,0.32918738,0.00000000
-5.58579290,1.23053642,0.56020761,0.57378231,0.45990356,0.00202310,0.33266238,0.00000000
-5.57978989,1.26925098,0.58198747,0.58936983,0.48394111,0.00207192,0.33740548,0.00000000
-5.57378689,1.30812454,0.60233714,0.60560665,0.50646724,0.00212126,0.34329855,0.00000000
-5.56778389,1.34656256,0.62091589,0.62226006,0.52718157,0.00217040,0.35020135,0.00000000
-5.56178089,1.38400151,0.63742944,0.63909708,0.54583285,0.00221869,0.35795227,0.00000000
-5.55577789,1.41992076,0.65163808,0.65588926,0.56222570,0.00226562,0.36637040,0.00000000
-5.54977489,1.45385344,0.66336305,0.67241749,0.57622544,0.00231079,0.37525866,0.00000000
-5.54377189,1.48539567,0.67249085,0.68847657,0.58776060,0.00235392,0.38440787,0.00000000
-5.53776888,1.51421370,0.67897528,0.70387934,0.59682315,0.00239488,0.39360169,0.00000000
-5.53176588,1.54004841,0.68283694,0.71845998,0.60346623,0.00243363,0.40262194,0.00000000
-5.52576288,1.56271704,0.68416021,0.73207660,0.60779960,0.00247026,0.41125440,0.00000000
-5.51975988,1.58211219,0.68308802,0.74461277,0.60998294,0.00250491,0.41929450,0.00000000
-5.51375688,1.59819808,0.67981438,0.75597819,0.61021739,0.00253781,0.42655294,0.00000000
-5.50775388,1.61100450,0.67457531,0.76610832,0.60873579,0.00256922,0.43286084,0.00000000
-5.50175088,1.62061876,0.66763845,0.77496333,0.60579197,0.00259939,0.43807427,0.00000000
-5.49574787,1.62717633,0.65929195,0.78252626,0.60164977,0.00262859,0.44207798,0.00000000
-5.48974487,1.63085040,0.64983308,0.78880063,0.59657222,0.00265700,0.44478819,0.00000000
-5.48374187,1.63184133,0.63955719,0.79380773,0.59081141,0.00268477,0.44615427,0.00000000
-5.47773887,1.63036609,0.62874734,0.79758365,0.58459941,0.00271196,0.44615930,0.00000000
-5.47173587,1.62664852,0.61766518,0.80017623,0.57814074,0.00273857,0.44481957,0.00000000
-5.46573287,1.62091041,0.60654316,0.80164215,0.57160644,0.00276447,0.44218281,0.00000000
-5.45972986,1.61336412,0.59557860,0.80204410,0.56513009,0.00278948,0.43832558,0.00000000
-5.45372686,1.60420652,0.58492948,0.80144836,0.55880567,0.00281333,0.43334966,0.00000000
-5.44772386,1.59361464,0.57471208,0.79992260,0.55268727,0.00283569,0.42737781,0.00000000
-5.44172086,1.58174289,0.56500049,0.79753423,0.54679055,0.00285619,0.42054899,0.00000000
-5.43571786,1.56872186,0.55582771,0.79434909,0.54109562,0.00287444,0.41301335,0.00000000
-5.42971486,1.55465860,0.54718828,0.79043062,0.53555125,0.00289006,0.40492714,0.00000000
