energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.37584136,0.01874643,0.46723801,0.78416106,0.69901646,1.48599625,1.04496546,0.03094939,0.98896069
-5.99399700,3.45776527,0.01916918,0.47526437,0.81641245,0.71025899,1.54303703,1.06473147,0.03052771,1.02149477
-5.98799400,3.53487878,0.01948727,0.48271538,0.84652547,0.72054116,1.59686306,1.08352830,0.03004229,1.05244453
-5.98199100,3.60573230,0.01969486,0.48939566,0.87410340,0.72969441,1.64676803,1.10085272,0.02949443,1.08130424
-5.97598799,3.66912707,0.01978838,0.49514872,0.89881434,0.73760167,1.69215412,1.11628692,0.02888687,1.10763540
-5.96998499,3.72414956,0.01976655,0.49986085,0.92040002,0.74420297,1.73254521,1.12950893,0.02822391,1.13107924
-5.96398199,3.77019252,0.01963047,0.50346286,0.93868171,0.74949848,1.76759507,1.14029831,0.02751151,1.15136586
-5.95797899,3.80696205,0.01938352,0.50592978,0.95356313,0.75354852,1.79709042,1.14853687,0.02675722,1.16831946
-5.95197599,3.83447089,0.01903124,0.50727851,0.96503029,0.75647079,1.82094890,1.15420477,0.02597003,1.18185965
-5.94597299,3.85301858,0.01858118,0.50756378,0.97314822,0.75843480,1.83921236,1.15737239,0.02516020,1.19199875
-5.93996998,3.86315993,0.01804259,0.50687264,0.97805497,0.75965384,1.85203603,1.15818850,0.02433886,1.19883541
-5.93396698,3.86566380,0.01742620,0.50531785,0.97995295,0.76037482,1.85967440,1.15686570,0.02351775,1.20254489
-5.92796398,3.86146455,0.01674384,0.50303068,0.97909832,0.76086659,1.86246457,1.15366381,0.02270876,1.20336661
-5.92196098,3.85160875,0.01600813,0.50015330,0.97578875,0.76140722,1.86080812,1.14887239,0.02192357,1.20158962
-5.91595798,3.83720012,0.01523212,0.49683145,0.97035029,0.76227092,1.85515256,1.14279315,0.02117322,1.19753682
-5.90995498,3.81934539,0.01442897,0.49320757,0.96312383,0.76371516,1.84597313,1.13572335,0.02046778,1.19154868
-5.90395198,3.79910382,0.01361161,0.48941476,0.95445185,0.76596874,1.83375600,1.12794078,0.01981603,1.18396742
-5.89794897,3.77744262,0.01279242,0.48557184,0.94466601,0.76922118,1.81898355,1.11969131,0.01922522,1.17512223
-5.89194597,3.75520028,0.01198303,0.48177969,0.93407608,0.77361412,1.80212221,1.11117925,0.01870094,1.16531640
-5.88594297,3.73305914,0.01119401,0.47811892,0.92296066,0.77923488,1.78361338,1.10256097,0.01824696,1.15481678
-5.87993997,3.71152820,0.01043480,0.47464892,0.91155991,0.78611260,1.76386756,1.09394191,0.01786532,1.14384603
-5.87393697,3.69093622,0.00971347,0.47140825,0.90007062,0.79421703,1.74326160,1.08537691,0.01755633,1.13257791
-5.86793397,3.67143509,0.00903674,0.46841609,0.88864363,0.80345990,1.72213901,1.07687362,0.01731874,1.12113561
-5.86193097,3.65301244,0.00840987,0.46567485,0.87738358,0.81369880,1.70081289,1.06839857,0.01714992,1.10959304
-5.85592796,3.63551244,0.00783670,0.46317338,0.86635079,0.82474332,1.67957100,1.05988550,0.01704606,1.09797879
-5.84992496,3.61866298,0.00731969,0.46089082,0.85556515,0.83636296,1.65868242,1.05124521,0.01700244,1.08628236
-5.84392196,3.60210769,0.00685999,0.45880069,0.84501160,0.84829663,1.63840520,1.04237645,0.01701368,1.07446216
-5.83791896,3.58544054,0.00645756,0.45687498,0.83464689,0.86026300,1.61899435,1.03317703,0.01707395,1.06245470
-5.83191596,3.56824130,0.00611129,0.45508810,0.82440721,0.87197138,1.60070946,1.02355476,0.01717722,1.05018437
-5.82591296,3.55010983,0.00581916,0.45342046,0.81421628,0.88313253,1.58382157,1.01343741,0.01731743,1.03757314
-5.81990995,3.53069762,0.00557837,0.45186145,0.80399350,0.89346902,1.56861855,1.00278147,0.01748868,1.02454980
-5.81390695,3.50973501,0.00538549,0.45041181,0.79366181,0.90272463,1.55540886,0.99157910,0.01768533,1.01105808
-5.80790395,3.48705314,0.00523666,0.44908527,0.78315492,0.91067254,1.54452309,0.97986316,0.01790207,0.99706335
-5.80190095,3.46259962,0.00512769,0.44790939,0.77242349,0.91712193,1.53631334,0.96771006,0.01813400,0.98255757
-5.79589795,3.43644767,0.00505423,0.44692560,0.76144037,0.92192294,1.53115021,0.95524046,0.01837668,0.96756240
-5.78989495,3.40879851,0.00501188,0.44618855,0.75020430,0.92496979,1.52941746,0.94261782,0.01862605,0.95213032
