energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,3.54418004,0.01116142,0.49166908,1.79345489,0.37755278,1.08991992,0.85318745,1.70825042,0.00000000
-5.99399700,3.48694168,0.01084092,0.47791103,1.78692266,0.36918446,1.07886765,0.83542862,1.69165880,0.00000000
-5.98799400,3.43644356,0.01057329,0.46554653,1.78150405,0.36137543,1.06882674,0.81982725,1.67759632,0.00000000
-5.98199100,3.39236104,0.01035520,0.45444773,1.77714458,0.35415520,1.05965869,0.80615691,1.66603361,0.00000000
-5.97598799,3.35429333,0.01018274,0.44447335,1.77378490,0.34754571,1.05121538,0.79417702,1.65691067,0.00000000
-5.96998499,3.32177750,0.01005161,0.43547461,1.77135912,0.34156136,1.04334454,0.78364261,1.65013705,0.00000000
-5.96398199,3.29430390,0.00995724,0.42730139,1.76979323,0.33620923,1.03589529,0.77431382,1.64559292,0.00000000
-5.95797899,3.27133269,0.00989493,0.41980820,1.76900414,0.33148960,1.02872357,0.76596499,1.64313120,0.00000000
-5.95197599,3.25231095,0.00985999,0.41285995,1.76889910,0.32739652,1.02169739,0.75839296,1.64258053,0.00000000
-5.94597299,3.23668999,0.00984782,0.40633727,1.76937593,0.32391869,1.01470170,0.75142438,1.64374936,0.00000000
-5.93996998,3.22394226,0.00985407,0.40014125,1.77032395,0.32104036,1.00764279,0.74492196,1.64643064,0.00000000
-5.93396698,3.21357753,0.00987465,0.39419748,1.77162571,0.31874231,1.00045204,0.73878934,1.65040726,0.00000000
-5.92796398,3.20515767,0.00990584,0.38845927,1.77315940,0.31700286,0.99308907,0.73297475,1.65545788,0.00000000
-5.92196098,3.19830987,0.00994433,0.38291010,1.77480188,0.31579876,0.98554413,0.72747317,1.66136289,0.00000000
-5.91595798,3.19273777,0.00998721,0.37756507,1.77643226,0.31510611,0.97783968,0.72232742,1.66791042,0.00000000
-5.90995498,3.18823028,0.01003209,0.37247158,1.77793581,0.31490099,0.97003130,0.71762776,1.67490194,0.00000000
-5.90395198,3.18466804,0.01007700,0.36770915,1.77920809,0.31516004,0.96220780,0.71351066,1.68215742,0.00000000
-5.89794897,3.18202720,0.01012047,0.36338841,1.78015902,0.31586075,0.95449065,0.71015639,1.68951975,0.00000000
