energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Ta_p_up,Ta_d_up
-6.00000000,4.13313430,0.06805951,2.29653906,0.53545412,0.00000000,1.76675047,1.47593243
-5.99399700,4.23395672,0.06835340,2.34654405,0.54381881,0.00000000,1.81906343,1.49391816
-5.98799400,4.33229423,0.06891668,2.39265440,0.55403848,0.00000000,1.86917025,1.51215589
-5.98199100,4.42711903,0.06972477,2.43433274,0.56604575,0.00000000,1.91655677,1.53041595
-5.97598799,4.51739986,0.07074880,2.47105519,0.57975614,0.00000000,1.96073641,1.54843452
-5.96998499,4.60212541,0.07195723,2.50231837,0.59507407,0.00000000,2.00126154,1.56591998
-5.96398199,4.68032698,0.07331736,2.52764748,0.61189788,0.00000000,2.03773375,1.58256049
-5.95797899,4.75109990,0.07479664,2.54660533,0.63012366,0.00000000,2.06981255,1.59803257
-5.95197599,4.81362247,0.07636394,2.55880190,0.64964751,0.00000000,2.09722201,1.61201020
-5.94597299,4.86717203,0.07799043,2.56390410,0.67036634,0.00000000,2.11975522,1.62417407
-5.93996998,4.91113724,0.07965027,2.56164525,0.69217702,0.00000000,2.13727612,1.63422048
-5.93396698,4.94502635,0.08132101,2.55183383,0.71497406,0.00000000,2.14971883,1.64186944
-5.92796398,4.96847104,0.08298361,2.53436101,0.73864603,0.00000000,2.15708441,1.64687163
-5.92196098,4.98122592,0.08462230,2.50920659,0.76307094,0.00000000,2.15943516,1.64901390
-5.91595798,4.98316374,0.08622409,2.47644284,0.78811104,0.00000000,2.15688690,1.64812306
-5.90995498,4.97426692,0.08777814,2.43623623,0.81360734,0.00000000,2.14959954,1.64406794
-5.90395198,4.95461579,0.08927495,2.38884652,0.83937436,0.00000000,2.13776650,1.63675961
-5.89794897,4.92437457,0.09070547,2.33462357,0.86519558,0.00000000,2.12160353,1.62615000
-5.89194597,4.88377581,0.09206021,2.27400156,0.89082006,0.00000000,2.10133751,1.61222910
-5.88594297,4.83310447,0.09332844,2.20749108,0.91596054,0.00000000,2.07719602,1.59502103
-5.87993997,4.77268262,0.09449742,2.13566927,0.94029352,0.00000000,2.04939803,1.57457950
-5.87393697,4.70285577,0.09555192,2.05916830,0.96346146,0.00000000,2.01814642,1.55098282
-5.86793397,4.62398180,0.09647393,1.97866291,0.98507733,0.00000000,1.98362275,1.52432919
-5.86193097,4.53642315,0.09724263,1.89485716,1.00473153,0.00000000,1.94598447,1.49473243
-5.85592796,4.44054292,0.09783466,1.80847121,1.02200103,0.00000000,1.90536491,1.46231858
-5.84992496,4.33670512,0.09822466,1.72022844,1.03646062,0.00000000,1.86187590,1.42722366
-5.84392196,4.22527906,0.09838611,1.63084342,1.04769568,0.00000000,1.81561301,1.38959271
-5.83791896,4.10664768,0.09829235,1.54101120,1.05531626,0.00000000,1.76666305,1.34958011
-5.83191596,3.98121912,0.09791782,1.45139819,1.05897160,0.00000000,1.71511329,1.30735129
-5.82591296,3.84944094,0.09723933,1.36263488,1.05836466,0.00000000,1.66106211,1.26308542
-5.81990995,3.71181574,0.09623753,1.27531056,1.05326580,0.00000000,1.60463017,1.21697903
-5.81390695,3.56891726,0.09489811,1.18996999,1.04352505,0.00000000,1.54597157,1.16925010
-5.80790395,3.42140566,0.09321308,1.10711211,1.02908228,0.00000000,1.48528432,1.12014232
-5.80190095,3.27004078,0.09118180,1.02719046,1.00997468,0.00000000,1.42281945,1.06992901
-5.79589795,3.11569239,0.08881170,0.95061514,0.98634125,0.00000000,1.35888823,1.01891647
-5.78989495,2.95934646,0.08611885,0.87775609,0.95842384,0.00000000,1.29386695,0.96744630
-5.78389195,2.80210685,0.08312806,0.80894712,0.92656492,0.00000000,1.22819913,0.91589645
-5.77788894,2.64519192,0.07987281,0.74449065,0.89120177,0.00000000,1.16239486,0.86468088
-5.77188594,2.48992608,0.07639478,0.68466249,0.85285770,0.00000000,1.09702720,0.81424758
-5.76588294,2.33772632,0.07274310,0.62971649,0.81213047,0.00000000,1.03272602,0.76507512
-5.75987994,2.19008433,0.06897338,0.57988873,0.76967858,0.00000000,0.97016929,0.71766776
-5.75387694,2.04854484,0.06514654,0.53540090,0.72620592,0.00000000,0.91007232,0.67254924
-5.74787394,1.91468097,0.06132751,0.49646274,0.68244560,0.00000000,0.85317546,0.63025564
-5.74187094,1.79006770,0.05758387,0.46327338,0.63914357,0.00000000,0.80023062,0.59132748
-5.73586793,1.67625435,0.05398443,0.43602140,0.59704277,0.00000000,0.75198726,0.55630137
-5.72986493,1.57473717,0.05059789,0.41488380,0.55686829,0.00000000,0.70917824,0.52570168
-5.72386193,1.48693287,0.04749162,0.40002360,0.51931419,0.00000000,0.67250605,0.50003230
-5.71785893,1.41415384,0.04473047,0.39158651,0.48503217,0.00000000,0.64262973,0.47976892
-5.71185593,1.35758586,0.04237577,0.38969655,0.45462247,0.00000000,0.62015283,0.46535187
-5.70585293,1.31826838,0.04048449,0.39445102,0.42862699,0.00000000,0.60561256,0.45717987
-5.69984992,1.29707801,0.03910848,0.40591486,0.40752457,0.00000000,0.59947034,0.45560450
-5.69384692,1.29471497,0.03829391,0.42411487,0.39172824,0.00000000,0.60210368,0.46092560
-5.68784392,1.31169262,0.03808070,0.44903388,0.38158414,0.00000000,0.61379949,0.47338749
-5.68184092,1.34832969,0.03850213,0.48060532,0.37737166,0.00000000,0.63474870,0.49317585
-5.67583792,1.40474516,0.03958441,0.51870840,0.37930453,0.00000000,0.66504219,0.52041529
-5.66983492,1.48085522,0.04134626,0.56316415,0.38753222,0.00000000,0.70466783,0.55516726
-5.66383192,1.57637217,0.04379856,0.61373269,0.40214130,0.00000000,0.75350863,0.59742833
-5.65782891,1.69080482,0.04694387,0.67011179,0.42315645,0.00000000,0.81134201,0.64712859
-5.65182591,1.82346023,0.05077595,0.73193694,0.45054071,0.00000000,0.87783997,0.70413006
-5.64582291,1.97344659,0.05527932,0.79878308,0.48419487,0.00000000,0.95257039,0.76822507
-5.63981991,2.13967717,0.06042873,0.87016791,0.52395585,0.00000000,1.03499934,0.83913455
-5.63381691,2.32087533,0.06618873,0.94555680,0.56959415,0.00000000,1.12449451,0.91650622
-5.62781391,2.51558078,0.07251328,1.02436922,0.62081056,0.00000000,1.22032991,0.99991278
-5.62181091,2.72215731,0.07934548,1.10598643,0.67723242,0.00000000,1.32169183,1.08885029
-5.61580790,2.93880228,0.08661751,1.18976030,0.73840982,0.00000000,1.42768620,1.18273688
-5.60980490,3.16355828,0.09425080,1.27502291,0.80381228,0.00000000,1.53734753,1.28091214
-5.60380190,3.39432739,0.10215644,1.36109671,0.87282642,0.00000000,1.64964934,1.38263743
-5.59779890,3.62888858,0.11023594,1.44730496,0.94475523,0.00000000,1.76351625,1.48709761
-5.59179590,3.86491847,0.11838239,1.53298202,1.01881949,0.00000000,1.87783758,1.59340438
-5.58579290,4.10001606,0.12648195,1.61748343,1.09416191,0.00000000,1.99148262,1.70060179
-5.57978989,4.33173147,0.13441569,1.70019543,1.16985435,0.00000000,2.10331714,1.80767407
-5.57378689,4.55759895,0.14206182,1.78054372,1.24490841,0.00000000,2.21222123,1.91355626
-5.56778389,4.77517383,0.14929820,1.85800146,1.31828963,0.00000000,2.31710800,2.01714748
-5.56178089,4.98207328,0.15600508,1.93209617,1.38893503,0.00000000,2.41694285,2.11732721
-5.55577789,5.17602005,0.16206803,2.00241582,1.45577398,0.00000000,2.51076296,2.21297418
-5.54977489,5.35488835,0.16738085,2.06861365,1.51775166,0.00000000,2.59769633,2.30298767
-5.54377189,5.51675061,0.17184848,2.13041212,1.57385463,0.00000000,2.67697996,2.38631078
-5.53776888,5.65992374,0.17538974,2.18760566,1.62313752,0.00000000,2.74797649,2.46195487
-5.53176588,5.78301305,0.17793975,2.24006233,1.66474990,0.00000000,2.81018873,2.52902450
-5.52576288,5.88495223,0.17945196,2.28772436,1.69796220,0.00000000,2.86327133,2.58674181
-5.51975988,5.96503729,0.17989969,2.33060745,1.72218960,0.00000000,2.90703922,2.63446943
-5.51375688,6.02295279,0.17927713,2.36879872,1.73701263,0.00000000,2.94147206,2.67173075
-5.50775388,6.05878866,0.17759967,2.40245333,1.74219368,0.00000000,2.96671448,2.69822664
-5.50175088,6.07304623,0.17490360,2.43178955,1.73768831,0.00000000,2.98307169,2.71384763
-5.49574787,6.06663244,0.17124517,2.45708230,1.72365084,0.00000000,2.99100044,2.71868078
-5.48974487,6.04084175,0.16669902,2.47865510,1.70043379,0.00000000,2.99109536,2.71301081
-5.48374187,5.99732562,0.16135605,2.49687041,1.66858091,0.00000000,2.98407097,2.69731494
-5.47773887,5.93805033,0.15532081,2.51211856,1.62881407,0.00000000,2.97073977,2.67225171
-5.47173587,5.86524410,0.14870849,2.52480546,1.58201440,0.00000000,2.95198724,2.63864385
-5.46573287,5.78133524,0.14164172,2.53533927,1.52919835,0.00000000,2.92874439,2.59745580
-5.45972986,5.68888349,0.13424715,2.54411662,1.47148959,0.00000000,2.90195903,2.54976683
-5.45372686,5.59050717,0.12665207,2.55150875,1.41008789,0.00000000,2.87256678,2.49674061
-5.44772386,5.48880868,0.11898112,2.55784817,1.34623624,0.00000000,2.84146293,2.43959270
-5.44172086,5.38630147,0.11135328,2.56341648,1.28118725,0.00000000,2.80947631,2.37955700
-5.43571786,5.28534127,0.10387911,2.56843391,1.21617048,0.00000000,2.77734626,2.31785276
-5.42971486,5.18806413,0.09665843,2.57305118,1.15236141,0.00000000,2.74570364,2.25565328
-5.42371186,5.09633374,0.08977851,2.57734428,1.09085354,0.00000000,2.71505654,2.19405759
-5.41770885,5.01169993,0.08331265,2.58131240,1.03263412,0.00000000,2.68578141,2.13406604
-5.41170585,4.93536954,0.07731939,2.58487947,0.97856447,0.00000000,2.65811978,2.07656070
-5.40570285,4.86819074,0.07184210,2.58789918,0.92936509,0.00000000,2.63218066,2.02229090
-5.39969985,4.81065057,0.06690916,2.59016352,0.88560587,0.00000000,2.60794832,1.97186444
-5.39369685,4.76288566,0.06253448,2.59141449,0.84770142,0.00000000,2.58529505,1.92574414
-5.38769385,4.72470473,0.05871843,2.59135845,0.81591114,0.00000000,2.56399816,1.88424963
-5.38169085,4.69562164,0.05544911,2.58968252,0.79034381,0.00000000,2.54376024,1.84756387
-5.37568784,4.67489694,0.05270377,2.58607226,0.77096598,0.00000000,2.52423174,1.81574354
