energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,12.18360904,2.43346083,6.88397664,0.02103792,0.87398475,1.15251537,0.94221274,0.11803785,2.66771720
-5.99399700,12.19100977,2.44320808,6.84408132,0.02220298,0.86767198,1.16187276,0.96345856,0.11614328,2.70603199
-5.98799400,12.18851230,2.45127901,6.79998274,0.02344081,0.86050085,1.16853733,0.98393597,0.11403889,2.74103627
-5.98199100,12.17774739,2.45813488,6.75249822,0.02475181,0.85254642,1.17269128,1.00375247,0.11176266,2.77311231
-5.97598799,12.16046003,2.46423464,6.70245345,0.02613533,0.84388870,1.17457967,1.02304392,0.10935257,2.80271856
-5.96998499,12.13844056,2.47001680,6.65065454,0.02758965,0.83460652,1.17450025,1.04196873,0.10684577,2.83036749
-5.96398199,12.11345756,2.47588309,6.59786371,0.02911187,0.82477250,1.17279128,1.06070136,0.10427787,2.85660097
-5.95797899,12.08719420,2.48218423,6.54477854,0.03069800,0.81444920,1.16981770,1.07942530,0.10168237,2.88196446
-5.95197599,12.06118970,2.48920836,6.49201489,0.03234287,0.80368644,1.16595636,1.09832572,0.09909014,2.90698080
-5.94597299,12.03678762,2.49717224,6.44009369,0.03404018,0.79251991,1.16158071,1.11758229,0.09652908,2.93212514
-5.93996998,12.01509276,2.50621563,6.38943155,0.03578251,0.78097100,1.15704584,1.13736235,0.09402390,2.95780189
-5.93396698,11.99693838,2.51639875,6.34033551,0.03756133,0.76904771,1.15267439,1.15781469,0.09159594,2.98432506
-5.92796398,11.98286505,2.52770286,6.29300206,0.03936705,0.75674667,1.14874402,1.17906441,0.08926320,3.01190293
-5.92196098,11.97311233,2.54003396,6.24752039,0.04118904,0.74405593,1.14547708,1.20120889,0.08704031,3.04062781
-5.91595798,11.96762382,2.55322910,6.20388016,0.04301574,0.73095853,1.14303286,1.22431515,0.08493868,3.07047160
-5.90995498,11.96606563,2.56706529,6.16198338,0.04483467,0.71743655,1.14150294,1.24841863,0.08296666,3.10128730
-5.90395198,11.96785783,2.58127030,6.12166035,0.04663257,0.70347543,1.14090967,1.27352352,0.08112973,3.13281659
-5.89794897,11.97221741,2.59553516,6.08268905,0.04839553,0.68906834,1.14120798,1.29960431,0.07943072,3.16470296
-5.89194597,11.97821115,2.60952765,6.04481731,0.05010909,0.67422036,1.14229035,1.32660871,0.07787009,3.19650992
-5.88594297,11.98481584,2.62290637,6.00778689,0.05175847,0.65895232,1.14399467,1.35446143,0.07644613,3.22774313
-5.87993997,11.99098294,2.63533491,5.97135841,0.05332874,0.64330392,1.14611458,1.38306872,0.07515521,3.25787554
-5.87393697,11.99570463,2.64649554,5.93533588,0.05480508,0.62733618,1.14841172,1.41232325,0.07399207,3.28637403
-5.86793397,11.99807781,2.65610215,5.89958974,0.05617306,0.61113293,1.15062937,1.44210900,0.07295000,3.31272632
-5.86193097,11.99736288,2.66391197,5.86407698,0.05741887,0.59480120,1.15250661,1.47230580,0.07202107,3.33646658
-5.85592796,11.99303431,2.66973586,5.82885746,0.05852972,0.57847065,1.15379254,1.50279329,0.07119637,3.35719869
-5.84992496,11.98482031,2.67344692,5.79410516,0.05949411,0.56229180,1.15425967,1.53345401,0.07046618,3.37461575
-5.84392196,11.97272969,2.67498729,5.76011386,0.06030217,0.54643331,1.15371605,1.56417538,0.06982021,3.38851510
-5.83791896,11.95706452,2.67437305,5.72729656,0.06094601,0.53107818,1.15201540,1.59485055,0.06924773,3.39880811
-5.83191596,11.93841793,2.67169719,5.69617855,0.06142001,0.51641930,1.14906506,1.62537815,0.06873783,3.40552439
-5.82591296,11.91765721,2.66713062,5.66738417,0.06172106,0.50265417,1.14483120,1.65566083,0.06827956,3.40881038
-5.81990995,11.89589302,2.66092121,5.64161771,0.06184887,0.48997933,1.13934125,1.68560298,0.06786215,3.40892251
-5.81390695,11.87443619,2.65339094,5.61963909,0.06180607,0.47858446,1.13268358,1.71510768,0.06747517,3.40621546
-5.80790395,11.85474424,2.64493109,5.60223530,0.06159834,0.46864651,1.12500432,1.74407336,0.06710871,3.40112618
-5.80190095,11.83835996,2.63599555,5.59018874,0.06123441,0.46032406,1.11650163,1.77239017,0.06675357,3.39415466
-5.79589795,11.82684479,2.62709227,5.58424365,0.06072601,0.45375212,1.10741774,1.79993678,0.06640141,3.38584236
-5.78989495,11.82171006,2.61877282,5.58507205,0.06008766,0.44903751,1.09802913,1.82657762,0.06604490,3.37674935
-5.78389195,11.82434878,2.61162021,5.59324061,0.05933642,0.44625509,1.08863516,1.85216091,0.06567781,3.36743129
-5.77788894,11.83597082,2.60623500,5.60917964,0.05849148,0.44544481,1.07954584,1.87651787,0.06529516,3.35841717
-5.77188594,11.85754406,2.60321992,5.63315567,0.05757372,0.44660984,1.07106917,1.89946295,0.06489325,3.35018873
-5.76588294,11.88974371,2.60316317,5.66524859,0.05660514,0.44971571,1.06349847,1.92079552,0.06446970,3.34316230
-5.75987994,11.93291166,2.60662078,5.70533446,0.05560823,0.45469048,1.05710039,1.94030265,0.06402343,3.33767376
-5.75387694,11.98702728,2.61409840,5.75307461,0.05460535,0.46142594,1.05210391,1.95776324,0.06355465,3.33396691
-5.74787394,12.05169069,2.62603309,5.80791180,0.05361797,0.46977978,1.04869086,1.97295307,0.06306474,3.33218567
-5.74187094,12.12611915,2.64277552,5.86907364,0.05266610,0.47957861,1.04698834,1.98565073,0.06255615,3.33237022
-5.73586793,12.20915664,2.66457352,5.93558337,0.05176756,0.49062175,1.04706329,1.99564402,0.06203223,3.33445699
-5.72986493,12.29929642,2.69155737,6.00627797,0.05093752,0.50268560,1.04891945,2.00273676,0.06149705,3.33828246
-5.72386193,12.39471597,2.72372775,6.07983313,0.05018795,0.51552855,1.05249698,2.00675543,0.06095522,3.34359051
-5.71785893,12.49332342,2.76094695,6.15479445,0.04952737,0.52889618,1.05767453,2.00755570,0.06041162,3.35004296
-5.71185593,12.59281407,2.80293399,6.22961422,0.04896060,0.54252672,1.06427396,2.00502828,0.05987122,3.35723303
-5.70585293,12.69073576,2.84926414,6.30269254,0.04848881,0.55615653,1.07206744,1.99910416,0.05933887,3.36470113
