energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,4.33989995,1.08261935,0.00000000,1.15263407,2.37430803,0.00677681,1.09823599
-5.99399700,4.21193517,1.05788601,0.00000000,1.12554723,2.31007997,0.00666009,1.05399414
-5.98799400,4.09550658,1.03620850,0.00000000,1.10392857,2.25076564,0.00654485,1.01320233
-5.98199100,3.99252290,1.01808567,0.00000000,1.08848470,2.19732877,0.00643599,0.97627974
-5.97598799,3.90482602,1.00401843,0.00000000,1.07991914,2.15070657,0.00633866,0.94359799
-5.96998499,3.83415817,0.99449916,0.00000000,1.07891751,2.11179240,0.00625814,0.91547657
-5.96398199,3.78212459,0.98999899,0.00000000,1.08612929,2.08141619,0.00619980,0.89217834
-5.95797899,3.75015231,0.99095315,0.00000000,1.10214656,2.06032316,0.00616901,0.87390524
-5.95197599,3.73944662,0.99774498,0.00000000,1.12748048,2.04915158,0.00617105,0.86079435
-5.94597299,3.75094669,1.01068926,0.00000000,1.16253622,2.04841040,0.00621099,0.85291445
-5.93996998,3.78528257,1.03001541,0.00000000,1.20758748,2.05845784,0.00629360,0.85026345
-5.93396698,3.84273552,1.05585154,0.00000000,1.26275175,2.07948198,0.00642331,0.85276669
-5.92796398,3.92320403,1.08821022,0.00000000,1.32796768,2.11148445,0.00660402,0.86027648
-5.92196098,4.02617760,1.12697659,0.00000000,1.40297577,2.15426823,0.00683912,0.87257306
-5.91595798,4.15072022,1.17189984,0.00000000,1.48730379,2.20743037,0.00713135,0.88936692
-5.90995498,4.29546503,1.22258850,0.00000000,1.58025790,2.27036042,0.00748281,0.91030274
-5.90395198,4.45862130,1.27851022,0.00000000,1.68092045,2.34224486,0.00789484,0.93496478
-5.89794897,4.63799421,1.33899617,0.00000000,1.78815527,2.42207765,0.00836808,0.96288360
-5.89194597,4.83101738,1.40325032,0.00000000,1.90062052,2.50867690,0.00890237,0.99354414
-5.88594297,5.03479748,1.47036332,0.00000000,2.01678940,2.60070699,0.00949681,1.02639460
-5.87993997,5.24616965,1.53933074,0.00000000,2.13497810,2.69670560,0.01014971,1.06085612
-5.87393697,5.46176201,1.60907502,0.00000000,2.25338048,2.79511458,0.01085859,1.09633287
-5.86793397,5.67806709,1.67847037,0.00000000,2.37010828,2.89431361,0.01162023,1.13222214
-5.86193097,5.89151760,1.74636971,0.00000000,2.48323557,2.99265542,0.01243058,1.16792429
-5.85592796,6.09856415,1.81163272,0.00000000,2.59084596,3.08850132,0.01328480,1.20285227
-5.84992496,6.29575204,1.87315377,0.00000000,2.69108069,3.18025587,0.01417725,1.23644049
-5.84392196,6.47979485,1.92988888,0.00000000,2.78218611,3.26639944,0.01510143,1.26815287
-5.83791896,6.64764240,1.98088059,0.00000000,2.86255850,3.34551796,0.01604998,1.29749009
-5.83191596,6.79654128,2.02527995,0.00000000,2.93078493,3.41632894,0.01701467,1.32399600
-5.82591296,6.92408648,2.06236489,0.00000000,2.98567847,3.47770325,0.01798640,1.34726311
-5.81990995,7.02826308,2.09155449,0.00000000,3.02630675,3.52868248,0.01895522,1.36693745
-5.81390695,7.10747752,2.11241879,0.00000000,3.05201298,3.56849172,0.01991037,1.38272267
-5.80790395,7.16057830,2.12468417,0.00000000,3.06242877,3.59654800,0.02084039,1.39438361
-5.80190095,7.18686652,2.12823420,0.00000000,3.05747876,3.61246458,0.02173327,1.40174928
-5.79589795,7.18609673,2.12310646,0.00000000,3.03737702,3.61605156,0.02257660,1.40471542
-5.78989495,7.15846910,2.10948570,0.00000000,3.00261573,3.60731328,0.02335783,1.40324651
-5.78389195,7.10461374,2.08769377,0.00000000,2.95394699,3.58644295,0.02406454,1.39737711
-5.77788894,7.02556832,2.05817717,0.00000000,2.89235835,3.55381495,0.02468481,1.38721259
-5.77188594,6.92274984,2.02149261,0.00000000,2.81904354,3.50997519,0.02520752,1.37292883
-5.76588294,6.79792152,1.97829137,0.00000000,2.73536925,3.45562975,0.02562277,1.35477096
-5.75987994,6.65315550,1.92930299,0.00000000,2.64283935,3.39163197,0.02592226,1.33305062
-5.75387694,6.49079205,1.87531871,0.00000000,2.54305761,3.31896805,0.02609962,1.30814188
-5.74787394,6.31339567,1.81717516,0.00000000,2.43769012,3.23874114,0.02615078,1.28047545
-5.74187094,6.12370847,1.75573846,0.00000000,2.32842841,3.15215380,0.02607421,1.25053106
-5.73586793,5.92460117,1.69188907,0.00000000,2.21695404,3.06048876,0.02587114,1.21882827
-5.72986493,5.71902215,1.62650740,0.00000000,2.10490554,2.96508790,0.02554563,1.18591545
-5.72386193,5.50994467,1.56046022,0.00000000,1.99384825,2.86732950,0.02510461,1.15235734
