energy_ev,total_up,Sc_p_up,Sc_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,0.33063961,0.10994821,0.07072371,0.02918366,0.00000000,0.14623120,0.00000000
-5.99399700,0.30251892,0.10065851,0.06467136,0.02678089,0.00000000,0.13377440,0.00000000
-5.98799400,0.27481810,0.09149941,0.05871429,0.02440207,0.00000000,0.12150719,0.00000000
-5.98199100,0.24788196,0.08258533,0.05292563,0.02207844,0.00000000,0.10958242,0.00000000
-5.97598799,0.22200889,0.07401574,0.04736829,0.01983752,0.00000000,0.09813234,0.00000000
-5.96998499,0.19744787,0.06587408,0.04209438,0.01770283,0.00000000,0.08726733,0.00000000
-5.96398199,0.17439766,0.05822742,0.03714495,0.01569380,0.00000000,0.07707564,0.00000000
-5.95797899,0.15300801,0.05112679,0.03255025,0.01382585,0.00000000,0.06762401,0.00000000
-5.95197599,0.13338275,0.04460810,0.02833029,0.01211063,0.00000000,0.05895908,0.00000000
-5.94597299,0.11558432,0.03869367,0.02449577,0.01055648,0.00000000,0.05110956,0.00000000
-5.93996998,0.09963965,0.03339405,0.02104925,0.00916890,0.00000000,0.04408887,0.00000000
-5.93396698,0.08554684,0.02871029,0.01798638,0.00795126,0.00000000,0.03789831,0.00000000
-5.92796398,0.07328259,0.02463633,0.01529743,0.00690542,0.00000000,0.03253042,0.00000000
-5.92196098,0.06280988,0.02116158,0.01296871,0.00603257,0.00000000,0.02797260,0.00000000
-5.91595798,0.05408573,0.01827342,0.01098400,0.00533394,0.00000000,0.02421073,0.00000000
-5.90995498,0.04706878,0.01595978,0.00932601,0.00481159,0.00000000,0.02123270,0.00000000
-5.90395198,0.04172657,0.01421149,0.00797763,0.00446913,0.00000000,0.01903192,0.00000000
-5.89794897,0.03804216,0.01302448,0.00692312,0.00431244,0.00000000,0.01761044,0.00000000
-5.89194597,0.03602021,0.01240176,0.00614914,0.00435022,0.00000000,0.01698196,0.00000000
-5.88594297,0.03569207,0.01235506,0.00564561,0.00459456,0.00000000,0.01717431,0.00000000
-5.87993997,0.03712006,0.01290621,0.00540637,0.00506130,0.00000000,0.01823162,0.00000000
-5.87393697,0.04040064,0.01408811,0.00542974,0.00577029,0.00000000,0.02021591,0.00000000
-5.86793397,0.04566632,0.01594526,0.00571881,0.00674551,0.00000000,0.02320820,0.00000000
-5.86193097,0.05308635,0.01853390,0.00628155,0.00801493,0.00000000,0.02730887,0.00000000
-5.85592796,0.06286589,0.02192158,0.00713082,0.00961024,0.00000000,0.03263734,0.00000000
-5.84992496,0.07524351,0.02618628,0.00828404,0.01156631,0.00000000,0.03933088,0.00000000
-5.84392196,0.09048709,0.03141483,0.00976278,0.01392041,0.00000000,0.04754260,0.00000000
-5.83791896,0.10888777,0.03770086,0.01159211,0.01671120,0.00000000,0.05743828,0.00000000
-5.83191596,0.13075201,0.04514200,0.01379971,0.01997743,0.00000000,0.06919236,0.00000000
-5.82591296,0.15639175,0.05383660,0.01641483,0.02375644,0.00000000,0.08298272,0.00000000
-5.81990995,0.18611263,0.06387980,0.01946706,0.02808237,0.00000000,0.09898444,0.00000000
-5.81390695,0.22020055,0.07535903,0.02298490,0.03298430,0.00000000,0.11736258,0.00000000
-5.80790395,0.25890668,0.08834921,0.02699418,0.03848411,0.00000000,0.13826414,0.00000000
-5.80190095,0.30243146,0.10290757,0.03151641,0.04459442,0.00000000,0.16180924,0.00000000
-5.79589795,0.35090792,0.11906833,0.03656704,0.05131647,0.00000000,0.18808197,0.00000000
-5.78989495,0.40438499,0.13683757,0.04215371,0.05863814,0.00000000,0.21712116,0.00000000
-5.78389195,0.46281160,0.15618824,0.04827455,0.06653223,0.00000000,0.24891135,0.00000000
-5.77788894,0.52602221,0.17705589,0.05491664,0.07495500,0.00000000,0.28337459,0.00000000
-5.77188594,0.59372464,0.19933510,0.06205466,0.08384526,0.00000000,0.32036342,0.00000000
-5.76588294,0.66549116,0.22287705,0.06964983,0.09312393,0.00000000,0.35965544,0.00000000
-5.75987994,0.74075345,0.24748837,0.07764925,0.10269428,0.00000000,0.40095013,0.00000000
-5.75387694,0.81880227,0.27293149,0.08598560,0.11244282,0.00000000,0.44386807,0.00000000
-5.74787394,0.89879224,0.29892669,0.09457746,0.12224099,0.00000000,0.48795310,0.00000000
-5.74187094,0.97975225,0.32515579,0.10332999,0.13194749,0.00000000,0.53267751,0.00000000
-5.73586793,1.06060145,0.35126770,0.11213638,0.14141139,0.00000000,0.57745040,0.00000000
