energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,5.51921584,0.02126376,0.72716642,1.43829761,1.69007427,0.22567047,1.51707422,0.40525031,0.30367108
-5.99399700,5.59700856,0.02076182,0.73851492,1.48264331,1.71207707,0.22788503,1.54133574,0.41750555,0.30510229
-5.98799400,5.66778403,0.02026907,0.74834422,1.53413087,1.73002538,0.22909398,1.56484844,0.43105292,0.30609769
-5.98199100,5.73091684,0.01977869,0.75669743,1.59281350,1.74400978,0.22925675,1.58717730,0.44573363,0.30658900
-5.97598799,5.78618696,0.01928506,0.76368184,1.65878688,1.75425494,0.22835402,1.60798335,0.46139915,0.30653260
-5.96998499,5.83373687,0.01878380,0.76945951,1.73215638,1.76110136,0.22638779,1.62701888,0.47790942,0.30590785
-5.96398199,5.87401153,0.01827172,0.77423491,1.81299822,1.76498164,0.22338070,1.64411856,0.49513015,0.30471458
-5.95797899,5.90768463,0.01774674,0.77824066,1.90131661,1.76639243,0.21937488,1.65918737,0.51292933,0.30296994
-5.95197599,5.93557562,0.01720782,0.78172175,1.99699944,1.76586360,0.21443019,1.67218599,0.53117332,0.30070473
-5.94597299,5.95856210,0.01665476,0.78491919,2.09977508,1.76392624,0.20862204,1.68311494,0.54972287,0.29795952
-5.93996998,5.97749300,0.01608808,0.78805397,2.20917346,1.76108138,0.20203889,1.69199815,0.56842935,0.29478076
-5.93396698,5.99310729,0.01550894,0.79131224,2.32449394,1.75777104,0.19477942,1.69886742,0.58713161,0.29121700
-5.92796398,6.00596342,0.01491891,0.79483242,2.44478282,1.75435349,0.18694969,1.70374831,0.60565379,0.28731551
-5.92196098,6.01638355,0.01431993,0.79869521,2.56882262,1.75108404,0.17866017,1.70664877,0.62380430,0.28311947
-5.91595798,6.02441613,0.01371415,0.80291688,2.69513503,1.74810255,0.17002289,1.70755088,0.64137628,0.27866572
-5.90995498,6.02981940,0.01310390,0.80744660,2.82199830,1.74542863,0.16114885,1.70640649,0.65814964,0.27398331
-5.90395198,6.03206696,0.01249159,0.81216766,2.94747971,1.74296471,0.15214556,1.70313695,0.67389472,0.26909282
-5.89794897,6.03037563,0.01187965,0.81690295,3.06948222,1.74050715,0.14311508,1.69763695,0.68837750,0.26400647
-5.89194597,6.02375416,0.01127054,0.82142432,3.18580427,1.73776465,0.13415230,1.68978236,0.70136632,0.25872897
-5.88594297,6.01107039,0.01066671,0.82546523,3.29421007,1.73438326,0.12534369,1.67944157,0.71263970,0.25325903
-5.87993997,5.99113296,0.01007057,0.82873633,3.39250782,1.72997637,0.11676651,1.66648962,0.72199505,0.24759137
-5.87393697,5.96278325,0.00948453,0.83094289,3.47863206,1.72415822,0.10848831,1.65082428,0.72925772,0.24171920
-5.86793397,5.92499178,0.00891093,0.83180317,3.55072616,1.71657889,0.10056688,1.63238299,0.73429002,0.23563681
-5.86193097,5.87695373,0.00835213,0.83106674,3.60722098,1.70695879,0.09305052,1.61115955,0.73699960,0.22934227
-5.85592796,5.81817735,0.00781042,0.82853168,3.64690535,1.69512061,0.08597848,1.58721946,0.73734671,0.22283998
-5.84992496,5.74855997,0.00728809,0.82405960,3.66898459,1.68101666,0.07938169,1.56071261,0.73534988,0.21614286
-5.84392196,5.66844643,0.00678735,0.81758772,3.67312378,1.66475006,0.07328355,1.53188249,0.73108943,0.20927407
-5.83791896,5.57866598,0.00631040,0.80913710,3.65947311,1.64658820,0.06770076,1.50107098,0.72470871,0.20226820
-5.83191596,5.48054455,0.00585934,0.79881668,3.62867349,1.62696746,0.06264423,1.46871811,0.71641260,0.19517169
-5.82591296,5.37589099,0.00543618,0.78682271,3.58184189,1.60648882,0.05811979,1.43535643,0.70646326,0.18804259
-5.81990995,5.26695694,0.00504284,0.77343367,3.52053651,1.58590400,0.05412887,1.40160001,0.69517322,0.18094956
-5.81390695,5.15637177,0.00468108,0.75900077,3.44670326,1.56609294,0.05066902,1.36812833,0.68289594,0.17397015
-5.80790395,5.04705534,0.00435248,0.74393467,3.36260587,1.54803321,0.04773427,1.33566564,0.67001422,0.16718854
-5.80190095,4.94211262,0.00405843,0.72868898,3.27074280,1.53276307,0.04531531,1.30495667,0.65692696,0.16069269
-5.79589795,4.84471523,0.00380010,0.71374145,3.17375486,1.52133972,0.04339954,1.27673989,0.64403481,0.15457125
-5.78989495,4.75797592,0.00357836,0.69957393,3.07432775,1.51479482,0.04197094,1.25171957,0.63172546,0.14891020
-5.78389195,4.68482228,0.00339382,0.68665199,2.97509413,1.51408964,0.04100995,1.23053812,0.62035926,0.14378952
-5.77788894,4.62787614,0.00324679,0.67540542,2.87853972,1.52007191,0.04049319,1.21375011,0.61025594,0.13928009
-5.77188594,4.58934506,0.00313721,0.66621057,2.78691761,1.53343670,0.04039325,1.20179957,0.60168301,0.13544083
-5.76588294,4.57093134,0.00306471,0.65937539,2.70217445,1.55469336,0.04067848,1.19500165,0.59484668,0.13231645
-5.75987994,4.57376340,0.00302859,0.65512795,2.62589179,1.58414008,0.04131287,1.19352984,0.58988553,0.12993576
-5.75387694,4.59835311,0.00302777,0.65360897,2.55924453,1.62184765,0.04225615,1.19740958,0.58686755,0.12831072
-5.74787394,4.64458105,0.00306087,0.65486867,2.50297802,1.66765305,0.04346390,1.20651855,0.58579051,0.12743623
-5.74187094,4.71171047,0.00312620,0.65886799,2.45740403,1.72116330,0.04488802,1.22059397,0.58658576,0.12729070
-5.73586793,4.79842887,0.00322178,0.66548397,2.42241507,1.78176930,0.04647724,1.23924639,0.58912531,0.12783737
-5.72986493,4.90291485,0.00334538,0.67451896,2.39751560,1.84866905,0.04817799,1.26197936,0.59323166,0.12902625
-5.72386193,5.02292617,0.00349456,0.68571292,2.38186780,1.92089866,0.04993530,1.28821403,0.59868993,0.13079664
-5.71785893,5.15590409,0.00366673,0.69875809,2.37434919,1.99736983,0.05169396,1.31731716,0.60526163,0.13307999
-5.71185593,5.29908791,0.00385914,0.71331512,2.37361851,2.07691143,0.05339973,1.34863117,0.61269912,0.13580307
-5.70585293,5.44963328,0.00406899,0.72902958,2.37818652,2.15831301,0.05500065,1.38150436,0.62076017,0.13889109
-5.69984992,5.60472749,0.00429342,0.74554807,2.38648789,2.24036793,0.05644833,1.41531964,0.62922147,0.14227081
-5.69384692,5.76169522,0.00452956,0.76253269,2.39695066,2.32191356,0.05769919,1.44952004,0.63789055,0.14587316
-5.68784392,5.91808913,0.00477457,0.77967339,2.40806008,2.40186663,0.05871557,1.48362954,0.64661524,0.14963560
-5.68184092,6.07176010,0.00502567,0.79669727,2.41841412,2.47925177,0.05946673,1.51726792,0.65529014,0.15350373
-5.67583792,6.22090387,0.00528011,0.81337453,2.42676840,2.55322188,0.05992949,1.55015872,0.66385964,0.15743232
-5.66983492,6.36408193,0.00553525,0.82952076,2.43206919,2.62306957,0.06008879,1.58212995,0.67231748,0.16138551
-5.66383192,6.50021626,0.00578850,0.84499565,2.43347374,2.68822933,0.05993784,1.61310736,0.68070256,0.16533638
-5.65782891,6.62855957,0.00603735,0.85969841,2.43035797,2.74827086,0.05947798,1.64310089,0.68909157,0.16926577
-5.65182591,6.74864370,0.00627936,0.87356026,2.42231237,2.80288456,0.05871834,1.67218506,0.69758869,0.17316054
-5.64582291,6.86021101,0.00651214,0.88653486,2.40912732,2.85186062,0.05767514,1.70047479,0.70631296,0.17701132
-5.63981991,6.96313407,0.00673340,0.89858741,2.39076994,2.89506363,0.05637080,1.72809805,0.71538439,0.18081001
-5.63381691,7.05733031,0.00694086,0.90968331,2.36735458,2.93240494,0.05483285,1.75516747,0.72490937,0.18454715
-5.62781391,7.14267815,0.00713235,0.91977743,2.33910946,2.96381519,0.05309272,1.78175275,0.73496655,0.18820938
-5.62181091,7.21894136,0.00730578,0.92880483,2.30634206,2.98921915,0.05118442,1.80785576,0.74559409,0.19177710
-5.61580790,7.28570773,0.00745921,0.93667366,2.26940555,3.00851510,0.04914325,1.83339042,0.75677909,0.19522273
-5.60980490,7.34234694,0.00759085,0.94326106,2.22866848,3.02156052,0.04700455,1.85816861,0.76845008,0.19850942
-5.60380190,7.38799146,0.00769913,0.94841224,2.18448945,3.02816521,0.04480254,1.88189347,0.78047300,0.20159055
-5.59779890,7.42154249,0.00778278,0.95194315,2.13719799,3.02809269,0.04256929,1.90416078,0.79265125,0.20441004
-5.59179590,7.44170120,0.00784089,0.95364641,2.08708245,3.02106987,0.04033396,1.92446857,0.80472975,0.20690339
-5.58579290,7.44702381,0.00787297,0.95330048,2.03438503,3.00680437,0.03812213,1.94223466,0.81640305,0.20899954
-5.57978989,7.43599729,0.00787905,0.95068126,1.97930359,2.98500838,0.03595546,1.95682129,0.82732708,0.21062336
-5.57378689,7.40713098,0.00785970,0.94557547,1.92199953,2.95542747,0.03385152,1.96756550,0.83713392,0.21169874
-5.56778389,7.35905826,0.00781613,0.93779502,1.86261038,2.91787213,0.03182379,1.97381358,0.84544894,0.21215201
-5.56178089,7.29064183,0.00775022,0.92719128,1.80126579,2.87224988,0.02988196,1.97495749,0.85190920,0.21191557
-5.55577789,7.20107545,0.00766451,0.91366839,1.73810525,2.81859564,0.02803224,1.97047128,0.85618232,0.21093152
-5.54977489,7.08997565,0.00756221,0.89719464,1.67329582,2.75709794,0.02627792,1.95994516,0.85798457,0.20915500
-5.54377189,6.95745706,0.00744717,0.87781122,1.60704848,2.68811916,0.02461988,1.94311533,0.85709722,0.20655715
-5.53776888,6.80418637,0.00732379,0.85563761,1.53963157,2.61220806,0.02305727,1.91988759,0.85338032,0.20312746
-5.53176588,6.63141103,0.00719697,0.83087333,1.47138039,2.53010350,0.02158807,1.89035343,0.84678301,0.19887539
-5.52576288,6.44096043,0.00707194,0.80379570,1.40270201,2.44272886,0.02020972,1.85479752,0.83734974,0.19383118
-5.51975988,6.23521894,0.00695415,0.77475385,1.33407518,2.35117710,0.01891959,1.81369604,0.82522226,0.18804575
-5.51375688,6.01707197,0.00684908,0.74415905,1.26604501,2.25668714,0.01771548,1.76770596,0.81063690,0.18158981
-5.50775388,5.78982749,0.00676208,0.71247206,1.19921290,2.16061264,0.01659592,1.71764571,0.79391767,0.17455205
-5.50175088,5.55711718,0.00669818,0.68018793,1.13422237,2.06438482,0.01556044,1.66446823,0.77546518,0.16703676
-5.49574787,5.32278222,0.00666188,0.64781922,1.07174141,1.96947111,0.01460970,1.60922792,0.75574220,0.15916069
-5.48974487,5.09074948,0.00665698,0.61587828,1.01244262,1.87733186,0.01374555,1.55304296,0.73525652,0.15104963
-5.48374187,4.86490435,0.00668647,0.58485965,0.95698205,1.78937723,0.01297099,1.49705516,0.71454194,0.14283464
-5.47773887,4.64896649,0.00675232,0.55522325,0.90597789,1.70692635,0.01229008,1.44238922,0.69413846,0.13464823
-5.47173587,4.44637409,0.00685543,0.52737926,0.85999016,1.63117066,0.01170772,1.39011333,0.67457248,0.12662064
-5.46573287,4.26018210,0.00699553,0.50167516,0.81950220,1.56314312,0.01122951,1.34120308,0.65633808,0.11887633
-5.45972986,4.09297840,0.00717122,0.47838569,0.78490494,1.50369438,0.01086151,1.29651016,0.63988012,0.11153091
-5.45372686,3.94682119,0.00737991,0.45770577,0.75648438,1.45347689,0.01060998,1.25673721,0.62557995,0.10468851
-5.44772386,3.82319934,0.00761799,0.43974686,0.73441287,1.41293711,0.01048122,1.22241975,0.61374422,0.09843980
-5.44172086,3.72301630,0.00788088,0.42453661,0.71874433,1.38231584,0.01048129,1.19391559,0.60459716,0.09286048
-5.43571786,3.64659698,0.00816321,0.41202163,0.70941338,1.36165593,0.01061588,1.17140205,0.59827652,0.08801057
-5.42971486,3.59371571,0.00845901,0.40207328,0.70623839,1.35081665,0.01089015,1.15488043,0.59483317,0.08393410
-5.42371186,3.56364260,0.00876196,0.39449596,0.70892796,1.34949328,0.01130856,1.14418731,0.59423401,0.08065950
-5.41770885,3.55520473,0.00906559,0.38903744,0.71709061,1.35724057,0.01187483,1.13901158,0.59636805,0.07820036
-5.41170585,3.56685823,0.00936352,0.38540074,0.73024697,1.37349856,0.01259183,1.13891614,0.60105492,0.07655659
-5.40570285,3.59676697,0.00964975,0.38325708,0.74784406,1.39761900,0.01346148,1.14336278,0.60805537,0.07571584
-5.39969985,3.64288355,0.00991880,0.38225912,0.76927098,1.42889111,0.01448474,1.15173896,0.61708313,0.07565510
-5.39369685,3.70302871,0.01016596,0.38205421,0.79387548,1.46656526,0.01566151,1.16338505,0.62781733,0.07634234
-5.38769385,3.77496553,0.01038742,0.38229706,0.82098078,1.50987358,0.01699059,1.17762065,0.63991503,0.07773813
-5.38169085,3.85646566,0.01058036,0.38266130,0.84990219,1.55804682,0.01846954,1.19376900,0.65302317,0.07979718
-5.37568784,3.94536543,0.01074303,0.38284990,0.87996302,1.61032702,0.02009460,1.21117833,0.66678950,0.08246958
-5.36968484,4.03961071,0.01087476,0.38260381,0.91050949,1.66597619,0.02186060,1.22923965,0.68087216,0.08570200
-5.36368184,4.13729007,0.01097586,0.38170895,0.94092426,1.72428117,0.02376073,1.24740046,0.69494765,0.08943849
-5.35767884,4.23665694,0.01104761,0.38000138,0.97063843,1.78455558,0.02578650,1.26517437,0.70871708,0.09362114
-5.35167584,4.33614191,0.01109206,0.37737062,0.99914196,1.84613970,0.02792748,1.28214658,0.72191065,0.09819049
-5.34567284,4.43435709,0.01111189,0.37376122,1.02599236,1.90839940,0.03017128,1.29797585,0.73429070,0.10308574
-5.33966983,4.53009498,0.01111024,0.36917284,1.05082176,1.97072547,0.03250338,1.31239339,0.74565325,0.10824490
-5.33366683,4.62232421,0.01109052,0.36365877,1.07334251,2.03253438,0.03490713,1.32519936,0.75582857,0.11360484
-5.32766383,4.71018493,0.01105623,0.35732346,1.09335129,2.09327172,0.03736377,1.33625794,0.76468098,0.11910139
-5.32166083,4.79298595,0.01101082,0.35031894,1.11073206,2.15241894,0.03985258,1.34549166,0.77210818,0.12466950
-5.31565783,4.87020576,0.01095752,0.34284059,1.12545779,2.20950413,0.04235110,1.35287571,0.77804047,0.13024363
-5.30965483,4.94149853,0.01089929,0.33512239,1.13759125,2.26411680,0.04483547,1.35843303,0.78244013,0.13575823
-5.30365183,5.00670580,0.01083875,0.32743180,1.14728480,2.31592652,0.04728096,1.36223047,0.78530098,0.14114858
-5.29764882,5.06587345,0.01077817,0.32006438,1.15477920,2.36470452,0.04966249,1.36437642,0.78664836,0.14635180
-5.29164582,5.11927283,0.01071952,0.31333827,1.16040135,2.41034729,0.05195538,1.36501993,0.78653942,0.15130810
-5.28564282,5.16742427,0.01066456,0.30758855,1.16456083,2.45290056,0.05413613,1.36435108,0.78506361,0.15596230
-5.27963982,5.21112023,0.01061488,0.30316140,1.16774496,2.49258182,0.05618320,1.36260232,0.78234314,0.16026535
-5.27363682,5.25144493,0.01057212,0.30040799,1.17051207,2.52979950,0.05807790,1.36005016,0.77853324,0.16417601
-5.26763382,5.28978735,0.01053803,0.29967816,1.17348288,2.56516673,0.05980519,1.35701649,0.77382171,0.16766236
-5.26163082,5.32784377,0.01051462,0.30131354,1.17732934,2.59950773,0.06135438,1.35386886,0.76842763,0.17070324
-5.25562781,5.36760707,0.01050428,0.30564023,1.18276104,2.63385504,0.06271975,1.35101893,0.76259879,0.17328929
-5.24962481,5.41133992,0.01050982,0.31296096,1.19050883,2.66943633,0.06390096,1.34891836,0.75660763,0.17542363
-5.24362181,5.46153006,0.01053454,0.32354656,1.20130567,2.70764989,0.06490324,1.34805172,0.75074549,0.17712210
-5.23761881,5.52082696,0.01058223,0.33762704,1.21586489,2.75002841,0.06573736,1.34892591,0.74531518,0.17841284
