energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,4.89221895,0.02019876,0.21449012,3.52837703,0.00000000,1.29087136,0.49724048
-5.99399700,4.73370938,0.01946828,0.20681036,3.41541350,0.00000000,1.26520778,0.47741477
-5.98799400,4.56917343,0.01877788,0.19924121,3.29770593,0.00000000,1.23569341,0.45762904
-5.98199100,4.40017589,0.01813101,0.19186887,3.17635113,0.00000000,1.20272985,0.43806613
-5.97598799,4.22833682,0.01752986,0.18477763,3.05249116,0.00000000,1.16678180,0.41890198
-5.96998499,4.05532639,0.01697545,0.17804961,2.92731011,0.00000000,1.12837006,0.40030618
-5.96398199,3.88285403,0.01646769,0.17176427,2.80202690,0.00000000,1.08806229,0.38244217
-5.95797899,3.71265208,0.01600545,0.16599777,2.67788385,0.00000000,1.04646175,0.36546711
-5.95197599,3.54645393,0.01558667,0.16082218,2.55613121,0.00000000,1.00419450,0.34953129
-5.94597299,3.38596783,0.01520840,0.15630443,2.43800833,0.00000000,0.96189544,0.33477712
-5.93996998,3.23284741,0.01486688,0.15250536,2.32472244,0.00000000,0.92019410,0.32133780
-5.93396698,3.08866073,0.01455766,0.14947855,2.21742606,0.00000000,0.87970038,0.30933561
-5.92796398,2.95485936,0.01427565,0.14726940,2.11719428,0.00000000,0.84099124,0.29888022
-5.92196098,2.83274926,0.01401526,0.14591421,2.02500321,0.00000000,0.80459861,0.29006682
-5.91595798,2.72346497,0.01377054,0.14543949,1.94171063,0.00000000,0.77099911,0.28297441
-5.90995498,2.62794826,0.01353532,0.14586152,1.86803970,0.00000000,0.74060582,0.27766429
-5.90395198,2.54693199,0.01330338,0.14718603,1.80456638,0.00000000,0.71376233,0.27417879
-5.89794897,2.48092971,0.01306866,0.14940828,1.75171077,0.00000000,0.69073893,0.27254031
-5.89194597,2.43023075,0.01282544,0.15251316,1.70973250,0.00000000,0.67173107,0.27275067
-5.88594297,2.39490043,0.01256854,0.15647558,1.67872976,0.00000000,0.65685965,0.27479073
-5.87993997,2.37478465,0.01229351,0.16126088,1.65864155,0.00000000,0.64617283,0.27862027
-5.87393697,2.36951796,0.01199680,0.16682536,1.64925242,0.00000000,0.63964913,0.28417801
-5.86793397,2.37853395,0.01167588,0.17311668,1.65019919,0.00000000,0.63720129,0.29138178
-5.86193097,2.40107719,0.01132941,0.18007437,1.66097879,0.00000000,0.63868066,0.30012876
-5.85592796,2.43621590,0.01095722,0.18763009,1.68095685,0.00000000,0.64388176,0.31029572
-5.84992496,2.48285473,0.01056043,0.19570796,1.70937654,0.00000000,0.65254684,0.32173943
-5.84392196,2.53974763,0.01014132,0.20422475,1.74536771,0.00000000,0.66437039,0.33429705
