energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.91235731,2.99189939,0.96430005,0.01214634,0.10583498,0.04841555,2.61851966,1.00461699,0.44565766
-5.99399700,3.86762078,2.96235362,0.95149127,0.01249973,0.10090356,0.04870440,2.59331699,1.01406278,0.43455063
-5.98799400,3.82190305,2.93145301,0.93769438,0.01287155,0.09608305,0.04900932,2.56737628,1.02294118,0.42347221
-5.98199100,3.77580792,2.89958092,0.92318196,0.01326164,0.09142180,0.04933025,2.54104441,1.03121817,0.41254078
-5.97598799,3.72979961,2.86700426,0.90822089,0.01366877,0.08696098,0.04966455,2.51457126,1.03883016,0.40185097
-5.96998499,3.68419497,2.83386796,0.89306567,0.01409061,0.08273414,0.05000706,2.48810536,1.04568306,0.39147258
-5.96398199,3.63916072,2.80019442,0.87795192,0.01452374,0.07876697,0.05035033,2.46169317,1.05165257,0.38145033
-5.95797899,3.59471563,2.76588804,0.86309012,0.01496375,0.07507732,0.05068488,2.43528198,1.05658615,0.37180450
-5.95197599,3.55073774,2.73074466,0.84866010,0.01540527,0.07167538,0.05099951,2.40872638,1.06030628,0.36253231
-5.94597299,3.50697606,2.69446555,0.83480614,0.01584217,0.06856408,0.05128171,2.38179798,1.06261533,0.35361011
-5.93996998,3.46306656,2.65667542,0.82163319,0.01626769,0.06573961,0.05151808,2.35419807,1.06330161,0.34499605
-5.93396698,3.41855156,2.61694364,0.80920419,0.01667462,0.06319206,0.05169472,2.32557273,1.06214657,0.33663343
-5.92796398,3.37290206,2.57480785,0.79753858,0.01705554,0.06090623,0.05179776,2.29552972,1.05893274,0.32845432
-5.92196098,3.32554189,2.52979881,0.78661230,0.01740296,0.05886243,0.05181371,2.26365666,1.05345216,0.32038342
-5.91595798,3.27587302,2.48146556,0.77635911,0.01770963,0.05703738,0.05172988,2.22953958,1.04551492,0.31234200
