energy_ev,total_up,Bi_p_up,Bi_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,4.56641978,0.53571026,0.00608886,2.32542352,1.73935037,0.01583780,3.02843017
-5.99399700,4.45747942,0.51842787,0.00590563,2.27673417,1.70193375,0.01546414,2.96408762
-5.98799400,4.34779041,0.50166513,0.00573195,2.22747257,1.66224370,0.01515057,2.89788608
-5.98199100,4.23829702,0.48544305,0.00556850,2.17786220,1.62102744,0.01489658,2.83065477
-5.97598799,4.13002145,0.46978266,0.00541565,2.12820271,1.57911132,0.01470078,2.76329939
-5.96998499,4.02405468,0.45471015,0.00527355,2.07886886,1.53738105,0.01456102,2.69678426
-5.96398199,3.92154337,0.44026142,0.00514215,2.03030601,1.49675972,0.01447461,2.63211189
-5.95797899,3.82367308,0.42648556,0.00502127,1.98302224,1.45818468,0.01443846,2.57030059
-5.95197599,3.73164822,0.41344719,0.00491068,1.93757742,1.42258371,0.01444933,2.51236102
-5.94597299,3.64666937,0.40122751,0.00481008,1.89456978,1.39085179,0.01450394,2.45927248
-5.93996998,3.56990872,0.38992378,0.00471925,1.85462040,1.36382877,0.01459924,2.41195972
-5.93396698,3.50248449,0.37964761,0.00463800,1.81835631,1.34227897,0.01473247,2.37127123
-5.92796398,3.44543534,0.37052180,0.00456625,1.78639304,1.32687315,0.01490136,2.33795953
-5.92196098,3.39969562,0.36267621,0.00450402,1.75931706,1.31817326,0.01510420,2.31266427
-5.91595798,3.36607242,0.35624263,0.00445147,1.73766897,1.31662036,0.01533996,2.29589838
-5.90995498,3.34522503,0.35134920,0.00440888,1.72192788,1.32252580,0.01560830,2.28803778
-5.90395198,3.33764756,0.34811440,0.00437666,1.71249754,1.33606566,0.01590961,2.28931462
-5.89794897,3.34365512,0.34664114,0.00435531,1.70969455,1.35727840,0.01624500,2.29981397
-5.89194597,3.36337373,0.34701113,0.00434541,1.71373894,1.38606541,0.01661623,2.31947398
-5.88594297,3.39673424,0.34927983,0.00434758,1.72474712,1.42219429,0.01702568,2.34808886
-5.87993997,3.44346994,0.35347224,0.00436248,1.74272746,1.46530435,0.01747622,2.38531456
-5.87393697,3.50311802,0.35957975,0.00439072,1.76757814,1.51491414,0.01797111,2.43067656
-5.86793397,3.57502438,0.36755812,0.00443287,1.79908747,1.57043056,0.01851386,2.48357928
-5.86193097,3.65835161,0.37732675,0.00448940,1.83693625,1.63115925,0.01910808,2.54331676
-5.85592796,3.75208992,0.38876929,0.00456065,1.88070217,1.69631607,0.01975734,2.60908424
-5.84992496,3.85507071,0.40173557,0.00464681,1.92986603,1.76503942,0.02046503,2.67999035
-5.84392196,3.96598262,0.41604469,0.00474786,1.98381963,1.83640327,0.02123421,2.75506966
-5.83791896,4.08338997,0.43148935,0.00486360,2.04187522,1.90943088,0.02206755,2.83329579
-5.83191596,4.20575335,0.44784107,0.00499358,2.10327644,1.98310921,0.02296717,2.91359477
-5.82591296,4.33145248,0.46485624,0.00513716,2.16721063,2.05640393,0.02393464,2.99485902
-5.81990995,4.45881110,0.48228275,0.00529345,2.23282241,2.12827517,0.02497089,3.07596193
-5.81390695,4.58612377,0.49986689,0.00546134,2.29922849,2.19769387,0.02607628,3.15577322
-5.80790395,4.71168436,0.51736034,0.00563955,2.36553341,2.26365866,0.02725055,3.23317503
-5.80190095,4.83381576,0.53452699,0.00582660,2.43084609,2.32521323,0.02849291,3.30707890
-5.79589795,4.95090038,0.55114925,0.00602090,2.49429687,2.38146371,0.02980205,3.37644332
-5.78989495,5.06141059,0.56703365,0.00622073,2.55505455,2.43159590,0.03117623,3.44029159
-5.78389195,5.16393829,0.58201558,0.00642434,2.61234303,2.47489170,0.03261330,3.49772968
-5.77788894,5.25722260,0.59596278,0.00662992,2.66545695,2.51074436,0.03411074,3.54796333
-5.77188594,5.34017459,0.60877766,0.00683571,2.71377579,2.53867185,0.03566562,3.59031393
-5.76588294,5.41189788,0.62039820,0.00704001,2.75677577,2.55832765,0.03727456,3.62423230
-5.75987994,5.47170418,0.63079740,0.00724118,2.79403901,2.56950867,0.03893369,3.64930974
-5.75387694,5.51912284,0.63998133,0.00743773,2.82525947,2.57215938,0.04063843,3.66528568
-5.74787394,5.55390380,0.64798593,0.00762829,2.85024537,2.56637215,0.04238342,3.67205135
-5.74187094,5.57601354,0.65487247,0.00781165,2.86891771,2.55238329,0.04416224,3.66964917
-5.73586793,5.58562423,0.66072222,0.00798672,2.88130519,2.53056500,0.04596725,3.65826764
-5.72986493,5.58309628,0.66563025,0.00815259,2.88753546,2.50141323,0.04778939,3.63823186
-5.72386193,5.56895527,0.66969890,0.00830845,2.88782332,2.46553198,0.04961796,3.60999010
-5.71785893,5.54386441,0.67303115,0.00845363,2.88245644,2.42361465,0.05144053,3.57409694
-5.71185593,5.50859387,0.67572425,0.00858752,2.87177939,2.37642312,0.05324284,3.53119385
-5.70585293,5.46398885,0.67786397,0.00870960,2.85617694,2.32476566,0.05500884,3.48198814
-5.69984992,5.41093804,0.67951984,0.00881939,2.83605764,2.26947447,0.05672080,3.42723151
-5.69384692,5.35034422,0.68074151,0.00891643,2.81183858,2.21138400,0.05835955,3.36769912
-5.68784392,5.28309875,0.68155668,0.00900028,2.78393237,2.15131088,0.05990482,3.30417034
-5.68184092,5.21006115,0.68197056,0.00907052,2.75273699,2.09003642,0.06133569,3.23741209
-5.67583792,5.13204493,0.68196701,0.00912676,2.71862924,2.02829220,0.06263113,3.16816546
-5.66983492,5.04981004,0.68151130,0.00916864,2.68196196,1.96674938,0.06377065,3.09713619
-5.66383192,4.96406230,0.68055445,0.00919585,2.64306523,1.90601183,0.06473491,3.02498911
-5.65782891,4.87545912,0.67903870,0.00920820,2.60225118,1.84661305,0.06550648,2.95234645
-5.65182591,4.78462092,0.67690410,0.00920562,2.55982211,1.78901682,0.06607043,2.87978985
-5.64582291,4.69214674,0.67409562,0.00918821,2.51608090,1.73362081,0.06641498,2.80786524
-5.63981991,4.59863271,0.67057037,0.00915631,2.47134305,1.68076290,0.06653202,2.73708992
-5.63381691,4.50469142,0.66630463,0.00911052,2.42594909,1.63072913,0.06641747,2.66796093
-5.62781391,4.41097038,0.66130001,0.00905170,2.38027630,1.58376262,0.06607157,2.60096369
-5.62181091,4.31816791,0.65558851,0.00898105,2.33474859,1.54007269,0.06549898,2.53657986
-5.61580790,4.22704465,0.64923603,0.00890011,2.28984364,1.49984333,0.06470867,2.47529377
-5.60980490,4.13842954,0.64234396,0.00881070,2.24609622,1.46324034,0.06371372,2.41759628
-5.60380190,4.05321924,0.63504885,0.00871497,2.20409734,1.43041671,0.06253092,2.36398593
-5.59779890,3.97237059,0.62751997,0.00861534,2.16448863,1.40151576,0.06118024,2.31496674
-5.59179590,3.89688603,0.61995477,0.00851443,2.12795215,1.37667205,0.05968425,2.27104266
-5.58579290,3.82779251,0.61257264,0.00841500,2.09519566,1.35600984,0.05806737,2.23270890
-5.57978989,3.76611482,0.60560692,0.00831991,2.06693399,1.33963951,0.05635520,2.20044039
-5.57378689,3.71284456,0.59929593,0.00823197,2.04386739,1.32765216,0.05457378,2.17467802
-5.56778389,3.66890646,0.59387322,0.00815394,2.02665776,1.32011293,0.05274892,2.15581338
-5.56178089,3.63512381,0.58955760,0.00808835,2.01590402,1.31705355,0.05090559,2.14417283
-5.55577789,3.61218476,0.58654365,0.00803748,2.01211777,1.31846478,0.04906743,2.14000180
-5.54977489,3.60061158,0.58499297,0.00800328,2.01570073,1.32428929,0.04725639,2.14345021
-5.54377189,3.60073436,0.58502685,0.00798728,2.02692485,1.33441560,0.04549242,2.15455992
-5.53776888,3.61267076,0.58672067,0.00799057,2.04591650,1.34867364,0.04379339,2.17325489
-5.53176588,3.63631293,0.59010033,0.00801378,2.07264537,1.36683220,0.04217509,2.19933472
-5.52576288,3.67132240,0.59514083,0.00805704,2.10691888,1.38859870,0.04065135,2.23247205
-5.51975988,3.71713327,0.60176721,0.00812002,2.14838251,1.41362138,0.03923427,2.27221410
-5.51375688,3.77296380,0.60985768,0.00820194,2.19652599,1.44149393,0.03793447,2.31798844
-5.50775388,3.83783572,0.61924867,0.00830160,2.25069540,1.47176244,0.03676148,2.36911288
-5.50175088,3.91060073,0.62974171,0.00841746,2.31011050,1.50393447,0.03572407,2.42480925
-5.49574787,3.98997282,0.64111161,0.00854771,2.37388673,1.53748983,0.03483061,2.48422053
-5.48974487,4.07456510,0.65311553,0.00869027,2.44106093,1.57189263,0.03408935,2.54643089
-5.48374187,4.16292963,0.66550255,0.00884294,2.51061965,1.60660417,0.03350875,2.61048764
-5.47773887,4.25359853,0.67802320,0.00900345,2.58152899,1.64109601,0.03309762,2.67542469
-5.47173587,4.34512475,0.69043847,0.00916946,2.65276456,1.67486277,0.03286524,2.74028618
-5.46573287,4.43612085,0.70252805,0.00933872,2.72334062,1.70743409,0.03282137,2.80414992
-5.45972986,4.52529444,0.71409733,0.00950904,2.79233697,1.73838527,0.03297615,2.86614935
-5.45372686,4.61147900,0.72498292,0.00967836,2.85892289,1.76734623,0.03333995,2.92549358
-5.44772386,4.69365901,0.73505668,0.00984477,2.92237703,1.79400842,0.03392305,2.98148465
-5.44172086,4.77098894,0.74422796,0.01000657,2.98210284,1.81812958,0.03473529,3.03353158
-5.43571786,4.84280541,0.75244428,0.01016222,3.03763901,1.83953614,0.03578566,3.08116066
-5.42971486,4.90863271,0.75969039,0.01031040,3.08866487,1.85812342,0.03708178,3.12402204
-5.42371186,4.96818177,0.76598594,0.01045001,3.13500078,1.87385370,0.03862938,3.16189225
-5.41770885,5.02134310,0.77138199,0.01058012,3.17660382,1.88675243,0.04043176,3.19467311
-5.41170585,5.06817451,0.77595650,0.01070002,3.21355940,1.89690289,0.04248920,3.22238703
-5.40570285,5.10888443,0.77980921,0.01080919,3.24606934,1.90443977,0.04479849,3.24516944
-5.39969985,5.14381203,0.78305600,0.01090728,3.27443735,1.90954199,0.04735239,3.26325871
-5.39369685,5.17340522,0.78582321,0.01099414,3.29905276,1.91242521,0.05013925,3.27698432
-5.38769385,5.19819773,0.78824189,0.01106977,3.32037339,1.91333458,0.05314266,3.28675395
-5.38169085,5.21878645,0.79044251,0.01113434,3.33890852,1.91253785,0.05634126,3.29304019
-5.37568784,5.23581013,0.79255003,0.01118817,3.35520275,1.91031941,0.05970866,3.29636756
-5.36968484,5.24993020,0.79467967,0.01123171,3.36982147,1.90697530,0.06321349,3.29730033
-5.36368184,5.26181476,0.79693352,0.01126556,3.38333851,1.90280938,0.06681969,3.29643173
-5.35767884,5.27212598,0.79939789,0.01129041,3.39632641,1.89813068,0.07048690,3.29437480
-5.35167584,5.28151141,0.80214168,0.01130708,3.40934933,1.89325189,0.07417107,3.29175506
-5.34567284,5.29059914,0.80521569,0.01131648,3.42295886,1.88848873,0.07782524,3.28920498
-5.33966983,5.29999666,0.80865279,0.01131961,3.43769227,1.88416008,0.08140053,3.28736011
-5.33366683,5.31029290,0.81246898,0.01131751,3.45407293,1.88058850,0.08484719,3.28685658
-5.32766383,5.32206288,0.81666528,0.01131133,3.47261238,1.87810084,0.08811586,3.28832954
-5.32166083,5.33587401,0.82123016,0.01130225,3.49381334,1.87702853,0.09115888,3.29241192
-5.31565783,5.35229309,0.82614253,0.01129151,3.51817291,1.87770729,0.09393163,3.29973312
-5.30965483,5.37189305,0.83137495,0.01128041,3.54618523,1.88047599,0.09639389,3.31091692
-5.30365183,5.39525817,0.83689699,0.01127027,3.57834291,1.88567429,0.09851109,3.32657821
-5.29764882,5.42298701,0.84267833,0.01126248,3.61513645,1.89363905,0.10025553,3.34731793
-5.29164582,5.45569188,0.84869158,0.01125846,3.65705124,1.90469935,0.10160732,3.37371617
-5.28564282,5.49399450,0.85491444,0.01125968,3.70456166,1.91917015,0.10255515,3.40632291
-5.27963982,5.53851707,0.86133116,0.01126763,3.75812215,1.93734479,0.10309682,3.44564681
-5.27363682,5.58986878,0.86793301,0.01128380,3.81815531,1.95948644,0.10323936,3.49214186
-5.26763382,5.64862791,0.87471787,0.01130967,3.88503717,1.98581882,0.10299897,3.54619252
-5.26163082,5.71531985,0.88168866,0.01134668,3.95908014,2.01651659,0.10240046,3.60809764
-5.25562781,5.79039184,0.88885100,0.01139620,4.04051433,2.05169581,0.10147653,3.67805400
-5.24962481,5.87418559,0.89620987,0.01145946,4.12946794,2.09140477,0.10026661,3.75614006
-5.24362181,5.96690883,0.90376579,0.01153750,4.22594762,2.13561580,0.09881554,3.84230068
-5.23761881,6.06860732,0.91151047,0.01163115,4.32981989,2.18421833,0.09717198,3.93633377
-5.23161581,6.17913882,0.91942255,0.01174093,4.44079446,2.23701356,0.09538669,4.03787944
-5.22561281,6.29815041,0.92746342,0.01186703,4.55841049,2.29371115,0.09351082,4.14641235
-5.21960980,6.42506078,0.93557383,0.01200925,4.68202657,2.35392802,0.09159410,4.26123794
-5.21360680,6.55904848,0.94367121,0.01216695,4.81081526,2.41718952,0.08968317,4.38149286
-5.20760380,6.69904750,0.95164833,0.01233904,4.94376266,2.48293296,0.08782013,4.50614988
-5.20160080,6.84375061,0.95937332,0.01252397,5.07967348,2.55051360,0.08604125,4.63402744
-5.19559780,6.99162128,0.96669120,0.01271973,5.21718175,2.61921284,0.08437596,4.76380370
-5.18959480,7.14091391,0.97342709,0.01292389,5.35476728,2.68824865,0.08284623,4.89403505
-5.18359180,7.28970239,0.97939090,0.01313361,5.49077754,2.75678795,0.08146624,5.02317846
-5.17758879,7.43591630,0.98438346,0.01334576,5.62345474,2.82396064,0.08024239,5.14961760
-5.17158579,7.57738376,0.98820377,0.01355696,5.75096744,2.88887502,0.07917368,5.27169170
-5.16558279,7.71187982,0.99065704,0.01376368,5.87144613,2.95063439,0.07825231,5.38772695
-5.15957979,7.83717890,0.99156322,0.01396239,5.98302187,3.00835428,0.07746462,5.49606940
-5.15357679,7.95110960,0.99076543,0.01414958,6.08386707,3.06118008,0.07679213,5.59511885
-5.14757379,8.05161013,0.98813799,0.01432198,6.17223747,3.10830471,0.07621275,5.68336267
-5.14157079,8.13678257,0.98359341,0.01447658,6.24651408,3.14898580,0.07570207,5.75940911
-5.13556778,8.20494408,0.97708816,0.01461075,6.30524409,3.18256218,0.07523453,5.82201887
