energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.35035059,-3.13394779,0.05811360,-0.07650578,0.49603098,-0.45413415,0.20759861,-0.19381240,0.93784278,-0.78475723,0.92047706,-0.54885539,0.02047573,-0.02946292,1.16871902,-1.29939371
-5.99399700,3.23891850,-3.09339956,0.05546742,-0.07658738,0.48755079,-0.44191308,0.19927338,-0.19744809,0.91892549,-0.77441939,0.88551273,-0.54378234,0.01918053,-0.02720860,1.12000149,-1.29199094
-5.98799400,3.13599858,-3.04774756,0.05289046,-0.07650899,0.48086560,-0.43078451,0.19126166,-0.20044763,0.90220812,-0.76322021,0.85312912,-0.53906939,0.01799641,-0.02505434,1.07331307,-1.27966566
-5.98199100,3.04394801,-2.99809401,0.05043674,-0.07627784,0.47624487,-0.42097305,0.18374534,-0.20280286,0.88828818,-0.75143304,0.82398019,-0.53488638,0.01693495,-0.02303117,1.02960460,-1.26278836
-5.97598799,2.96474301,-2.94564171,0.04815572,-0.07590281,0.47389570,-0.41267302,0.17688668,-0.20452294,0.87765265,-0.73934525,0.79862299,-0.53139215,0.01600537,-0.02116723,0.98970274,-1.24184027
-5.96998499,2.89992021,-2.89167920,0.04609092,-0.07539445,0.47395329,-0.40604897,0.17082370,-0.20563424,0.87065961,-0.72725671,0.77750091,-0.52873500,0.01521467,-0.01948746,0.95429019,-1.21740298
-5.96398199,2.85053595,-2.83756531,0.04427864,-0.07476505,0.47647412,-0.40123774,0.16566660,-0.20617970,0.86752534,-0.71547825,0.76093111,-0.52705389,0.01456788,-0.01801343,0.92389225,-1.19014545
-5.95797899,2.81714533,-2.78471258,0.04274702,-0.07402863,0.48143208,-0.39835169,0.16149540,-0.20621772,0.86831756,-0.70433032,0.74909684,-0.52648015,0.01406828,-0.01676326,0.89887043,-1.16080843
-5.95197599,2.79980216,-2.73456902,0.04151549,-0.07320088,0.48871794,-0.39748247,0.15835887,-0.20582062,0.87295539,-0.69414108,0.74204487,-0.52713912,0.01371783,-0.01575159,0.87942326,-1.13018699
-5.94597299,2.79807994,-2.68859749,0.04059447,-0.07229907,0.49814227,-0.39870498,0.15627473,-0.20507264,0.88121584,-0.68524417,0.73968834,-0.52915141,0.01351758,-0.01498967,0.86559402,-1.09911121
-5.93996998,2.81111301,-2.64825245,0.03998548,-0.07134179,0.50944180,-0.40208091,0.15523119,-0.20406742,0.89274688,-0.67797548,0.74181498,-0.53263334,0.01346812,-0.01448541,0.85728506,-1.06842594
-5.93396698,2.83765635,-2.61495380,0.03968154,-0.07034869,0.52228910,-0.40766151,0.15518961,-0.20290520,0.90708635,-0.67266904,0.74810047,-0.53769638,0.01357014,-0.01424349,0.85427797,-1.03896982
-5.92796398,2.87616143,-2.59005778,0.03966791,-0.06933999,0.53630521,-0.41548912,0.15608833,-0.20168960,0.92368607,-0.66965186,0.75812630,-0.54444512,0.01382490,-0.01426540,0.85625855,-1.01155423
-5.92196098,2.92486486,-2.57482526,0.03992310,-0.06833601,0.55107475,-0.42559735,0.15784726,-0.20052427,0.94193999,-0.66923757,0.77140175,-0.55297391,0.01423476,-0.01454955,0.86284538,-0.98694287
-5.91595798,2.98188604,-2.57038806,0.04042011,-0.06735651,0.56616297,-0.43800970,0.16037327,-0.19950930,0.96121517,-0.67171917,0.78738878,-0.56336212,0.01480367,-0.01509125,0.87362069,-0.96583226
-5.90995498,3.04532943,-2.57771420,0.04112781,-0.06642003,0.58113398,-0.45273667,0.16356591,-0.19873770,0.98088416,-0.67736085,0.80552917,-0.57566814,0.01553757,-0.01588272,0.88816198,-0.94883396
-5.90395198,3.11338701,-2.59757338,0.04201249,-0.06554313,0.59556947,-0.46977162,0.16732338,-0.19829196,1.00035749,-0.68638930,0.82527249,-0.58992256,0.01644471,-0.01691310,0.90607300,-0.93645883
-5.89794897,3.18443620,-2.63050406,0.04303946,-0.06473972,0.60908706,-0.48908552,0.17154837,-0.19824092,1.01911448,-0.69898487,0.84610392,-0.60612086,0.01753589,-0.01816841,0.92701248,-0.92910397
-5.89194597,3.25712882,-2.67678401,0.04417454,-0.06402033,0.62135741,-0.51062115,0.17615357,-0.19863695,1.03673138,-0.71527292,0.86757061,-0.62421615,0.01882454,-0.01963158,0.95071939,-0.92704269
-5.88594297,3.33046701,-2.73640582,0.04538563,-0.06339153,0.63211955,-0.53428715,0.18106657,-0.19951383,1.05290525,-0.73531592,0.88930553,-0.64411265,0.02032664,-0.02128251,0.97703343,-0.93041791
-5.87993997,3.40386262,-2.80905944,0.04664399,-0.06285550,0.64119349,-0.55995246,0.18623387,-0.20088513,1.06747277,-0.75910683,0.91104755,-0.66566034,0.02206052,-0.02309816,1.00590979,-0.93923927
-5.87393697,3.47717713,-2.89412310,0.04792540,-0.06240974,0.64848971,-0.58744170,0.19162396,-0.20274352,1.08042305,-0.78656417,0.93265700,-0.68865147,0.02404643,-0.02505278,1.03742740,-0.95338426
-5.86793397,3.55074025,-2.99066418,0.04921111,-0.06204701,0.65401500,-0.61653203,0.19722915,-0.20506082,1.09190405,-0.81752933,0.95412581,-0.71281942,0.02630601,-0.02711826,1.07179031,-0.97260342
-5.86193097,3.62534626,-3.09745098,0.05048841,-0.06175546,0.65787445,-0.64695177,0.20306610,-0.20778904,1.10222227,-0.85176640,0.97558177,-0.73784023,0.02886154,-0.02926454,1.10932208,-0.99652960
-5.85592796,3.70222806,-3.21297604,0.05175097,-0.06151913,0.66026941,-0.67838130,0.20917511,-0.21086231,1.11183608,-0.88896501,0.99728653,-0.76333715,0.03173506,-0.03146022,1.15045333,-1.02469125
