energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,3.53461936,0.08835087,0.00309677,0.00365574,2.46149181,1.88071357,1.56088170
-5.99399700,3.49503768,0.08846416,0.00299774,0.00360941,2.44263575,1.87505940,1.54166101
-5.98799400,3.44164567,0.08835271,0.00289206,0.00354946,2.41308207,1.86154536,1.51584658
-5.98199100,3.37498538,0.08804463,0.00278080,0.00347598,2.37300479,1.84040780,1.48362185
-5.97598799,3.29582935,0.08757109,0.00266510,0.00338942,2.32276897,1.81201874,1.44528288
-5.96998499,3.20516451,0.08696481,0.00254614,0.00329062,2.26292639,1.77687539,1.40123443
-5.96398199,3.10416862,0.08625850,0.00242513,0.00318079,2.19420478,1.73558528,1.35198253
-5.95797899,2.99418015,0.08548331,0.00230327,0.00306150,2.11749100,1.68884745,1.29812381
-5.95197599,2.87666297,0.08466732,0.00218170,0.00293469,2.03380881,1.63743078,1.24033182
-5.94597299,2.75316734,0.08383425,0.00206152,0.00280257,1.94429221,1.58215034,1.17934108
-5.93996998,2.62528909,0.08300237,0.00194373,0.00266763,1.85015563,1.52384307,1.11592938
-5.93396698,2.49462877,0.08218370,0.00182923,0.00253257,1.75266221,1.46334379,1.05089911
-5.92796398,2.36275250,0.08138362,0.00171877,0.00240026,1.65309163,1.40146291,0.98505840
-5.92196098,2.23115634,0.08060081,0.00161300,0.00227369,1.55270891,1.33896655,0.91920280
-5.91595798,2.10123544,0.07982753,0.00151240,0.00215588,1.45273535,1.27656013,0.85409821
-5.90995498,1.97425901,0.07905034,0.00141734,0.00204988,1.35432270,1.21487586,0.79046557
-5.90395198,1.85135190,0.07825110,0.00132803,0.00195866,1.25853154,1.15446461,0.72896793
-5.89794897,1.73348294,0.07740821,0.00124459,0.00188511,1.16631420,1.09579202,0.67020009
-5.89194597,1.62146003,0.07649808,0.00116700,0.00183197,1.07850271,1.03923875,0.61468101
-5.88594297,1.51593126,0.07549664,0.00109517,0.00180176,0.99580168,0.98510449,0.56284905
-5.87993997,1.41739150,0.07438099,0.00102891,0.00179677,0.91878577,0.93361487,0.51505984
-5.87393697,1.32619325,0.07313083,0.00096801,0.00181898,0.84790142,0.88493074,0.47158662
-5.86793397,1.24256055,0.07172981,0.00091218,0.00187005,0.78347203,0.83915871,0.43262265
-5.86193097,1.16660479,0.07016666,0.00086112,0.00195124,0.72570587,0.79636236,0.39828527
-5.85592796,1.09834119,0.06843603,0.00081454,0.00206338,0.67470601,0.75657306,0.36862129
