energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,2.08964115,0.01166824,0.18057743,0.16945522,0.69499571,1.09067287,0.02138458,0.72269180
-5.99399700,2.05240211,0.01204824,0.18150058,0.16209586,0.68321204,1.05761971,0.02245898,0.71162682
-5.98799400,2.02834224,0.01267602,0.18291098,0.15525140,0.67400716,1.03116682,0.02370851,0.70658667
-5.98199100,2.01756586,0.01355020,0.18486778,0.14895893,0.66758198,1.01125678,0.02514266,0.70758116
-5.97598799,2.02004688,0.01466672,0.18742197,0.14325118,0.66410787,0.99777662,0.02676807,0.71456180
-5.96998499,2.03561341,0.01601852,0.19061350,0.13815507,0.66371664,0.99055636,0.02858795,0.72741424
-5.96398199,2.06393242,0.01759542,0.19446860,0.13369017,0.66649059,0.98936738,0.03060148,0.74595065
-5.95797899,2.10449586,0.01938380,0.19899745,0.12986727,0.67245339,0.99392092,0.03280327,0.76990266
-5.95197599,2.15660928,0.02136651,0.20419230,0.12668710,0.68156220,1.00386699,0.03518303,0.79891548
-5.94597299,2.21938414,0.02352271,0.21002602,0.12413931,0.69370154,1.01879401,0.03772517,0.83254382
-5.93996998,2.29173468,0.02582783,0.21645132,0.12220190,0.70867939,1.03822943,0.04040877,0.87025019
-5.93396698,2.37238051,0.02825369,0.22340056,0.12084095,0.72622586,1.06164161,0.04320759,0.91140608
-5.92796398,2.45985528,0.03076867,0.23078628,0.12001096,0.74599464,1.08844312,0.04609023,0.95529640
-5.92196098,2.55252208,0.03333806,0.23850243,0.11965559,0.76756742,1.11799565,0.04902065,1.00112733
-5.91595798,2.64859556,0.03592456,0.24642626,0.11970881,0.79046118,1.14961668,0.05195866,1.04803776
-5.90995498,2.74617061,0.03848893,0.25442086,0.12009662,0.81413825,1.18258775,0.05486080,1.09511410
-5.90395198,2.84325698,0.04099069,0.26233829,0.12073892,0.83801884,1.21616443,0.05768123,1.14140805
-5.89794897,2.93781911,0.04338900,0.27002319,0.12155180,0.86149563,1.24958776,0.06037279,1.18595713
-5.89194597,3.02781973,0.04564364,0.27731671,0.12244986,0.88394983,1.28209682,0.06288828,1.22780691
-5.88594297,3.11126612,0.04771594,0.28406079,0.12334868,0.90476818,1.31294229,0.06518161,1.26603443
-5.87993997,3.18625707,0.04956977,0.29010231,0.12416715,0.92336019,1.34140044,0.06720913,1.29977180
-5.87393697,3.25102896,0.05117253,0.29529741,0.12482965,0.93917489,1.36678713,0.06893083,1.32822903
-5.86793397,3.30399922,0.05249599,0.29951535,0.12526803,0.95171649,1.38847143,0.07031153,1.35071520
-5.86193097,3.34380521,0.05351705,0.30264212,0.12542320,0.96055818,1.40588827,0.07132190,1.36665695
-5.85592796,3.36933728,0.05421839,0.30458346,0.12524630,0.96535372,1.41854969,0.07193932,1.37561366
-5.84992496,3.37976444,0.05458887,0.30526731,0.12469957,0.96584619,1.42605432,0.07214856,1.37728855
-5.84392196,3.37455175,0.05462377,0.30464546,0.12375667,0.96187366,1.42809469,0.07194220,1.37153523
-5.83791896,3.35346883,0.05432487,0.30269449,0.12240260,0.95337170,1.42446216,0.07132081,1.35835957
-5.83191596,3.31658920,0.05370025,0.29941593,0.12063332,0.94037252,1.41504924,0.07029293,1.33791666
-5.82591296,3.26428066,0.05276396,0.29483558,0.11845487,0.92300109,1.39984935,0.06887469,1.31050320
-5.81990995,3.19718741,0.05153545,0.28900226,0.11588240,0.90146839,1.37895407,0.06708931,1.27654566
-5.81390695,3.11620459,0.05003892,0.28198575,0.11293885,0.87606218,1.35254800,0.06496635,1.23658475
-5.80790395,3.02244677,0.04830250,0.27387435,0.10965358,0.84713586,1.32090147,0.06254076,1.19125695
-5.80190095,2.91721157,0.04635740,0.26477195,0.10606091,0.81509589,1.28436161,0.05985183,1.14127398
-5.79589795,2.80194014,0.04423690,0.25479486,0.10219874,0.78038835,1.24334182,0.05694206,1.08740101
-5.78989495,2.67817606,0.04197552,0.24406851,0.09810718,0.74348525,1.19831049,0.05385595,1.03043447
-5.78389195,2.54752418,0.03960802,0.23272409,0.09382732,0.70487117,1.14977890,0.05063881,0.97118049
-5.77788894,2.41161090,0.03716861,0.22089538,0.08940020,0.66503054,1.09828915,0.04733567,0.91043452
-5.77188594,2.27204711,0.03469016,0.20871570,0.08486595,0.62443620,1.04440210,0.04399014,0.84896292
