energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.19606574,0.64609455,0.00000000,0.72365596,0.00000000,0.75772049,0.67085528
-5.99399700,2.07028944,0.61716107,0.00000000,0.67314623,0.00000000,0.72964124,0.63841437
-5.98799400,1.94661062,0.58806716,0.00000000,0.62437860,0.00000000,0.70123314,0.60540954
-5.98199100,1.82596936,0.55907621,0.00000000,0.57766331,0.00000000,0.67273258,0.57220082
-5.97598799,1.70920951,0.53043722,0.00000000,0.53325827,0.00000000,0.64436227,0.53914720
-5.96998499,1.59707792,0.50238262,0.00000000,0.49137190,0.00000000,0.61633058,0.50660099
-5.96398199,1.49022605,0.47512680,0.00000000,0.45216709,0.00000000,0.58883162,0.47490247
-5.95797899,1.38921342,0.44886530,0.00000000,0.41576544,0.00000000,0.56204591,0.44437500
-5.95197599,1.29451217,0.42377453,0.00000000,0.38225182,0.00000000,0.53614159,0.41532042
-5.94597299,1.20651229,0.40001179,0.00000000,0.35167884,0.00000000,0.51127576,0.38801507
-5.93996998,1.12552706,0.37771573,0.00000000,0.32407106,0.00000000,0.48759599,0.36270614
-5.93396698,1.05179829,0.35700678,0.00000000,0.29942879,0.00000000,0.46524182,0.33960861
-5.92796398,0.98550123,0.33798773,0.00000000,0.27773148,0.00000000,0.44434601,0.31890271
-5.92196098,0.92674896,0.32074427,0.00000000,0.25894057,0.00000000,0.42503558,0.30073189
-5.91595798,0.87559623,0.30534545,0.00000000,0.24300197,0.00000000,0.40743246,0.28520137
-5.90995498,0.83204289,0.29184396,0.00000000,0.22984812,0.00000000,0.39165387,0.27237735
-5.90395198,0.79603687,0.28027641,0.00000000,0.21939978,0.00000000,0.37781221,0.26228672
-5.89794897,0.76747716,0.27066342,0.00000000,0.21156769,0.00000000,0.36601466,0.25491753
-5.89194597,0.74621664,0.26300971,0.00000000,0.20625414,0.00000000,0.35636255,0.25022000
