energy_ev,total_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.66269510,1.64917765,1.31370063,0.00694455,1.83487751,0.06532673,0.00017471
-5.99399700,2.67575682,1.66536540,1.31782922,0.00716010,1.83857704,0.06574653,0.00017864
-5.98799400,2.68911196,1.68226129,1.32172312,0.00735583,1.84229390,0.06619987,0.00018249
-5.98199100,2.70272034,1.69967766,1.32560513,0.00752720,1.84612884,0.06665796,0.00018621
-5.97598799,2.71639539,1.71732391,1.32962902,0.00766994,1.85008591,0.06708884,0.00018971
-5.96998499,2.72981239,1.73481971,1.33387271,0.00778017,1.85407440,0.06745860,0.00019293
-5.96398199,2.74252292,1.75171235,1.33833469,0.00785459,1.85791498,0.06773282,0.00019578
-5.95797899,2.75397481,1.76749731,1.34293388,0.00789060,1.86134956,0.06787797,0.00019820
-5.95197599,2.76353632,1.78164093,1.34751266,0.00788642,1.86405433,0.06786282,0.00020010
-5.94597299,2.77052346,1.79360399,1.35184315,0.00784116,1.86565517,0.06765974,0.00020142
-5.93996998,2.77422915,1.80286512,1.35563626,0.00775489,1.86574477,0.06724581,0.00020211
-5.93396698,2.77395289,1.80894287,1.35855316,0.00762859,1.86390064,0.06660377,0.00020212
-5.92796398,2.76902977,1.81141555,1.36021876,0.00746417,1.85970324,0.06572270,0.00020140
-5.92196098,2.75885764,1.80993792,1.36023664,0.00726438,1.85275359,0.06459841,0.00019995
-5.91595798,2.74292155,1.80425435,1.35820482,0.00703272,1.84268971,0.06323354,0.00019773
-5.90995498,2.72081468,1.79420797,1.35373197,0.00677328,1.82920142,0.06163747,0.00019477
-5.90395198,2.69225516,1.77974565,1.34645320,0.00649064,1.81204301,0.05982584,0.00019108
-5.89794897,2.65709846,1.76091905,1.33604520,0.00618968,1.79104361,0.05781993,0.00018669
-5.89194597,2.61534515,1.73788185,1.32223986,0.00587541,1.76611494,0.05564587,0.00018165
-5.88594297,2.56714398,1.71088376,1.30483624,0.00555283,1.73725647,0.05333362,0.00017602
-5.87993997,2.51279045,1.68026163,1.28371014,0.00522677,1.70455775,0.05091593,0.00016988
-5.87393697,2.45272107,1.64642847,1.25882120,0.00490176,1.66819824,0.04842730,0.00016329
-5.86793397,2.38750375,1.60986081,1.23021708,0.00458191,1.62844440,0.04590280,0.00015635
-5.86193097,2.31782447,1.57108509,1.19803462,0.00427083,1.58564441,0.04337714,0.00014915
-5.85592796,2.24447096,1.53066345,1.16249803,0.00397158,1.54022055,0.04088365,0.00014177
-5.84992496,2.16831361,1.48917958,1.12391392,0.00368659,1.49265948,0.03845352,0.00013433
-5.84392196,2.09028425,1.44722466,1.08266360,0.00341773,1.44350061,0.03611506,0.00012691
-5.83791896,2.01135319,1.40538391,1.03919271,0.00316627,1.39332282,0.03389322,0.00011959
-5.83191596,1.93250515,1.36422380,0.99399864,0.00293294,1.34272986,0.03180914,0.00011248
-5.82591296,1.85471462,1.32427988,0.94761624,0.00271796,1.29233474,0.02987994,0.00010564
-5.81990995,1.77892116,1.28604565,0.90060221,0.00252115,1.24274350,0.02811862,0.00009914
-5.81390695,1.70600534,1.24996213,0.85351898,0.00234195,1.19453882,0.02653400,0.00009305
-5.80790395,1.63676605,1.21640852,0.80691845,0.00217955,1.14826400,0.02513089,0.00008742
-5.80190095,1.57189968,1.18569388,0.76132641,0.00203291,1.10440779,0.02391023,0.00008228
-5.79589795,1.51198206,1.15805017,0.71722820,0.00190087,1.06339061,0.02286938,0.00007766
-5.78989495,1.45745376,1.13362670,0.67505611,0.00178220,1.02555282,0.02200240,0.00007357
-5.78389195,1.40860943,1.11248648,0.63517909,0.00167565,0.99114550,0.02130038,0.00007003
-5.77788894,1.36559178,1.09460461,0.59789515,0.00158001,0.96032425,0.02075185,0.00006701
-5.77188594,1.32839054,1.07986922,0.56342673,0.00149412,0.93314644,0.02034317,0.00006449
-5.76588294,1.29684700,1.06808506,0.53191923,0.00141693,0.90957222,0.02005894,0.00006246
-5.75987994,1.27066393,1.05898014,0.50344267,0.00134750,0.88946938,0.01988248,0.00006086
-5.75387694,1.24942101,1.05221547,0.47799651,0.00128502,0.87262221,0.01979626,0.00005966
-5.74787394,1.23259541,1.04739780,0.45551722,0.00122882,0.85874398,0.01978242,0.00005879
-5.74187094,1.21958688,1.04409539,0.43588843,0.00117837,0.84749284,0.01982326,0.00005821
-5.73586793,1.20974657,1.04185615,0.41895306,0.00113329,0.83849057,0.01990176,0.00005786
-5.72986493,1.20240864,1.04022785,0.40452697,0.00109336,0.83134339,0.02000214,0.00005768
-5.72386193,1.19692326,1.03877946,0.39241349,0.00105851,0.82566407,0.02011034,0.00005761
-5.71785893,1.19268982,1.03712291,0.38241818,0.00102884,0.82109435,0.02021461,0.00005761
-5.71185593,1.18918882,1.03493419,0.37436325,0.00100462,0.81732668,0.02030592,0.00005763
-5.70585293,1.18601109,1.03197279,0.36810089,0.00098630,0.81412427,0.02037850,0.00005764
-5.69984992,1.18288281,1.02809844,0.36352499,0.00097453,0.81133843,0.02043015,0.00005761
-5.69384692,1.17968538,1.02328431,0.36058074,0.00097017,0.80892233,0.02046262,0.00005753
-5.68784392,1.17646879,1.01762565,0.35927169,0.00097427,0.80694050,0.02048179,0.00005739
-5.68184092,1.17345792,1.01134346,0.35966385,0.00098813,0.80557340,0.02049781,0.00005720
-5.67583792,1.17105129,1.00478260,0.36188674,0.00101325,0.80511669,0.02052509,0.00005698
-5.66983492,1.16981198,0.99840431,0.36613123,0.00105139,0.80597522,0.02058213,0.00005677
-5.66383192,1.17045098,0.99277313,0.37264416,0.00110449,0.80865160,0.02069130,0.00005660
-5.65782891,1.17380352,0.98853879,0.38172005,0.00117471,0.81372992,0.02087836,0.00005652
-5.65182591,1.18079907,0.98641341,0.39368990,0.00126440,0.82185490,0.02117195,0.00005660
-5.64582291,1.19242611,0.98714520,0.40890771,0.00137606,0.83370752,0.02160291,0.00005690
-5.63981991,1.20969301,0.99148930,0.42773497,0.00151228,0.84997761,0.02220343,0.00005749
-5.63381691,1.23358636,1.00017723,0.45052378,0.00167573,0.87133483,0.02300618,0.00005843
-5.62781391,1.26502824,1.01388593,0.47759907,0.00186909,0.89839874,0.02404327,0.00005979
-5.62181091,1.30483417,1.03320766,0.50924061,0.00209496,0.93170934,0.02534522,0.00006164
-5.61580790,1.35367302,1.05862206,0.54566543,0.00235582,0.97169898,0.02693979,0.00006403
-5.60980490,1.41203051,1.09047121,0.58701130,0.00265391,1.01866683,0.02885090,0.00006700
-5.60380190,1.48017765,1.12893887,0.63332191,0.00299120,1.07275679,0.03109750,0.00007060
-5.59779890,1.55814512,1.17403461,0.68453429,0.00336924,1.13393974,0.03369250,0.00007484
-5.59179590,1.64570475,1.22558343,0.74046917,0.00378913,1.20200089,0.03664179,0.00007974
-5.58579290,1.74235885,1.28322130,0.80082457,0.00425139,1.27653265,0.03994341,0.00008526
-5.57978989,1.84733775,1.34639688,0.86517315,0.00475591,1.35693365,0.04358684,0.00009140
-5.57378689,1.95960614,1.41437940,0.93296358,0.00530186,1.44241392,0.04755250,0.00009810
-5.56778389,2.07787792,1.48627248,1.00352609,0.00588762,1.53200637,0.05181149,0.00010530
-5.56178089,2.20063955,1.56103360,1.07608224,0.00651077,1.62458433,0.05632558,0.00011291
-5.55577789,2.32618133,1.63749856,1.14975883,0.00716798,1.71888490,0.06104749,0.00012084
-5.54977489,2.45263584,1.71441040,1.22360565,0.00785506,1.81353737,0.06592146,0.00012897
-5.54377189,2.57802256,1.79045167,1.29661666,0.00856693,1.90709613,0.07088410,0.00013719
-5.53776888,2.70029740,1.86427936,1.36775414,0.00929767,1.99807699,0.07586560,0.00014535
-5.53176588,2.81740569,1.93456114,1.43597487,0.01004051,2.08499593,0.08079110,0.00015333
-5.52576288,2.92733710,2.00001203,1.50025772,0.01078797,2.16640906,0.08558245,0.00016097
-5.51975988,3.02818046,2.05943008,1.55963168,0.01153191,2.24095238,0.09016000,0.00016816
-5.51375688,3.11817699,2.11173003,1.61320313,0.01226370,2.30738007,0.09444470,0.00017475
-5.50775388,3.19576971,2.15597373,1.66018166,0.01297431,2.36459990,0.09836016,0.00018061
-5.50175088,3.25964755,2.19139619,1.69990306,0.01365451,2.41170441,0.10183472,0.00018566
-5.49574787,3.30878221,2.21742645,1.73184878,0.01429506,2.44799668,0.10480353,0.00018978
-5.48974487,3.34245644,2.23370221,1.75566094,0.01488692,2.47300961,0.10721039,0.00019290
-5.48374187,3.36028262,2.24007794,1.77115213,0.01542146,2.48651785,0.10900940,0.00019497
-5.47773887,3.36221057,2.23662579,1.77830957,0.01589068,2.48854184,0.11016632,0.00019596
-5.47173587,3.34852449,2.22362944,1.77729340,0.01628745,2.47934369,0.11065961,0.00019587
-5.46573287,3.31982877,2.20157094,1.76842891,0.01660573,2.45941493,0.11048103,0.00019469
-5.45972986,3.27702333,2.17111108,1.75219323,0.01684082,2.42945661,0.10963590,0.00019247
-5.45372686,3.22126943,2.13306404,1.72919667,0.01698948,2.39035242,0.10814288,0.00018927
-5.44772386,3.15394726,2.08836723,1.70015973,0.01705019,2.34313606,0.10603339,0.00018516
-5.44172086,3.07660710,2.03804774,1.66588655,0.01702323,2.28895396,0.10335067,0.00018023
-5.43571786,2.99091614,1.98318652,1.62723610,0.01691081,2.22902515,0.10014842,0.00017458
-5.42971486,2.89860310,1.92488209,1.58509215,0.01671714,2.16459983,0.09648931,0.00016834
