energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,3.41288153,1.47539263,1.70009210,0.01145906,0.95177885,0.00348669,0.80008317
-5.99399700,3.41453973,1.47349812,1.69352879,0.01209578,0.94460799,0.00343344,0.81134773
-5.98799400,3.42010473,1.47199941,1.68862673,0.01278730,0.93691224,0.00340147,0.82440590
-5.98199100,3.43065924,1.47159517,1.68598821,0.01352603,0.92924521,0.00339186,0.83926880
-5.97598799,3.44715993,1.47296454,1.68617005,0.01430212,0.92218773,0.00340546,0.85587084
-5.96998499,3.47041315,1.47674829,1.68966972,0.01510366,0.91633127,0.00344290,0.87407224
-5.96398199,3.50105814,1.48353180,1.69691470,0.01591698,0.91226135,0.00350461,0.89366497
-5.95797899,3.53955811,1.49383040,1.70825523,0.01672705,0.91054140,0.00359080,0.91438182
-5.95197599,3.58619841,1.50807729,1.72396039,0.01751794,0.91169753,0.00370158,0.93590819
-5.94597299,3.64109128,1.52661407,1.74421717,0.01827331,0.91620431,0.00383691,0.95789591
-5.93996998,3.70418582,1.54968397,1.76913194,0.01897696,0.92447211,0.00399669,0.97997833
-5.93396698,3.77528188,1.57742753,1.79873399,0.01961341,0.93683598,0.00418082,1.00178599
-5.92796398,3.85404638,1.60988047,1.83298027,0.02016838,0.95354617,0.00438916,1.02296192
-5.92196098,3.94003036,1.64697356,1.87176080,0.02062936,0.97476054,0.00462164,1.04317584
-5.91595798,4.03268553,1.68853400,1.91490417,0.02098600,1.00053870,0.00487823,1.06213658
-5.90995498,4.13137896,1.73428816,1.96218252,0.02123047,1.03083799,0.00515894,1.07960201
-5.90395198,4.23540515,1.78386541,2.01331567,0.02135777,1.06551127,0.00546384,1.09538614
-5.89794897,4.34399491,1.83680276,2.06797430,0.02136581,1.10430657,0.00579302,1.10936312
-5.89194597,4.45632102,1.89255048,2.12578203,0.02125554,1.14686862,0.00614655,1.12146801
-5.88594297,4.57150113,1.95047846,2.18631662,0.02103082,1.19274232,0.00652449,1.13169465
-5.87993997,4.68859852,2.00988369,2.24911068,0.02069828,1.24137824,0.00692682,1.14009065
-5.87393697,4.80662193,2.06999891,2.31365238,0.02026705,1.29214023,0.00735340,1.14675029
-5.86793397,4.92452567,2.13000267,2.37938657,0.01974841,1.34431516,0.00780396,1.15180576
-5.86193097,5.04121143,2.18903108,2.44571715,0.01915541,1.39712488,0.00827806,1.15541745
-5.85592796,5.15553304,2.24619140,2.51201105,0.01850243,1.44974043,0.00877508,1.15776397
-5.84992496,5.26630540,2.30057756,2.57760435,0.01780472,1.50129817,0.00929420,1.15903264
-5.84392196,5.37231825,2.35128753,2.64181093,0.01707793,1.55091790,0.00983444,1.15941100
-5.83791896,5.47235534,2.39744240,2.70393362,0.01633777,1.59772245,0.01039462,1.15907980
-5.83191596,5.56521876,2.43820687,2.76327791,0.01559955,1.64085838,0.01097345,1.15820786
-5.82591296,5.64975797,2.47281043,2.81916773,0.01487792,1.67951716,0.01156954,1.15694898
-5.81990995,5.72490239,2.50056876,2.87096291,0.01418659,1.71295630,0.01218141,1.15544092
-5.81390695,5.78969605,2.52090441,2.91807740,0.01353812,1.74051950,0.01280757,1.15380619
-5.80790395,5.84333259,2.53336593,2.95999744,0.01294385,1.76165522,0.01344654,1.15215458
-5.80190095,5.88518837,2.53764450,2.99629873,0.01241378,1.77593275,0.01409685,1.15058674
-5.79589795,5.91485169,2.53358726,3.02666143,0.01195659,1.78305520,0.01475708,1.14919860
-5.78989495,5.93214619,2.52120641,3.05088216,0.01157964,1.78286857,0.01542586,1.14808589
-5.78389195,5.93714637,2.50068355,3.06888211,0.01128901,1.77536660,0.01610179,1.14734833
-5.77788894,5.93018405,2.47236873,3.08071052,0.01108959,1.76069087,0.01678349,1.14709298
