energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,4.47366224,0.17737882,0.00257071,1.69871219,1.89904335,0.01511696,2.74106232
-5.99399700,4.47084637,0.17902923,0.00258456,1.68800557,1.90012707,0.01511976,2.73393507
-5.98799400,4.47537027,0.18051361,0.00259950,1.68081405,1.90485784,0.01516715,2.73182779
-5.98199100,4.48458860,0.18172050,0.00261371,1.67645944,1.91196826,0.01525120,2.73321109
-5.97598799,4.49581085,0.18254242,0.00262546,1.67418946,1.92019067,0.01536284,2.73651360
-5.96998499,4.50636891,0.18287954,0.00263315,1.67319948,1.92828462,0.01549212,2.74016086
-5.96398199,4.51368309,0.18264323,0.00263534,1.67265530,1.93506322,0.01562858,2.74261353
-5.95797899,4.51532498,0.18175919,0.00263081,1.67171600,1.93941794,0.01576157,2.74240410
-5.95197599,4.50907522,0.18016996,0.00261856,1.66955659,1.94034131,0.01588062,2.73817112
-5.94597299,4.49297492,0.17783690,0.00259781,1.66538973,1.93694691,0.01597576,2.72869011
-5.93996998,4.46536936,0.17474133,0.00256807,1.65848616,1.92848661,0.01603787,2.71290061
-5.93396698,4.42494341,0.17088498,0.00252911,1.64819335,1.91436440,0.01605897,2.68992880
-5.92796398,4.37074788,0.16628965,0.00248097,1.63395217,1.89414691,0.01603246,2.65910537
-5.92196098,4.30221690,0.16099620,0.00242394,1.61531115,1.86757053,0.01595339,2.61997841
-5.91595798,4.21917633,0.15506287,0.00235859,1.59193822,1.83454499,0.01581858,2.57232138
-5.90995498,4.12184360,0.14856315,0.00228574,1.56362971,1.79515372,0.01562680,2.51613618
-5.90395198,4.01081977,0.14158324,0.00220643,1.53031647,1.74965113,0.01537885,2.45165151
-5.89794897,3.88707437,0.13421921,0.00212192,1.49206709,1.69845692,0.01507760,2.37931689
-5.89194597,3.75192408,0.12657418,0.00203367,1.44908812,1.64214798,0.01472799,2.29979265
-5.88594297,3.60700614,0.11875539,0.00194332,1.40172142,1.58144788,0.01433700,2.21393631
-5.87993997,3.45424744,0.11087156,0.00185269,1.35043862,1.51721457,0.01391358,2.12278590
-5.87393697,3.29583022,0.10303037,0.00176372,1.29583283,1.45042632,0.01346856,2.02754045
-5.86793397,3.13415513,0.09533640,0.00167852,1.23860793,1.38216644,0.01301448,1.92953845
-5.86193097,2.97180251,0.08788934,0.00159929,1.17956547,1.31360677,0.01256545,1.83023440
-5.85592796,2.81149234,0.08078273,0.00152838,1.11958974,1.24599042,0.01213693,1.73117417
-5.84992496,2.65604342,0.07410297,0.00146821,1.05963107,1.18061368,0.01174553,1.63396930
-5.84392196,2.50833204,0.06792885,0.00142129,1.00068797,1.11880735,0.01140873,1.54027075
-5.83791896,2.37125030,0.06233134,0.00139023,0.94378826,1.06191747,0.01114461,1.45174240
-5.83191596,2.24766415,0.05737365,0.00137767,0.88996981,1.01128550,0.01097152,1.37003432
-5.82591296,2.14037106,0.05311159,0.00138629,0.84026090,0.96822789,0.01090776,1.29675627
-5.81990995,2.05205723,0.04959393,0.00141878,0.79566082,0.93401503,0.01097113,1.23345134
-5.81390695,1.98525423,0.04686296,0.00147778,0.75712077,0.90984941,0.01117862,1.18156988
-5.80790395,1.94229481,0.04495491,0.00156587,0.72552540,0.89684327,0.01154588,1.14244385
-5.80190095,1.92526821,0.04390039,0.00168550,0.70167509,0.89599537,0.01208680,1.11726166
-5.79589795,1.93597480,0.04372459,0.00183890,0.68626920,0.90816741,0.01281301,1.10704354
-5.78989495,1.97588069,0.04444742,0.00202807,0.67989038,0.93406012,0.01373343,1.11261779
-5.78389195,2.04607298,0.04608336,0.00225463,0.68299020,0.97418947,0.01485375,1.13459814
-5.77788894,2.14721646,0.04864116,0.00251981,0.69587617,1.02886359,0.01617601,1.17336262
-5.77188594,2.27951340,0.05212336,0.00282431,0.71870039,1.09816110,0.01769821,1.22903461
-5.76588294,2.44266774,0.05652555,0.00316824,0.75145030,1.18191174,0.01941398,1.30146662
-5.75987994,2.63585578,0.06183569,0.00355104,0.79394156,1.27968023,0.02131231,1.39022779
-5.75387694,2.85770536,0.06803316,0.00397143,0.84581376,1.39075452,0.02337750,1.49459584
-5.74787394,3.10628557,0.07508796,0.00442732,0.90652917,1.51413953,0.02558915,1.61355456
-5.74187094,3.37910922,0.08295988,0.00491582,0.97537512,1.64855744,0.02792234,1.74579759
-5.73586793,3.67314960,0.09159790,0.00543319,1.05147035,1.79245540,0.03034801,1.88973952
-5.72986493,3.98487327,0.10093970,0.00597490,1.13377576,1.94402166,0.03283347,2.04353468
-5.72386193,4.31028946,0.11091152,0.00653562,1.22110973,2.10121028,0.03534315,2.20510422
-5.71785893,4.64501646,0.12142831,0.00710936,1.31216822,2.26177475,0.03783943,2.37217143
-5.71185593,4.98436429,0.13239422,0.00768950,1.40554945,2.42331030,0.04028370,2.54230493
-5.70585293,5.32343227,0.14370357,0.00826900,1.49978307,2.58330394,0.04263752,2.71296915
-5.69984992,5.65721912,0.15524210,0.00884051,1.59336300,2.73919135,0.04486379,2.88158074
-5.69384692,5.98074259,0.16688870,0.00939655,1.68478349,2.88841895,0.04692806,3.04556951
-5.68784392,6.28916473,0.17851744,0.00992974,1.77257721,3.02850919,0.04879979,3.20244198
-5.68184092,6.57791854,0.18999994,0.01043295,1.85535427,3.15712696,0.05045350,3.34984524
-5.67583792,6.84283131,0.20120793,0.01089954,1.93184094,3.27214451,0.05186987,3.48562900
-5.66983492,7.08023989,0.21201605,0.01132357,2.00091646,3.37170273,0.05303666,3.60790329
-5.66383192,7.28709343,0.22230464,0.01169991,2.06164676,3.45426603,0.05394940,3.71508963
-5.65782891,7.46103926,0.23196258,0.01202447,2.11331362,3.51866882,0.05461188,3.80596349
-5.65182591,7.60048846,0.24088997,0.01229427,2.15543800,3.56415155,0.05503632,3.87968642
-5.64582291,7.70465853,0.24900063,0.01250757,2.18779659,3.59038489,0.05524330,3.93582647
-5.63981991,7.77359125,0.25622427,0.01266388,2.21043070,3.59748086,0.05526143,3.97436609
-5.63381691,7.80814532,0.26250840,0.01276401,2.22364709,3.58599057,0.05512666,3.99569730
