energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,1.79402948,0.69863639,1.32502632,0.44860976,0.00588230,0.00398508,0.06993359
-5.99399700,1.88074917,0.74136965,1.37305973,0.48472109,0.00607864,0.00429373,0.07323665
-5.98799400,1.98117140,0.78921980,1.43266763,0.52329705,0.00631178,0.00461845,0.07662588
-5.98199100,2.09374691,0.84163502,1.50259190,0.56401325,0.00657694,0.00495664,0.08008102
-5.97598799,2.21673196,0.89797746,1.58142638,0.60649428,0.00686888,0.00530535,0.08358000
-5.96998499,2.34820992,0.95753007,1.66763765,0.65031560,0.00718193,0.00566122,0.08709864
-5.96398199,2.48611902,1.01950639,1.75959003,0.69500755,0.00751007,0.00602055,0.09061050
-5.95797899,2.62828648,1.08306331,1.85557462,0.74006155,0.00784701,0.00637935,0.09408686
-5.95197599,2.77246836,1.14731654,1.95384194,0.78493848,0.00818630,0.00673338,0.09749694
-5.94597299,2.91639445,1.21135864,2.05263742,0.82907906,0.00852146,0.00707827,0.10080822
-5.93996998,3.05781697,1.27427895,2.15023893,0.87191590,0.00884610,0.00740961,0.10398702
-5.93396698,3.19456147,1.33518479,2.24499509,0.91288690,0.00915406,0.00772304,0.10699924
-5.92796398,3.32457827,1.39322315,2.33536316,0.95144936,0.00943958,0.00801436,0.10981124
-5.92196098,3.44599228,1.44760196,2.41994494,0.98709444,0.00969743,0.00827967,0.11239083
-5.91595798,3.55714913,1.49760999,2.49751929,1.01936110,0.00992307,0.00851545,0.11470835
-5.90995498,3.65665563,1.54263444,2.56706990,1.04784922,0.01011275,0.00871869,0.11673766
-5.90395198,3.74341257,1.58217545,2.62780688,1.07223104,0.01026364,0.00888693,0.11845712
-5.89794897,3.81663844,1.61585674,2.67918131,1.09226068,0.01037390,0.00901834,0.11985044
-5.89194597,3.87588275,1.64343194,2.72089185,1.10778117,0.01044272,0.00911178,0.12090735
-5.88594297,3.92102843,1.66478618,2.75288322,1.11872879,0.01047037,0.00916678,0.12162395
-5.87993997,3.95228309,1.67993311,2.77533646,1.12513464,0.01045813,0.00918354,0.12200299
-5.87393697,3.97015960,1.68900737,2.78865137,1.12712330,0.01040826,0.00916292,0.12205371
-5.86793397,3.97544703,1.69225305,2.79342206,1.12490887,0.01032392,0.00910635,0.12179151
-5.86193097,3.96917324,1.69000888,2.79040675,1.11878860,0.01020900,0.00901578,0.12123739
-5.85592796,3.95256112,1.68269082,2.78049303,1.10913436,0.01006803,0.00889357,0.12041718
-5.84992496,3.92698037,1.67077323,2.76466049,1.09638261,0.00990597,0.00874242,0.11936063
-5.84392196,3.89389722,1.65476943,2.74394217,1.08102302,0.00972804,0.00856525,0.11810038
-5.83791896,3.85482416,1.63521279,2.71938663,1.06358649,0.00953954,0.00836511,0.11667099
-5.83191596,3.81127185,1.61263915,2.69202214,1.04463275,0.00934565,0.00814506,0.11510791
-5.82591296,3.76470504,1.58757141,2.66282454,1.02473818,0.00915129,0.00790815,0.11344659
-5.81990995,3.71650400,1.56050681,2.63268963,1.00448388,0.00896094,0.00765728,0.11172167
-5.81390695,3.66793264,1.53190732,2.60241134,0.98444450,0.00877849,0.00739519,0.10996635
-5.80790395,3.62011394,1.50219325,2.57266574,0.96517777,0.00860719,0.00712441,0.10821193
-5.80190095,3.57401296,1.47173999,2.54400147,0.94721492,0.00844951,0.00684725,0.10648745
-5.79589795,3.53042728,1.44087755,2.51683615,0.93105197,0.00830713,0.00656579,0.10481955
-5.78989495,3.48998437,1.40989253,2.49145853,0.91714185,0.00818093,0.00628187,0.10323240
-5.78389195,3.45314494,1.37903186,2.46803557,0.90588730,0.00807101,0.00599717,0.10174767
-5.77788894,3.42021132,1.34850759,2.44662365,0.89763435,0.00797669,0.00571316,0.10038464
-5.77188594,3.39133975,1.31850225,2.42718286,0.89266656,0.00789664,0.00543123,0.09916016
-5.76588294,3.36655504,1.28917394,2.40959338,0.89119973,0.00782897,0.00515266,0.09808871
-5.75987994,3.34576687,1.26066066,2.39367277,0.89337722,0.00777127,0.00487869,0.09718225
-5.75387694,3.32878615,1.23308353,2.37919335,0.89926595,0.00772081,0.00461055,0.09645011
-5.74787394,3.31534094,1.20654853,2.36589859,0.90885309,0.00767464,0.00434949,0.09589864
-5.74187094,3.30509093,1.18114668,2.35351787,0.92204370,0.00762968,0.00409683,0.09553090
-5.73586793,3.29764017,1.15695279,2.34177906,0.93865950,0.00758290,0.00385395,0.09534620
-5.72986493,3.29254773,1.13402282,2.33041846,0.95843899,0.00753139,0.00362229,0.09533963
-5.72386193,3.28933635,1.11239041,2.31918807,0.98103904,0.00747249,0.00340338,0.09550163
-5.71785893,3.28749920,1.09206291,2.30786004,1.00603844,0.00740387,0.00319880,0.09581760
