energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,2.07495951,-2.76210097,2.25717884,-2.61714281,0.58788944,-0.68280678,0.00358603,-0.00704434,0.36374418,-0.64833674,0.96678869,-1.17568572,0.00000000,-0.00000000,0.47968098,-0.59003387,0.11699840,-0.13675630
-5.99399700,2.03801600,-2.67705209,2.24894977,-2.44624085,0.57665109,-0.67358826,0.00362193,-0.00640268,0.36171946,-0.61170000,0.94594166,-1.15352641,0.00000000,-0.00000000,0.46708860,-0.57733275,0.11508895,-0.13342856
-5.98799400,2.00030632,-2.59564499,2.23766984,-2.29035056,0.56426895,-0.66364216,0.00371465,-0.00582272,0.35849661,-0.57705362,0.92609878,-1.13244012,0.00000000,-0.00000000,0.45537756,-0.56551608,0.11348999,-0.13048444
-5.98199100,1.96136321,-2.51889241,2.22236722,-2.15089972,0.55073359,-0.65321828,0.00385975,-0.00530822,0.35390486,-0.54475558,0.90709809,-1.11274560,0.00000000,-0.00000000,0.44453405,-0.55480248,0.11216526,-0.12796015
-5.97598799,1.92080103,-2.44770565,2.20223977,-2.02888821,0.53606680,-0.64259243,0.00405228,-0.00486163,0.34782862,-0.51511037,0.88876965,-1.09473001,0.00000000,-0.00000000,0.43452558,-0.54538561,0.11107308,-0.12588270
-5.96998499,1.87832073,-2.38288296,2.17666631,-1.92489422,0.52032006,-0.63205756,0.00428678,-0.00448425,0.34020758,-0.48836531,0.87093954,-1.07864606,0.00000000,-0.00000000,0.42530152,-0.53743025,0.11016726,-0.12426983
-5.96398199,1.83371190,-2.32509748,2.14521243,-1.83908998,0.50357217,-0.62191348,0.00455727,-0.00417627,0.33103522,-0.46470783,0.85343382,-1.06470831,0.00000000,-0.00000000,0.41679430,-0.53106838,0.10939820,-0.12313011
-5.95797899,1.78685205,-2.27488462,2.10763082,-1.77126545,0.48592610,-0.61245556,0.00485728,-0.00393691,0.32035571,-0.44426374,0.83608241,-1.05308870,0.00000000,-0.00000000,0.40892122,-0.52639513,0.10871404,-0.12246291
-5.95197599,1.73770329,-2.23262959,2.06385631,-1.72085825,0.46750514,-0.60396289,0.00517991,-0.00376451,0.30825935,-0.42709617,0.81872278,-1.04391144,0.00000000,-0.00000000,0.40158681,-0.52346504,0.10806202,-0.12225842
-5.94597299,1.68630655,-2.19855529,2.01399600,-1.68698836,0.44844850,-0.59668636,0.00551788,-0.00365659,0.29487680,-0.41320546,0.80120328,-1.03724776,0.00000000,-0.00000000,0.39468558,-0.52228874,0.10738980,-0.12249769
-5.93996998,1.63277382,-2.17271180,1.95831484,-1.66849611,0.42890659,-0.59083736,0.00586362,-0.00360995,0.28037240,-0.40252969,0.78338618,-1.03311105,0.00000000,-0.00000000,0.38810499,-0.52283049,0.10664681,-0.12315278
-5.93396698,1.57727874,-2.15496820,1.89721742,-1.66398250,0.40903606,-0.58657751,0.00620938,-0.00362071,0.26493673,-0.39494609,0.76515013,-1.03145261,0.00000000,-0.00000000,0.38172866,-0.52500679,0.10578562,-0.12418699
-5.92796398,1.52004605,-2.14500781,1.83122674,-1.67185077,0.38899491,-0.58401010,0.00654736,-0.00368440,0.24877889,-0.39027344,0.74639217,-1.03215896,0.00000000,-0.00000000,0.37543952,-0.52868634,0.10476308,-0.12555529
-5.92196098,1.46134038,-2.14232791,1.76096091,-1.69034858,0.36893784,-0.58317362,0.00686985,-0.00379597,0.23211869,-0.38827534,0.72702919,-1.03505077,0.00000000,-0.00000000,0.36912288,-0.53369165,0.10354146,-0.12720501
-5.91595798,1.40145492,-2.14624458,1.68710863,-1.71761030,0.34901197,-0.58403788,0.00716942,-0.00394984,0.21517910,-0.38866466,0.70699884,-1.03988403,0.00000000,-0.00000000,0.36266932,-0.53980222,0.10208933,-0.12907667
-5.90995498,1.34070042,-2.15590349,1.61040456,-1.75169891,0.32935317,-0.58650288,0.00743907,-0.00413997,0.19817920,-0.39110915,0.68625994,-1.04635370,0.00000000,-0.00000000,0.35597737,-0.54675959,0.10038223,-0.13110517
-5.90395198,1.27939498,-2.17029660,1.53160538,-1.79064709,0.31008313,-0.59040060,0.00767238,-0.00435993,0.18132787,-0.39523823,0.66479244,-1.05409975,0.00000000,-0.00000000,0.34895576,-0.55427394,0.09840320,-0.13322125
-5.89794897,1.21785510,-2.18828496,1.45146762,-1.83249734,0.29130715,-0.59549972,0.00786372,-0.00460290,0.16481843,-0.40065095,0.64259694,-1.06271580,0.00000000,-0.00000000,0.34152546,-0.56203229,0.09614295,-0.13535309
-5.89194597,1.15638801,-2.20862703,1.37072778,-1.87534048,0.27311286,-0.60151312,0.00800836,-0.00486184,0.14882436,-0.40692503,0.61969397,-1.07175983,0.00000000,-0.00000000,0.33362125,-0.56970784,0.09359986,-0.13742820
-5.88594297,1.09528583,-2.23001170,1.29008542,-1.91735230,0.25556973,-0.60810771,0.00810261,-0.00512952,0.13349608,-0.41362681,0.59612289,-1.08076677,0.00000000,-0.00000000,0.32519304,-0.57697016,0.09077982,-0.13937538
-5.87993997,1.03482129,-2.25109491,1.21018969,-1.95682771,0.23872937,-0.61491635,0.00814391,-0.00539867,0.11895899,-0.42032187,0.57194073,-1.08926243,0.00000000,-0.00000000,0.31620669,-0.58349585,0.08769570,-0.14112675
-5.87393697,0.97524518,-2.27053842,1.13162942,-1.99221184,0.22262658,-0.62155115,0.00813089,-0.00566211,0.10531252,-0.42658598,0.54722074,-1.09677803,0.00000000,-0.00000000,0.30664463,-0.58897914,0.08436680,-0.14261974
-5.86793397,0.91678537,-2.28704931,1.05492677,-2.02212746,0.20728096,-0.62761768,0.00806341,-0.00591285,0.09263026,-0.43201611,0.52205103,-1.10286481,0.00000000,-0.00000000,0.29650602,-0.59314197,0.08081807,-0.14379889
-5.86193097,0.85964721,-2.29941827,0.98053448,-2.04539811,0.19269899,-0.63272935,0.00794253,-0.00614429,0.08096105,-0.43624098,0.49653294,-1.10710805,0.00000000,-0.00000000,0.28580665,-0.59574308,0.07707922,-0.14461749
-5.85592796,0.80401496,-2.30655541,0.90883610,-2.06106623,0.17887641,-0.63652130,0.00777045,-0.00635034,0.07033073,-0.43893084,0.47077951,-1.10913973,0.00000000,-0.00000000,0.27457846,-0.59658578,0.07318379,-0.14503885
-5.84992496,0.75005409,-2.30752172,0.84014904,-2.06840586,0.16580075,-0.63866330,0.00755045,-0.00652557,0.06074460,-0.43980609,0.44491385,-1.10864943,0.00000000,-0.00000000,0.26286885,-0.59552390,0.06916812,-0.14503725
-5.84392196,0.69791410,-2.30155511,0.77472984,-2.06692944,0.15345390,-0.63887096,0.00728675,-0.00666535,0.05219021,-0.43864427,0.41906744,-1.10539294,0.00000000,-0.00000000,0.25073954,-0.59246583,0.06507038,-0.14459840
