energy_ev,total_up,Ge_p_up,Ge_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.35053248,0.42474835,0.00000000,1.92187607,1.03583075,0.04485700,1.50616473
-5.99399700,3.30759637,0.42633760,0.00000000,1.88228933,1.03209380,0.04447759,1.48061311
-5.98799400,3.25641860,0.42584521,0.00000000,1.83822424,1.02485153,0.04402909,1.45252388
-5.98199100,3.19757994,0.42322279,0.00000000,1.79012919,1.01419546,0.04351525,1.42227233
-5.97598799,3.13174467,0.41846928,0.00000000,1.73848640,1.00027865,0.04293877,1.39023202
-5.96998499,3.05964048,0.41162988,0.00000000,1.68380075,0.98330837,0.04230151,1.35676418
-5.96398199,2.98203875,0.40279388,0.00000000,1.62658884,0.96353758,0.04160475,1.32220863
-5.95797899,2.89973557,0.39209109,0.00000000,1.56736872,0.94125555,0.04084955,1.28687661
-5.95197599,2.81353453,0.37968736,0.00000000,1.50665023,0.91677818,0.04003715,1.25104571
-5.94597299,2.72423140,0.36577920,0.00000000,1.44492642,0.89043823,0.03916937,1.21495693
-5.93996998,2.63260148,0.35058778,0.00000000,1.38266599,0.86257614,0.03824905,1.17881399
-5.93396698,2.53938977,0.33435251,0.00000000,1.32030723,0.83353166,0.03728048,1.14278474
-5.92796398,2.44530414,0.31732458,0.00000000,1.25825326,0.80363654,0.03626968,1.10700450
-5.92196098,2.35101156,0.29976047,0.00000000,1.19686900,0.77320870,0.03522474,1.07158102
-5.91595798,2.25713705,0.28191584,0.00000000,1.13647970,0.74254783,0.03415595,1.03660079
-5.90995498,2.16426512,0.26403985,0.00000000,1.07737096,0.71193244,0.03307592,1.00213610
-5.90395198,2.07294295,0.24637019,0.00000000,1.01979030,0.68161834,0.03199948,0.96825252
-5.89794897,1.98368479,0.22912865,0.00000000,0.96394993,0.65183836,0.03094352,0.93501615
-5.89194597,1.89697676,0.21251764,0.00000000,0.91003041,0.62280295,0.02992670,0.90250020
-5.88594297,1.81328120,0.19671734,0.00000000,0.85818509,0.59470146,0.02896898,0.87079042
-5.87993997,1.73303993,0.18188368,0.00000000,0.80854468,0.56770372,0.02809108,0.83998883
-5.87393697,1.65667563,0.16814697,0.00000000,0.76122189,0.54196161,0.02731388,0.81021574
-5.86793397,1.58459101,0.15561115,0.00000000,0.71631555,0.51761029,0.02665764,0.78160941
-5.86193097,1.51716530,0.14435362,0.00000000,0.67391414,0.49476895,0.02614129,0.75432375
-5.85592796,1.45474820,0.13442550,0.00000000,0.63409828,0.47354079,0.02578162,0.72852381
-5.84992496,1.39765128,0.12585225,0.00000000,0.59694227,0.45401233,0.02559251,0.70437938
-5.84392196,1.34613750,0.11863465,0.00000000,0.56251445,0.43625196,0.02558425,0.68205714
-5.83791896,1.30040923,0.11275005,0.00000000,0.53087651,0.42030788,0.02576285,0.66171173
-5.83191596,1.26059598,0.10815380,0.00000000,0.50208183,0.40620571,0.02612959,0.64347633
-5.82591296,1.22674235,0.10478098,0.00000000,0.47617306,0.39394589,0.02668057,0.62745336
-5.81990995,1.19879769,0.10254829,0.00000000,0.45317922,0.38350136,0.02740659,0.61370590
-5.81390695,1.17660796,0.10135622,0.00000000,0.43311252,0.37481567,0.02829308,0.60225050
-5.80790395,1.15991118,0.10109142,0.00000000,0.41596524,0.36780191,0.02932029,0.59305174
-5.80190095,1.14833670,0.10162934,0.00000000,0.40170690,0.36234271,0.03046373,0.58601915
-5.79589795,1.14140923,0.10283716,0.00000000,0.39028201,0.35829155,0.03169473,0.58100667
-5.78989495,1.13855748,0.10457686,0.00000000,0.38160854,0.35547533,0.03298122,0.57781475
-5.78389195,1.13912759,0.10670865,0.00000000,0.37557721,0.35369851,0.03428872,0.57619523
-5.77788894,1.14240097,0.10909442,0.00000000,0.37205180,0.35274844,0.03558138,0.57585866
-5.77188594,1.14761569,0.11160135,0.00000000,0.37087030,0.35240199,0.03682319,0.57648379
-5.76588294,1.15399089,0.11410558,0.00000000,0.37184703,0.35243295,0.03797917,0.57772882
-5.75987994,1.16075282,0.11649563,0.00000000,0.37477554,0.35262016,0.03901662,0.57924376
-5.75387694,1.16716151,0.11867577,0.00000000,0.37943225,0.35275574,0.03990629,0.58068337
-5.74787394,1.17253670,0.12056896,0.00000000,0.38558063,0.35265323,0.04062340,0.58172001
-5.74187094,1.17628200,0.12211934,0.00000000,0.39297581,0.35215508,0.04114862,0.58205573
-5.73586793,1.17790585,0.12329419,0.00000000,0.40136962,0.35113918,0.04146870,0.58143309
-5.72986493,1.17703866,0.12408523,0.00000000,0.41051572,0.34952413,0.04157704,0.57964415
