energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,5.77421684,0.02444907,0.52834687,2.69465139,1.70226387,0.02788430,3.55841044,0.71720501,0.49461692
-5.99399700,5.52683843,0.02335061,0.50937461,2.60370566,1.63167059,0.02600696,3.41081086,0.69038276,0.47491343
-5.98799400,5.28916208,0.02248299,0.49197265,2.51758753,1.56360608,0.02419647,3.26843565,0.66516412,0.45635057
-5.98199100,5.06427868,0.02182598,0.47613761,2.43771647,1.49924661,0.02245897,3.13354901,0.64174834,0.43906289
-5.97598799,4.85482642,0.02135791,0.46182415,2.36524435,1.43966371,0.02080055,3.00811396,0.62025410,0.42313161
-5.96998499,4.66293423,0.02105660,0.44894626,2.30102975,1.38579473,0.01922731,2.89374823,0.60071879,0.40858413
-5.96398199,4.49018552,0.02090006,0.43738053,2.24562372,1.33841798,0.01774534,2.79169354,0.58310142,0.39539610
-5.95797899,4.33760256,0.02086736,0.42697106,2.19926713,1.29813332,0.01636078,2.70279871,0.56728915,0.38349578
-5.95197599,4.20565104,0.02093925,0.41753578,2.16189914,1.26534854,0.01507982,2.62751658,0.55310674,0.37277046
-5.94597299,4.09426365,0.02109885,0.40887395,2.13317609,1.24027199,0.01390867,2.56591408,0.54032844,0.36307451
-5.93996998,4.00288044,0.02133213,0.40077450,2.11249945,1.22291152,0.01285354,2.51769435,0.52869166,0.35423856
-5.93396698,3.93050376,0.02162830,0.39302464,2.09905156,1.21307963,0.01192064,2.48222962,0.51791162,0.34607938
-5.92796398,3.87576457,0.02198009,0.38541857,2.09183720,1.21040461,0.01111611,2.45860294,0.50769626,0.33840985
-5.92196098,3.83699709,0.02238382,0.37776567,2.08972939,1.21434709,0.01044600,2.44565697,0.49776062,0.33104856
-5.91595798,3.81231836,0.02283936,0.36989794,2.09151740,1.22422152,0.00991625,2.44204759,0.48784006,0.32382854
-5.90995498,3.79970945,0.02334993,0.36167628,2.09595515,1.23922177,0.00953261,2.44630043,0.47770165,0.31660477
-5.90395198,3.79709517,0.02392168,0.35299533,2.10180816,1.25844983,0.00930063,2.45686800,0.46715336,0.30926004
-5.89794897,3.80241946,0.02456324,0.34378678,2.10789749,1.28094684,0.00922560,2.47218559,0.45605056,0.30170909
-5.89194597,3.81371382,0.02528498,0.33402091,2.11313928,1.30572514,0.00931249,2.49072410,0.44429988,0.29390080
-5.88594297,3.82915680,0.02609835,0.32370638,2.11657855,1.33180044,0.00956592,2.51103799,0.43186015,0.28581848
-5.87993997,3.84712293,0.02701497,0.31288847,2.11741654,1.35822287,0.00999006,2.53180724,0.41874067,0.27747834
-5.87393697,3.86621988,0.02804582,0.30164571,2.11503078,1.38410581,0.01058857,2.55187196,0.40499715,0.26892637
-5.86793397,3.88531344,0.02920035,0.29008533,2.10898769,1.40865173,0.01136456,2.57025890,0.39072545,0.26023386
-5.86193097,3.90354005,0.03048563,0.27833761,2.09904761,1.43117382,0.01232046,2.58619950,0.37605389,0.25149195
-5.85592796,3.92030750,0.03190565,0.26654965,2.08516240,1.45111301,0.01345797,2.59913909,0.36113434,0.24280542
-5.84992496,3.93528448,0.03346068,0.25487875,2.06746625,1.46804972,0.01477794,2.60873761,0.34613296,0.23428636
-5.84392196,3.94838026,0.03514680,0.24348582,2.04626035,1.48171000,0.01628032,2.61486213,0.33122080,0.22604783
-5.83791896,3.95971622,0.03695564,0.23252901,2.02199220,1.49196610,0.01796404,2.61757206,0.31656510,0.21819795
-5.83191596,3.96959073,0.03887429,0.22215805,1.99523088,1.49883157,0.01982695,2.61709801,0.30232146,0.21083476
-5.82591296,3.97843961,0.04088548,0.21250928,1.96663915,1.50245129,0.02186567,2.61381553,0.28862749,0.20404196
-5.81990995,3.98679408,0.04296786,0.20370172,1.93694384,1.50308705,0.02407554,2.60821504,0.27559799,0.19788579
-5.81390695,3.99523814,0.04509659,0.19583414,1.90690564,1.50109944,0.02645052,2.60086946,0.26332202,0.19241304
-5.80790395,4.00436733,0.04724405,0.18898334,1.87728950,1.49692692,0.02898305,2.59240110,0.25186180,0.18765029
-5.80190095,4.01475065,0.04938065,0.18320337,1.84883677,1.49106319,0.03166392,2.58344907,0.24125345,0.18360418
