energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
5.68184092,0.82434434,-0.78592710,0.02000881,-0.01017469,0.03691963,-0.15194119,0.64687051,-0.57019181,0.07467067,-0.15203831,0.09458687,-0.10517426,0.00000000,-0.00000000
5.68784392,0.81089896,-0.80404945,0.02064084,-0.01020233,0.03613988,-0.15680054,0.64367480,-0.57463559,0.07279218,-0.15805588,0.09369103,-0.10970111,0.00000000,-0.00000000
5.69384692,0.79465999,-0.82448125,0.02128641,-0.01033260,0.03515983,-0.16111716,0.63854869,-0.58179533,0.07076438,-0.16397996,0.09224881,-0.11419843,0.00000000,-0.00000000
5.69984992,0.77591581,-0.84708789,0.02195362,-0.01056494,0.03399195,-0.16481904,0.63169891,-0.59165914,0.06861493,-0.16973741,0.09028293,-0.11862222,0.00000000,-0.00000000
5.70585293,0.75501543,-0.87165204,0.02265003,-0.01089658,0.03265329,-0.16784298,0.62337345,-0.60414167,0.06637561,-0.17525278,0.08782693,-0.12292968,0.00000000,-0.00000000
5.71185593,0.73235467,-0.89787586,0.02338203,-0.01132258,0.03116478,-0.17013655,0.61384947,-0.61908344,0.06408119,-0.18044976,0.08492397,-0.12707947,0.00000000,-0.00000000
5.71785893,0.70836107,-0.92538593,0.02415430,-0.01183611,0.02955049,-0.17165959,0.60342032,-0.63625262,0.06176823,-0.18525273,0.08162530,-0.13103190,0.00000000,-0.00000000
5.72386193,0.68347800,-0.95374088,0.02496929,-0.01242861,0.02783676,-0.17238541,0.59238223,-0.65534949,0.05947367,-0.18958832,0.07798855,-0.13474902,0.00000000,-0.00000000
5.72986493,0.65814897,-0.98244146,0.02582676,-0.01309009,0.02605136,-0.17230142,0.58102137,-0.67601313,0.05723361,-0.19338702,0.07407585,-0.13819473,0.00000000,-0.00000000
5.73586793,0.63280286,-1.01094274,0.02672345,-0.01380948,0.02422258,-0.17140932,0.56960199,-0.69783025,0.05508207,-0.19658471,0.06995197,-0.14133471,0.00000000,-0.00000000
5.74187094,0.60784050,-1.03866803,0.02765284,-0.01457492,0.02237840,-0.16972473,0.55835618,-0.72034592,0.05304986,-0.19912412,0.06568237,-0.14413642,0.00000000,-0.00000000
5.74787394,0.58362341,-1.06502424,0.02860507,-0.01537422,0.02054573,-0.16727643,0.54747565,-0.74307578,0.05116376,-0.20095612,0.06133146,-0.14656907,0.00000000,-0.00000000
5.75387694,0.56046495,-1.08941807,0.02956707,-0.01619520,0.01874968,-0.16410518,0.53710606,-0.76551936,0.04944581,-0.20204093,0.05696094,-0.14860356,0.00000000,-0.00000000
5.75987994,0.53862421,-1.11127267,0.03052275,-0.01702611,0.01701308,-0.16026208,0.52734409,-0.78717425,0.04791289,-0.20234904,0.05262844,-0.15021260,0.00000000,-0.00000000
5.76588294,0.51830261,-1.13004418,0.03145342,-0.01785602,0.01535599,-0.15580689,0.51823719,-0.80755045,0.04657658,-0.20186209,0.04838637,-0.15137082,0.00000000,-0.00000000
5.77188594,0.49964340,-1.14523770,0.03233840,-0.01867520,0.01379542,-0.15080598,0.50978617,-0.82618465,0.04544317,-0.20057332,0.04428101,-0.15205503,0.00000000,-0.00000000
5.77788894,0.48273356,-1.15642206,0.03315563,-0.01947545,0.01234514,-0.14533040,0.50195027,-0.84265376,0.04451400,-0.19848800,0.04035198,-0.15224463,0.00000000,-0.00000000
5.78389195,0.46760803,-1.16324294,0.03388247,-0.02025038,0.01101568,-0.13945384,0.49465439,-0.85658741,0.04378588,-0.19562347,0.03663196,-0.15192210,0.00000000,-0.00000000
5.78989495,0.45425579,-1.16543382,0.03449657,-0.02099561,0.00981433,-0.13325084,0.48779819,-0.86767874,0.04325177,-0.19200894,0.03314661,-0.15107364,0.00000000,-0.00000000
5.79589795,0.44262720,-1.16282436,0.03497671,-0.02170893,0.00874536,-0.12679504,0.48126640,-0.87569317,0.04290143,-0.18768513,0.02991482,-0.14968986,0.00000000,-0.00000000
5.80190095,0.43264238,-1.15534578,0.03530366,-0.02239031,0.00781020,-0.12015780,0.47493988,-0.88047483,0.04272224,-0.18270353,0.02694911,-0.14776653,0.00000000,-0.00000000
5.80790395,0.42419983,-1.14303302,0.03546098,-0.02304183,0.00700772,-0.11340696,0.46870692,-0.88195015,0.04269995,-0.17712542,0.02425623,-0.14530524,0.00000000,-0.00000000
5.81390695,0.41718518,-1.12602364,0.03543569,-0.02366753,0.00633462,-0.10660595,0.46247423,-0.88012859,0.04281942,-0.17102072,0.02183785,-0.14231413,0.00000000,-0.00000000
5.81990995,0.41147937,-1.10455314,0.03521887,-0.02427314,0.00578570,-0.09981315,0.45617707,-0.87510036,0.04306537,-0.16446648,0.01969137,-0.13880836,0.00000000,-0.00000000
5.82591296,0.40696626,-1.07894722,0.03480605,-0.02486565,0.00535425,-0.09308148,0.44978838,-0.86703114,0.04342291,-0.15754528,0.01781073,-0.13481044,0.00000000,-0.00000000
5.83191596,0.40353918,-1.04961093,0.03419749,-0.02545291,0.00503237,-0.08645818,0.44332621,-0.85615405,0.04387814,-0.15034339,0.01618732,-0.13035038,0.00000000,-0.00000000
5.83791896,0.40110650,-1.01701521,0.03339815,-0.02604307,0.00481132,-0.07998485,0.43685964,-0.84275913,0.04441851,-0.14294881,0.01481075,-0.12546551,0.00000000,-0.00000000
5.84392196,0.39959611,-0.98168145,0.03241763,-0.02664400,0.00468183,-0.07369755,0.43051273,-0.82718073,0.04503319,-0.13544929,0.01366968,-0.12020007,0.00000000,-0.00000000
5.84992496,0.39895876,-0.94416452,0.03126985,-0.02726268,0.00463433,-0.06762703,0.42446664,-0.80978343,0.04571332,-0.12793034,0.01275252,-0.11460453,0.00000000,-0.00000000
5.85592796,0.39917051,-0.90503505,0.02997257,-0.02790462,0.00465928,-0.06179901,0.41895984,-0.79094712,0.04645221,-0.12047323,0.01204809,-0.10873464,0.00000000,-0.00000000
5.86193097,0.40023417,-0.86486175,0.02854681,-0.02857331,0.00474734,-0.05623453,0.41428651,-0.77105175,0.04724544,-0.11315324,0.01154619,-0.10265026,0.00000000,-0.00000000
5.86793397,0.40218005,-0.82419433,0.02701615,-0.02926972,0.00488958,-0.05095020,0.41079319,-0.75046276,0.04809104,-0.10603805,0.01123798,-0.09641399,0.00000000,-0.00000000
5.87393697,0.40506598,-0.78354793,0.02540602,-0.02999196,0.00507768,-0.04595861,0.40887375,-0.72951751,0.04898952,-0.09918636,0.01111638,-0.09008974,0.00000000,-0.00000000
5.87993997,0.40897673,-0.74338952,0.02374285,-0.03073498,0.00530401,-0.04126852,0.40896286,-0.70851363,0.04994396,-0.09264689,0.01117627,-0.08374120,0.00000000,-0.00000000
5.88594297,0.41402284,-0.70412685,0.02205337,-0.03149053,0.00556183,-0.03688524,0.41152790,-0.68769959,0.05096008,-0.08645771,0.01141457,-0.07743037,0.00000000,-0.00000000
5.89194597,0.42033880,-0.66610033,0.02036384,-0.03224715,0.00584530,-0.03281079,0.41705943,-0.66726813,0.05204621,-0.08064592,0.01183024,-0.07121610,0.00000000,-0.00000000
