energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-5.57978989,1.26169261,0.05780564,0.04062235,0.58309924,0.09912626,0.57289781,0.00000000,0.04583349,0.79207341
-5.57378689,1.24879393,0.05943463,0.03945811,0.57930652,0.09614318,0.56474281,0.00000000,0.04465771,0.78663582
-5.56778389,1.22909927,0.06070270,0.03807369,0.57209199,0.09274944,0.55346887,0.00000000,0.04322594,0.77681935
-5.56178089,1.20290139,0.06158422,0.03649564,0.56158979,0.08899412,0.53926742,0.00000000,0.04156107,0.76276571
-5.55577789,1.17061173,0.06206124,0.03475381,0.54799296,0.08493183,0.52238086,0.00000000,0.03969140,0.74469385
-5.54977489,1.13274882,0.06212418,0.03288045,0.53154783,0.08062133,0.50309589,0.00000000,0.03764945,0.72289396
-5.54377189,1.08992462,0.06177232,0.03090936,0.51254728,0.07612421,0.48173580,0.00000000,0.03547076,0.69771957
-5.53776888,1.04282892,0.06101395,0.02887495,0.49132289,0.07150352,0.45865236,0.00000000,0.03319266,0.66957855
-5.53176588,0.99221275,0.05986624,0.02681145,0.46823661,0.06682258,0.43421741,0.00000000,0.03085311,0.63892285
-5.52576288,0.93887118,0.05835491,0.02475222,0.44367198,0.06214391,0.40881454,0.00000000,0.02848956,0.60623780
-5.51975988,0.88362626,0.05651355,0.02272908,0.41802540,0.05752828,0.38283115,0.00000000,0.02613802,0.57203100
-5.51375688,0.82731052,0.05438275,0.02077191,0.39169774,0.05303397,0.35665121,0.00000000,0.02383222,0.53682146
-5.50775388,0.77075175,0.05200912,0.01890827,0.36508642,0.04871624,0.33064882,0.00000000,0.02160299,0.50112909
-5.50175088,0.71475918,0.04944399,0.01716325,0.33857838,0.04462696,0.30518282,0.00000000,0.01947780,0.46546511
-5.49574787,0.66011166,0.04674228,0.01555940,0.31254393,0.04081444,0.28059251,0.00000000,0.01748046,0.43032337
-5.48974487,0.60754792,0.04396107,0.01411679,0.28733169,0.03732344,0.25719456,0.00000000,0.01563101,0.39617297
-5.48374187,0.55775885,0.04115840,0.01285322,0.26326467,0.03419530,0.23528099,0.00000000,0.01394582,0.36345226
-5.47773887,0.51138207,0.03839205,0.01178443,0.24063746,0.03146816,0.21511831,0.00000000,0.01243769,0.33256415
-5.47173587,0.46899836,0.03571836,0.01092441,0.21971447,0.02917727,0.19694745,0.00000000,0.01111615,0.30387285
-5.46573287,0.43112976,0.03319131,0.01028570,0.20072915,0.02735529,0.18098462,0.00000000,0.00998780,0.27770185
-5.45972986,0.39823917,0.03086161,0.00987965,0.18388397,0.02603254,0.16742253,0.00000000,0.00905666,0.25433309
-5.45372686,0.37073080,0.02877602,0.00971676,0.16935105,0.02523724,0.15643216,0.00000000,0.00832456,0.23400692
