energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-5.61580790,1.98954067,0.33616857,0.00000000,1.22732655,0.61214042,0.01374000,1.12461439
-5.60980490,2.00988895,0.33692115,0.00000000,1.24735937,0.62173449,0.01378424,1.13960644
-5.60380190,2.03023550,0.33790556,0.00000000,1.26703167,0.63130636,0.01382332,1.15428413
-5.59779890,2.05005369,0.33906432,0.00000000,1.28588253,0.64072327,0.01385314,1.16833146
-5.59179590,2.06877101,0.34031793,0.00000000,1.30343606,0.64983744,0.01387005,1.18142492
-5.58579290,2.08578412,0.34156651,0.00000000,1.31921412,0.65848959,0.01387090,1.19324235
-5.57978989,2.10047664,0.34269254,0.00000000,1.33275058,0.66651326,0.01385326,1.20347269
-5.57378689,2.11223919,0.34356459,0.00000000,1.34360652,0.67374005,0.01381547,1.21182615
-5.56778389,2.12049081,0.34404188,0.00000000,1.35138570,0.68000539,0.01375676,1.21804446
-5.56178089,2.12470096,0.34397962,0.00000000,1.35574960,0.68515469,0.01367732,1.22191075
-5.55577789,2.12441119,0.34323471,0.00000000,1.35643114,0.68904968,0.01357836,1.22325865
-5.54977489,2.11925517,0.34167171,0.00000000,1.35324650,0.69157452,0.01346211,1.22198008
-5.54377189,2.10897647,0.33916870,0.00000000,1.34610425,0.69264141,0.01333186,1.21803140
-5.53776888,2.09344286,0.33562273,0.00000000,1.33501136,0.69219553,0.01319188,1.21143757
-5.53176588,2.07265653,0.33095470,0.00000000,1.32007565,0.69021890,0.01304734,1.20229405
-5.52576288,2.04675958,0.32511330,0.00000000,1.30150452,0.68673296,0.01290426,1.19076627
-5.51975988,2.01603448,0.31807791,0.00000000,1.27959996,0.68179981,0.01276937,1.17708672
-5.51375688,1.98089933,0.30986024,0.00000000,1.25475004,0.67552191,0.01264990,1.16154961
-5.50775388,1.94189805,0.30050476,0.00000000,1.22741728,0.66804023,0.01255346,1.14450338
-5.50175088,1.89968589,0.29008771,0.00000000,1.19812432,0.65953087,0.01248779,1.12634128
-5.49574787,1.85501084,0.27871501,0.00000000,1.16743771,0.65020031,0.01246053,1.10749032
-5.48974487,1.80869166,0.26651898,0.00000000,1.13595031,0.64027941,0.01247904,1.08839913
-5.48374187,1.76159344,0.25365409,0.00000000,1.10426318,0.63001638,0.01255010,1.06952499
-5.47773887,1.71460159,0.24029211,0.00000000,1.07296762,0.61966901,0.01267968,1.05132056
-5.47173587,1.66859537,0.22661666,0.00000000,1.04262806,0.60949641,0.01287273,1.03422082
-5.46573287,1.62442188,0.21281761,0.00000000,1.01376631,0.59975064,0.01313296,1.01863042
-5.45972986,1.58287139,0.19908553,0.00000000,0.98684777,0.59066844,0.01346263,1.00491210
-5.45372686,1.54465495,0.18560633,0.00000000,0.96226986,0.58246349,0.01386239,0.99337621
-5.44772386,1.51038501,0.17255651,0.00000000,0.94035302,0.57531941,0.01433119,0.98427195
-5.44172086,1.48055948,0.16009897,0.00000000,0.92133434,0.56938367,0.01486615,0.97778024
-5.43571786,1.45554986,0.14837958,0.00000000,0.90536393,0.56476292,0.01546257,0.97400866
-5.42971486,1.43559368,0.13752470,0.00000000,0.89250392,0.56151956,0.01611395,0.97298847
-5.42371186,1.42079125,0.12763950,0.00000000,0.88273006,0.55966998,0.01681202,0.97467386
-5.41770885,1.41110697,0.11880709,0.00000000,0.87593558,0.55918433,0.01754697,0.97894347
-5.41170585,1.40637485,0.11108860,0.00000000,0.87193733,0.55998807,0.01830756,0.98560414
-5.40570285,1.40630809,0.10452376,0.00000000,0.87048372,0.56196505,0.01908141,0.99439694
-5.39969985,1.41051236,0.09913222,0.00000000,0.87126434,0.56496224,0.01985527,1.00500525
-5.39369685,1.41850228,0.09491528,0.00000000,0.87392092,0.56879581,0.02061542,1.01706485
-5.38769385,1.42972061,0.09185791,0.00000000,0.87805940,0.57325853,0.02134795,1.03017571
-5.38169085,1.44355951,0.08993102,0.00000000,0.88326268,0.57812819,0.02203921,1.04391528
-5.37568784,1.45938320,0.08909378,0.00000000,0.88910389,0.58317676,0.02267620,1.05785282
-5.36968484,1.47655138,0.08929595,0.00000000,0.89515971,0.58818009,0.02324694,1.07156450
-5.36368184,1.49444266,0.09048010,0.00000000,0.90102352,0.59292764,0.02374085,1.08464873
-5.35767884,1.51247720,0.09258370,0.00000000,0.90631798,0.59723219,0.02414909,1.09674124
-5.35167584,1.53013807,0.09554104,0.00000000,0.91070675,0.60093894,0.02446485,1.10752945
