energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,3.49278971,0.60905436,0.53050556,0.01998122,0.35234890,0.46514422,0.04358607,1.37795191
-5.99399700,3.32108099,0.59565246,0.50127269,0.01983342,0.32890752,0.44046896,0.04020309,1.32364569
-5.98799400,3.16324644,0.58315342,0.47474284,0.01976771,0.30790291,0.41547565,0.03723047,1.27278774
-5.98199100,3.01932300,0.57141281,0.45098888,0.01978093,0.28940794,0.39043669,0.03467382,1.22524187
-5.97598799,2.88912591,0.56027048,0.43004145,0.01986876,0.27346067,0.36560416,0.03253379,1.18080975
-5.96998499,2.77228646,0.54956032,0.41189300,0.02002594,0.26006652,0.34120594,0.03080664,1.13924936
-5.96398199,2.66828989,0.53911964,0.39650211,0.02024649,0.24920062,0.31744300,0.02948491,1.10029308
-5.95797899,2.57651234,0.52879779,0.38379795,0.02052395,0.24081037,0.29448768,0.02855795,1.06366484
-5.95197599,2.49625608,0.51846368,0.37368491,0.02085162,0.23481823,0.27248316,0.02801250,1.02909572
-5.94597299,2.42678235,0.50801206,0.36604723,0.02122274,0.23112472,0.25154383,0.02783317,0.99633763
-5.93996998,2.36734118,0.49736830,0.36075369,0.02163070,0.22961160,0.23175669,0.02800297,0.96517475
-5.93396698,2.31719786,0.48649159,0.35766218,0.02206919,0.23014537,0.21318341,0.02850370,0.93543247
-5.92796398,2.27565564,0.47537658,0.35662414,0.02253240,0.23258074,0.19586309,0.02931642,0.90698383
-5.92196098,2.24207450,0.46405342,0.35748877,0.02301504,0.23676431,0.17981543,0.03042169,0.87975339
-5.91595798,2.21588574,0.45258643,0.36010693,0.02351252,0.24253816,0.16504420,0.03179997,0.85371863
-5.90995498,2.19660248,0.44107147,0.36433460,0.02402097,0.24974326,0.15154084,0.03343182,0.82890926
-5.90395198,2.18382599,0.42963226,0.37003578,0.02453724,0.25822267,0.13928805,0.03529804,0.80540449
-5.89794897,2.17724806,0.41841593,0.37708486,0.02505895,0.26782425,0.12826321,0.03737982,0.78332874
-5.89194597,2.17664958,0.40758797,0.38536827,0.02558438,0.27840291,0.11844166,0.03965874,0.76284616
-5.88594297,2.18189566,0.39732700,0.39478539,0.02611244,0.28982222,0.10979957,0.04211673,0.74415426
-5.87993997,2.19292763,0.38781944,0.40524882,0.02664257,0.30195531,0.10231651,0.04473598,0.72747701
-5.87393697,2.20975258,0.37925444,0.41668383,0.02717462,0.31468510,0.09597760,0.04749875,0.71305792
-5.86793397,2.23243068,0.37181914,0.42902725,0.02770868,0.32790381,0.09077519,0.05038720,0.70115311
-5.86193097,2.26106116,0.36569459,0.44222578,0.02824497,0.34151186,0.08671014,0.05338315,0.69202486
-5.85592796,2.29576740,0.36105221,0.45623385,0.02878370,0.35541626,0.08379258,0.05646782,0.68593566
-5.84992496,2.33668187,0.35805102,0.47101128,0.02932490,0.36952864,0.08204227,0.05962171,0.68314288
-5.84392196,2.38393143,0.35683553,0.48652075,0.02986831,0.38376306,0.08148835,0.06282437,0.68389411
-5.83791896,2.43762369,0.35753433,0.50272539,0.03041334,0.39803386,0.08216872,0.06605439,0.68842315
-5.83191596,2.49783480,0.36025923,0.51958660,0.03095896,0.41225369,0.08412882,0.06928935,0.69694648
-5.82591296,2.56459918,0.36510493,0.53706228,0.03150371,0.42633200,0.08741995,0.07250601,0.70966022
-5.81990995,2.63790145,0.37214897,0.55510555,0.03204576,0.44017396,0.09209712,0.07568049,0.72673724
-5.81390695,2.71767064,0.38145204,0.57366407,0.03258300,0.45368025,0.09821633,0.07878864,0.74832450
