energy_ev,total_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.22684753,0.34831175,2.61643292,0.49394273,0.16090270,0.09796479,0.05349042,0.03331871,0.83825517
-5.99399700,4.22949917,0.34797574,2.62395764,0.49526068,0.16107612,0.09811107,0.05365756,0.03379125,0.83493428
-5.98799400,4.22154648,0.34653626,2.62519282,0.49509815,0.16070186,0.09801115,0.05378503,0.03430236,0.82933698
-5.98199100,4.20363050,0.34404001,2.62037042,0.49345964,0.15982224,0.09767839,0.05386755,0.03485821,0.82171864
-5.97598799,4.17656675,0.34055064,2.60982191,0.49037276,0.15849236,0.09713094,0.05390038,0.03546593,0.81237397
-5.96998499,4.14132304,0.33614730,2.59396721,0.48588850,0.15677861,0.09639123,0.05387968,0.03613373,0.80163008
-5.96398199,4.09899612,0.33092295,2.57330340,0.48008122,0.15475704,0.09548531,0.05380287,0.03687093,0.78983930
-5.95797899,4.05078782,0.32498230,2.54839336,0.47304829,0.15251156,0.09444209,0.05366890,0.03768795,0.77737168
-5.95197599,3.99798116,0.31843978,2.51985452,0.46490943,0.15013214,0.09329246,0.05347855,0.03859627,0.76460784
-5.94597299,3.94191674,0.31141723,2.48834762,0.45580588,0.14771304,0.09206843,0.05323456,0.03960828,0.75193203
-5.93996998,3.88396998,0.30404171,2.45456559,0.44589923,0.14535116,0.09080219,0.05294176,0.04073714,0.73972573
-5.93396698,3.82552924,0.29644326,2.41922253,0.43537010,0.14314445,0.08952522,0.05260706,0.04199655,0.72836191
-5.92796398,3.76797508,0.28875286,2.38304267,0.42441666,0.14119066,0.08826738,0.05223940,0.04340054,0.71820010
-5.92196098,3.71266102,0.28110041,2.34674943,0.41325284,0.13958616,0.08705611,0.05184957,0.04496312,0.70958222
-5.91595798,3.66089575,0.27361299,2.31105469,0.40210654,0.13842511,0.08591574,0.05144999,0.04669810,0.70282934
-5.90995498,3.61392718,0.26641320,2.27664830,0.39121748,0.13779883,0.08486689,0.05105442,0.04861872,0.69823924
-5.90395198,3.57292847,0.25961790,2.24418807,0.38083496,0.13779541,0.08392605,0.05067761,0.05073741,0.69608483
-5.89794897,3.53898620,0.25333696,2.21429060,0.37121545,0.13849954,0.08310525,0.05033493,0.05306558,0.69661338
-5.89194597,3.51309093,0.24767243,2.18752306,0.36261992,0.13999245,0.08241205,0.05004194,0.05561339,0.70004636
-5.88594297,3.49613022,0.24271781,2.16439634,0.35531100,0.14235211,0.08184957,0.04981406,0.05838956,0.70657986
-5.87993997,3.48888401,0.23855761,2.14535960,0.34954989,0.14565331,0.08141679,0.04966614,0.06140132,0.71638541
-5.87393697,3.49202228,0.23526698,2.13079662,0.34559304,0.14996795,0.08110895,0.04961214,0.06465422,0.72961099
-5.86793397,3.50610472,0.23291161,2.12102374,0.34368858,0.15536507,0.08091815,0.04966481,0.06815212,0.74638209
-5.86193097,3.53158177,0.23154760,2.11628940,0.34407240,0.16191094,0.08083402,0.04983540,0.07189711,0.76680251
-5.85592796,3.56879650,0.23122145,2.11677504,0.34696399,0.16966884,0.08084450,0.05013344,0.07588941,0.79095477
-5.84992496,3.61798667,0.23197000,2.12259705,0.35256194,0.17869866,0.08093658,0.05056655,0.08012729,0.81889987
-5.84392196,3.67928595,0.23382029,2.13380921,0.36103911,0.18905627,0.08109707,0.05114026,0.08460692,0.85067630
-5.83791896,3.75272379,0.23678929,2.15040526,0.37253761,0.20079257,0.08131329,0.05185786,0.08932216,0.88629813
-5.83191596,3.83822320,0.24088352,2.17232106,0.38716352,0.21395228,0.08157362,0.05272033,0.09426429,0.92575204
-5.82591296,3.93559600,0.24609842,2.19943589,0.40498153,0.22857249,0.08186793,0.05372614,0.09942172,0.96899360
-5.81990995,4.04453545,0.25241756,2.23157263,0.42600968,0.24468103,0.08218780,0.05487122,0.10477961,1.01594259
-5.81390695,4.16460641,0.25981173,2.26849663,0.45021428,0.26229474,0.08252652,0.05614882,0.11031948,1.06647785
-5.80790395,4.29523366,0.26823788,2.30991336,0.47750546,0.28141761,0.08287897,0.05754944,0.11601881,1.12043182
-5.80190095,4.43568920,0.27763806,2.35546504,0.50773330,0.30203914,0.08324126,0.05906072,0.12185069,1.17758521
-5.79589795,4.58507996,0.28793846,2.40472670,0.54068519,0.32413272,0.08361023,0.06066744,0.12778351,1.23766229
-5.78989495,4.74233714,0.29904863,2.45720239,0.57608448,0.34765441,0.08398284,0.06235150,0.13378084,1.30032721
-5.78389195,4.90620909,0.31086103,2.51232211,0.61359078,0.37254198,0.08435557,0.06409199,0.13980136,1.36518187
