energy_ev,total_up,Ge_p_up,Ge_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.28316189,0.52439490,0.00000000,1.45956444,0.80906193,0.04134188,0.78885738
-5.99399700,2.31638659,0.52357727,0.00000000,1.47395713,0.81417067,0.04306533,0.81454371
-5.98799400,2.35020589,0.52169695,0.00000000,1.48588480,0.81838118,0.04485284,0.84236613
-5.98199100,2.38400152,0.51864848,0.00000000,1.49495845,0.82149964,0.04668879,0.87206501
-5.97598799,2.41715538,0.51435111,0.00000000,1.50085126,0.82335285,0.04855506,0.90334023
-5.96998499,2.44907226,0.50875517,0.00000000,1.50331582,0.82379744,0.05043129,0.93585680
-5.96398199,2.47919991,0.50184700,0.00000000,1.50219768,0.82272761,0.05229524,0.96925074
-5.95797899,2.50704532,0.49365222,0.00000000,1.49744463,0.82008082,0.05412318,1.00313515
-5.95197599,2.53218660,0.48423718,0.00000000,1.48911105,0.81584126,0.05589038,1.03710621
-5.94597299,2.55427994,0.47370826,0.00000000,1.47735707,0.81004084,0.05757163,1.07074899
-5.93996998,2.57306171,0.46220939,0.00000000,1.46244269,0.80275774,0.05914173,1.10364300
-5.93396698,2.58834581,0.44991756,0.00000000,1.44471702,0.79411257,0.06057612,1.13536750
-5.92796398,2.60001682,0.43703680,0.00000000,1.42460338,0.78426246,0.06185137,1.16550648
-5.92196098,2.60801983,0.42379075,0.00000000,1.40258094,0.77339338,0.06294577,1.19365348
-5.91595798,2.61234766,0.41041436,0.00000000,1.37916397,0.76171119,0.06383980,1.21941624
-5.90995498,2.61302687,0.39714497,0.00000000,1.35487989,0.74943190,0.06451661,1.24242121
-5.90395198,2.61010333,0.38421333,0.00000000,1.33024697,0.73677171,0.06496240,1.26231818
-5.89794897,2.60362864,0.37183496,0.00000000,1.30575318,0.72393735,0.06516674,1.27878475
-5.89194597,2.59364829,0.36020219,0.00000000,1.28183697,0.71111719,0.06512279,1.29153102
-5.88594297,2.58019226,0.34947736,0.00000000,1.25887084,0.69847363,0.06482749,1.30030413
-5.87993997,2.56326880,0.33978733,0.00000000,1.23714871,0.68613706,0.06428151,1.30489284
-5.87393697,2.54286159,0.33121964,0.00000000,1.21687714,0.67420169,0.06348929,1.30513187
-5.86793397,2.51893046,0.32382038,0.00000000,1.19817106,0.66272329,0.06245884,1.30090593
-5.86193097,2.49141545,0.31759385,0.00000000,1.18105377,0.65171907,0.06120151,1.29215330
-5.85592796,2.46024393,0.31250391,0.00000000,1.16546116,0.64116943,0.05973170,1.27886860
-5.84992496,2.42534019,0.30847701,0.00000000,1.15124966,0.63102152,0.05806648,1.26110485
-5.84392196,2.38663684,0.30540664,0.00000000,1.13820747,0.62119438,0.05622515,1.23897439
-5.83791896,2.34408719,0.30315894,0.00000000,1.12606838,0.61158527,0.05422882,1.21264858
-5.83191596,2.29767794,0.30157928,0.00000000,1.11452733,0.60207689,0.05209991,1.18235638
-5.82591296,2.24744128,0.30049942,0.00000000,1.10325714,0.59254518,0.04986170,1.14838138
