energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.13626127,0.01074994,0.01235048,0.82059310,0.88855623,0.00589919,1.11026525,0.38588871,0.07271986
-5.99399700,2.12157972,0.01088317,0.01149024,0.81600738,0.88266630,0.00554929,1.10425520,0.38557655,0.07197833
-5.98799400,2.10426446,0.01094940,0.01064753,0.81027477,0.87519609,0.00523387,1.09702425,0.38460146,0.07130945
-5.98199100,2.08452539,0.01094676,0.00983187,0.80343541,0.86618581,0.00495353,1.08868422,0.38296932,0.07073985
-5.97598799,2.06261842,0.01087475,0.00905168,0.79553749,0.85571112,0.00470860,1.07936543,0.38069608,0.07029497
-5.96998499,2.03885444,0.01073428,0.00831411,0.78664250,0.84388715,0.00449918,1.06922169,0.37781021,0.06999903
-5.96398199,2.01360552,0.01052766,0.00762503,0.77682995,0.83087080,0.00432525,1.05843417,0.37435457,0.06987485
-5.95797899,1.98730720,0.01025853,0.00698900,0.76620110,0.81686075,0.00418667,1.04721333,0.37038765,0.06994371
-5.95197599,1.96045626,0.00993171,0.00640929,0.75488125,0.80209514,0.00408320,1.03579868,0.36598393,0.07022509
-5.94597299,1.93360359,0.00955311,0.00588794,0.74302020,0.78684692,0.00401452,1.02445595,0.36123324,0.07073628
-5.93996998,1.90734199,0.00912949,0.00542587,0.73079081,0.77141693,0.00398022,1.01347160,0.35623901,0.07149193
-5.93396698,1.88228944,0.00866829,0.00502295,0.71838540,0.75612496,0.00397974,1.00314485,0.35111562,0.07250344
-5.92796398,1.85906843,0.00817736,0.00467814,0.70601037,0.74129937,0.00401235,0.99377745,0.34598465,0.07377836
-5.92196098,1.83828239,0.00766475,0.00438961,0.69387906,0.72726560,0.00407708,0.98566185,0.34097051,0.07531967
-5.91595798,1.82049067,0.00713850,0.00415487,0.68220347,0.71433440,0.00417269,0.97906822,0.33619546,0.07712512
-5.90995498,1.80618341,0.00660638,0.00397091,0.67118522,0.70279021,0.00429761,0.97423130,0.33177434,0.07918664
-5.90395198,1.79575800,0.00607575,0.00383430,0.66100635,0.69288062,0.00444990,0.97133790,0.32780946,0.08148984
-5.89794897,1.78949862,0.00555334,0.00374133,0.65182058,0.68480728,0.00462720,0.97051572,0.32438567,0.08401371
-5.89194597,1.78756036,0.00504516,0.00368813,0.64374571,0.67871909,0.00482675,0.97182448,0.32156624,0.08673061
-5.88594297,1.78995915,0.00455639,0.00367073,0.63685747,0.67470790,0.00504536,0.97525004,0.31938946,0.08960641
-5.87993997,1.79656838,0.00409132,0.00368522,0.63118553,0.67280725,0.00527946,0.98070188,0.31786655,0.09260106
-5.87393697,1.80712280,0.00365334,0.00372781,0.62671179,0.67299419,0.00552513,0.98801443,0.31698061,0.09566942
-5.86793397,1.82122986,0.00324493,0.00379495,0.62337118,0.67519418,0.00577817,0.99695244,0.31668715,0.09876241
-5.86193097,1.83838832,0.00286769,0.00388340,0.62105515,0.67928908,0.00603419,1.00722009,0.31691577,0.10182844
-5.85592796,1.85801333,0.00252246,0.00399031,0.61961743,0.68512770,0.00628871,1.01847373,0.31757320,0.10481507
-5.84992496,1.87946705,0.00220935,0.00411333,0.61888209,0.69253867,0.00653729,1.03033770,0.31854754,0.10767095
-5.84392196,1.90209348,0.00192785,0.00425068,0.61865335,0.70134477,0.00677565,1.04242246,0.31971333,0.11034770
-5.83791896,1.92525583,0.00167695,0.00440121,0.61872669,0.71137840,0.00699981,1.05434427,0.32093739,0.11280200
-5.83191596,1.94837470,0.00145524,0.00456447,0.61890072,0.72249704,0.00720624,1.06574554,0.32208507,0.11499749
-5.82591296,1.97096514,0.00126102,0.00474073,0.61898912,0.73459823,0.00739195,1.07631477,0.32302661,0.11690662
-5.81990995,1.99267082,0.00109237,0.00493107,0.61883222,0.74763311,0.00755466,1.08580512,0.32364328,0.11851217
-5.81390695,2.01329340,0.00094729,0.00513732,0.61830741,0.76161779,0.00769289,1.09405077,0.32383311,0.11980851
-5.80790395,2.03281558,0.00082374,0.00536207,0.61733800,0.77664185,0.00780602,1.10098002,0.32351578,0.12080249
-5.80190095,2.05141632,0.00071971,0.00560864,0.61589999,0.79287343,0.00789438,1.10662463,0.32263662,0.12151379
-5.79589795,2.06947728,0.00063328,0.00588099,0.61402637,0.81056030,0.00795929,1.11112457,0.32116930,0.12197492
-5.78989495,2.08757959,0.00056265,0.00618359,0.61180874,0.83002667,0.00800303,1.11472796,0.31911738,0.12223057
-5.78389195,2.10649076,0.00050616,0.00652130,0.60939608,0.85166554,0.00802881,1.11778597,0.31651435,0.12233654
-5.77788894,2.12714161,0.00046233,0.00689918,0.60699062,0.87592661,0.00804073,1.12074263,0.31342234,0.12235816
-5.77188594,2.15059392,0.00042981,0.00732228,0.60484093,0.90329996,0.00804367,1.12411980,0.30992950,0.12236826
-5.76588294,2.17799948,0.00040740,0.00779544,0.60323254,0.93429585,0.00804314,1.12849784,0.30614616,0.12244471
-5.75987994,2.21055211,0.00039406,0.00832295,0.60247632,0.96942133,0.00804514,1.13449249,0.30219988,0.12266769
-5.75387694,2.24943407,0.00038884,0.00890839,0.60289511,1.00915437,0.00805598,1.14272883,0.29822974,0.12311671
-5.74787394,2.29575905,0.00039089,0.00955428,0.60480912,1.05391650,0.00808205,1.15381338,0.29437998,0.12386749
-5.74187094,2.35051384,0.00039944,0.01026184,0.60852074,1.10404491,0.00812966,1.16830527,0.29079336,0.12498888
-5.73586793,2.41450113,0.00041375,0.01103077,0.61429925,1.15976540,0.00820476,1.18668779,0.28760450,0.12653984
-5.72986493,2.48828597,0.00043313,0.01185902,0.62236624,1.22116721,0.00831276,1.20934145,0.28493347,0.12856663
-5.72386193,2.57214815,0.00045687,0.01274263,0.63288226,1.28818103,0.00845829,1.23651973,0.28288003,0.13110042
-5.71785893,2.66604300,0.00048428,0.01367562,0.64593534,1.36056137,0.00864507,1.26832869,0.28151859,0.13415530
-5.71185593,2.76957258,0.00051462,0.01464993,0.66153184,1.43787435,0.00887567,1.30471137,0.28089428,0.13772678
-5.70585293,2.88196890,0.00054717,0.01565552,0.67959031,1.51949177,0.00915143,1.34543786,0.28102026,0.14179101
-5.69984992,3.00209062,0.00058116,0.01668039,0.69993828,1.60459225,0.00947233,1.39010161,0.28187635,0.14630459
-5.69384692,3.12843385,0.00061580,0.01771082,0.72231272,1.69216965,0.00983694,1.43812242,0.28340909,0.15120510
-5.68784392,3.25915726,0.00065031,0.01873167,0.74636371,1.78104910,0.01024241,1.48875616,0.28553316,0.15641236
-5.68184092,3.39212114,0.00068390,0.01972665,0.77166175,1.86991037,0.01068449,1.54111113,0.28813426,0.16183031
-5.67583792,3.52493940,0.00071580,0.02067881,0.79770809,1.95731794,0.01115759,1.59417048,0.29107306,0.16734956
-5.66983492,3.65504278,0.00074529,0.02157096,0.82394804,2.04175704,0.01165493,1.64682010,0.29419027,0.17285046
-5.66383192,3.77975134,0.00077170,0.02238617,0.84978661,2.12167451,0.01216866,1.69788099,0.29731253,0.17820662
-5.65782891,3.89635348,0.00079444,0.02310831,0.87460600,2.19552296,0.01269004,1.74614481,0.30025880,0.18328872
-5.65182591,4.00218870,0.00081302,0.02372253,0.89778422,2.26180680,0.01320968,1.79041155,0.30284708,0.18796853
-5.64582291,4.09473098,0.00082708,0.02421578,0.91871426,2.31912828,0.01371776,1.82952762,0.30490108,0.19212291
-5.63981991,4.17166953,0.00083636,0.02457725,0.93682294,2.36623180,0.01420425,1.86242312,0.30625665,0.19563779
-5.63381691,4.23098384,0.00084077,0.02479871,0.95158886,2.40204487,0.01465923,1.88814676,0.30676765,0.19841176
